code,fiscal_year,book_equity
005930,2020,267670331000000.0
005930,2021,296237697000000.0
005930,2022,345186142000000.0
005930,2023,353233775000000.0
005930,2024,391687603000000.0
005930,2025,424313255000000.0
000660,2020,51888541000000.0
000660,2021,62157072000000.0
000660,2022,63266355000000.0
000660,2023,53504285000000.0
000660,2024,73903394000000.0
000660,2025,120516178000000.0
402340,2023,15201829000000.0
402340,2024,19032533000000.0
402340,2025,27636531000000.0
005380,2020,69480633000000.0
005380,2021,74986122000000.0
005380,2022,82349287000000.0
005380,2023,92497311000000.0
005380,2024,109103398000000.0
005380,2025,115446507000000.0
009150,2020,5772289014620.0
009150,2021,6718948996032.0
009150,2022,7538493973162.0
009150,2023,7847712343993.0
009150,2024,8789160638737.0
009150,2025,9541761553956.0
373220,2020,6879615000000.0
373220,2021,7966116000000.0
373220,2022,18732215000000.0
373220,2023,20200641000000.0
373220,2024,21116237000000.0
373220,2025,20215549000000.0
032830,2023,42437828000000.0
032830,2024,30732687000000.0
032830,2025,62724296000000.0
028260,2020,30197977885537.0
028260,2021,30205326728328.0
028260,2022,26680665182467.0
028260,2023,34238109878473.0
028260,2024,31068664773795.0
028260,2025,49911892454122.0
329180,2020,5360784621000.0
329180,2021,5594024949000.0
329180,2022,5287819487000.0
329180,2023,5207440082000.0
329180,2024,5704447952000.0
329180,2025,9341619958000.0
012330,2020,33252668000000.0
012330,2021,35273026000000.0
012330,2022,37799237000000.0
012330,2023,40634418000000.0
012330,2024,46080922000000.0
012330,2025,49167565000000.0
034020,2020,3188385999809.0
034020,2021,6091427146585.0
034020,2022,7113272670506.0
034020,2023,7117370971393.0
034020,2024,7496562000000.0
034020,2025,7785743000000.0
000270,2020,29891672000000.0
000270,2021,34910429000000.0
000270,2022,39337938000000.0
000270,2023,46552384000000.0
000270,2024,55831165000000.0
000270,2025,61187884000000.0
207940,2020,4598783172364.0
207940,2021,4991102140680.0
207940,2022,8984474395157.0
207940,2023,9830492412345.0
207940,2024,10904676062018.0
207940,2025,7451110647985.0
066570,2020,15437500000000.0
066570,2021,17230643000000.0
066570,2022,18992108000000.0
066570,2023,19664754000000.0
066570,2024,20994769000000.0
066570,2025,23887393000000.0
012450,2020,2597746406509.0
012450,2021,2889234848109.0
012450,2022,2862825080411.0
012450,2023,3528357488015.0
012450,2024,4995124600282.0
012450,2025,9684906768000.0
105560,2023,56929804000000.0
105560,2024,57888952000000.0
105560,2025,59048211000000.0
006400,2020,12977616019092.0
006400,2021,14704264131372.0
006400,2022,16485723513578.0
006400,2023,18511373378175.0
006400,2024,19766394890484.0
006400,2025,21442873795141.0
034730,2020,17435044000000.0
034730,2021,21248343000000.0
034730,2022,21595546000000.0
034730,2023,20726714000000.0
034730,2024,25114591000000.0
034730,2025,25187196000000.0
055550,2023,53720537000000.0
055550,2024,56053756000000.0
055550,2025,57959272000000.0
035420,2020,7367219163302.0
035420,2021,23535637694902.0
035420,2022,22744095607040.0
035420,2023,23206042240996.0
035420,2024,25459903574291.0
035420,2025,27581956984245.0
068270,2020,3307677045157.0
068270,2021,3917237794242.0
068270,2022,4139360000764.0
068270,2023,16980683406963.0
068270,2024,17439141579252.0
068270,2025,17208474471870.0
010120,2020,1411498805314.0
010120,2021,1481632872743.0
010120,2022,1553494370858.0
010120,2023,1712769946790.0
010120,2024,1838756342741.0
010120,2025,2069766351526.0
267260,2020,679173539071.0
267260,2021,646222114613.0
267260,2022,822579713297.0
267260,2023,1048142407777.0
267260,2024,1501786699279.0
267260,2025,2028771644117.0
042660,2020,3868970660954.0
042660,2021,2217583452890.0
042660,2022,744971931958.0
042660,2023,4307452654474.0
042660,2024,4858676068261.0
042660,2025,6170251544059.0
011070,2020,2427687817570.0
011070,2021,3314206193932.0
011070,2022,4265792959339.0
011070,2023,4714575000000.0
011070,2024,5353865000000.0
011070,2025,5763054000000.0
000150,2020,1659672673877.0
000150,2021,2165077338720.0
000150,2022,1790732092862.0
000150,2023,1624122481917.0
000150,2024,1480157000000.0
000150,2025,1559193000000.0
298040,2020,883582195122.0
298040,2021,932224247195.0
298040,2022,974569513280.0
298040,2023,1080310240474.0
298040,2024,1908516731949.0
298040,2025,2351728765101.0
006800,2023,11080955998501.0
006800,2024,12100353245112.0
006800,2025,13303614000000.0
005490,2020,44331350426988.0
005490,2021,50427355075250.0
005490,2022,52512116059318.0
005490,2023,54180848983919.0
005490,2024,55394231301615.0
005490,2025,55730184535521.0
086790,2023,39343318000000.0
086790,2024,42701020000000.0
086790,2025,44579957000000.0
010130,2020,6969781227949.0
010130,2021,7607686770997.0
010130,2022,9042713294582.0
010130,2023,9390228169606.0
010130,2024,7333649968790.0
010130,2025,10937740250977.0
009540,2020,10906295846000.0
009540,2021,9856559082000.0
009540,2022,9714919162000.0
009540,2023,9903690500000.0
009540,2024,11099427059000.0
009540,2025,13286077746000.0
018260,2020,6669027384144.0
018260,2021,7228720633788.0
018260,2022,8223193305045.0
018260,2023,8658009435402.0
018260,2024,9333119577877.0
018260,2025,9916106572212.0
042700,2020,257090542803.0
042700,2021,346812042277.0
042700,2022,390096755786.0
042700,2023,571898625127.0
042700,2024,540887863389.0
042700,2025,690327519537.0
000810,2023,16114211783285.0
000810,2024,15567056119567.0
000810,2025,21257792584430.0
307950,2020,555027085957.0
307950,2021,1367706112746.0
307950,2022,1478769865215.0
307950,2023,1579928602000.0
307950,2024,1705413877000.0
307950,2025,1847125538000.0
051910,2020,18039121000000.0
051910,2021,21693784000000.0
051910,2022,31450572000000.0
051910,2023,32192605000000.0
051910,2024,33284180000000.0
051910,2025,32845600000000.0
003550,2020,20258251000000.0
003550,2021,21246547000000.0
003550,2022,25452355000000.0
003550,2023,26128917000000.0
003550,2024,27083363000000.0
003550,2025,28708510000000.0
015760,2020,69296680000000.0
015760,2021,63769010000000.0
015760,2022,40545396000000.0
015760,2023,35845043000000.0
015760,2024,39915236000000.0
015760,2025,48169942000000.0
010140,2020,3724217696918.0
010140,2021,4111043956300.0
010140,2022,3594491079409.0
010140,2023,3439345000314.0
010140,2024,3794592947059.0
010140,2025,4148939309647.0
017670,2020,23743894000000.0
017670,2021,11579346000000.0
017670,2022,11318320000000.0
017670,2023,11389046000000.0
017670,2024,11698627000000.0
017670,2025,12863103000000.0
064350,2020,1363471253000.0
064350,2021,1293052208000.0
064350,2022,1520347013000.0
064350,2023,1679854601000.0
064350,2024,2044977823000.0
064350,2025,3079022979000.0
267250,2020,7014923680000.0
267250,2021,6318055083000.0
267250,2022,7485246155000.0
267250,2023,7327570339000.0
267250,2024,8675322438000.0
267250,2025,10116362882000.0
316140,2023,31666881000000.0
316140,2024,34096836000000.0
316140,2025,36017339000000.0
003670,2020,1000669340739.0
003670,2021,2389319494210.0
003670,2022,2471021644051.0
003670,2023,2350209876264.0
003670,2024,2970273518789.0
003670,2025,4067558055710.0
096770,2020,14539976348000.0
096770,2021,17323353290000.0
096770,2022,19651626210000.0
096770,2023,22202714489000.0
096770,2024,24641444950000.0
096770,2025,21792075772000.0
272210,2020,1032682379959.0
272210,2021,2222498066782.0
272210,2022,2000338956882.0
272210,2023,2139817927616.0
272210,2024,2490054967099.0
272210,2025,4849228707428.0
033780,2020,9036851140891.0
033780,2021,9158786200927.0
033780,2022,9315644398676.0
033780,2023,9174405000000.0
033780,2024,9239171000000.0
033780,2025,9279560000000.0
035720,2020,6283700331669.0
035720,2021,9964627991241.0
035720,2022,9983694054133.0
035720,2023,9763719252178.0
035720,2024,10141299899346.0
035720,2025,11276217552488.0
011200,2020,1687351000000.0
011200,2021,10357269000000.0
011200,2022,20686315000000.0
011200,2023,21439198000000.0
011200,2024,27853923000000.0
011200,2025,26569235000000.0
138040,2023,9581907410678.0
138040,2024,10094442922761.0
138040,2025,10322630113710.0
086280,2020,5065446963808.0
086280,2021,5802452172654.0
086280,2022,6866007311914.0
086280,2023,7755368128240.0
086280,2024,8773151741324.0
086280,2025,10351204581947.0
079550,2020,672508651689.0
079550,2021,763304384997.0
079550,2022,935179067809.0
079550,2023,1052359009288.0
079550,2024,1210681900588.0
079550,2025,1430099949880.0
024110,2023,31656585000000.0
024110,2024,33946719000000.0
024110,2025,36454735000000.0
278470,2020,51699915148.0
278470,2021,66001080624.0
278470,2022,100257994716.0
278470,2023,196948868778.0
278470,2024,323524073990.0
278470,2025,445799810314.0
047810,2020,1195431276040.0
047810,2021,1269425155795.0
047810,2022,1427802657469.0
047810,2023,1597412953604.0
047810,2024,1705857243034.0
047810,2025,1830169571361.0
000720,2020,6631752000000.0
000720,2021,7216737000000.0
000720,2022,7686677000000.0
000720,2023,8136651000000.0
000720,2024,8025410000000.0
000720,2025,8264726000000.0
006260,2020,3267254000000.0
