date,n,disp20,disp60,avg_corr,ma20,ma60,up20,spread_top5,regime
2026-04-29,32,0.2267,0.5943,0.515,93.8,93.8,93.8,39.31,광범위 상승
2026-04-30,32,0.2388,0.5587,0.528,81.2,81.2,93.8,41.22,광범위 상승
2026-05-04,32,0.2297,0.5803,0.522,93.8,90.6,93.8,38.72,광범위 상승
2026-05-06,32,0.2363,0.5097,0.521,90.6,90.6,93.8,41.3,광범위 상승
2026-05-07,32,0.2747,0.5183,0.52,75.0,90.6,96.9,50.95,광범위 상승
2026-05-08,32,0.2542,0.5465,0.508,68.8,87.5,87.5,47.9,광범위 상승
2026-05-11,32,0.3331,0.6141,0.503,71.9,81.2,84.4,56.48,광범위 상승
2026-05-12,32,0.3067,0.5189,0.496,59.4,75.0,75.0,53.22,광범위 상승
2026-05-13,32,0.3476,0.5654,0.488,53.1,75.0,71.9,55.16,쏠림(테마)
2026-05-14,32,0.3486,0.557,0.48,59.4,78.1,78.1,57.87,광범위 상승
2026-05-15,32,0.2989,0.482,0.481,37.5,62.5,53.1,54.73,쏠림(테마)
2026-05-18,32,0.3669,0.5853,0.476,34.4,53.1,53.1,63.41,쏠림(테마)
2026-05-19,32,0.3788,0.5636,0.476,25.0,50.0,40.6,66.17,약세
2026-05-20,32,0.3275,0.5752,0.475,18.8,43.8,34.4,59.62,약세
2026-05-21,32,0.3604,0.631,0.474,37.5,62.5,53.1,61.78,쏠림(테마)
2026-05-22,32,0.3588,0.7128,0.474,53.1,68.8,59.4,61.57,쏠림(테마)
2026-05-26,32,0.3726,0.7585,0.474,65.6,71.9,68.8,63.79,광범위 상승
2026-05-27,32,0.2815,0.6626,0.478,40.6,65.6,50.0,50.51,쏠림(테마)
2026-05-28,32,0.2577,0.6261,0.476,31.2,62.5,34.4,48.02,쏠림(테마)
2026-05-29,32,0.2491,0.59,0.475,28.1,56.2,34.4,48.96,약세
2026-06-01,32,0.2803,0.6114,0.407,31.2,50.0,31.2,53.45,쏠림(테마)
2026-06-02,32,0.3412,0.578,0.321,21.9,37.5,34.4,63.31,약세
2026-06-04,32,0.357,0.6396,0.298,37.5,46.9,40.6,70.31,쏠림(테마)
2026-06-05,32,0.338,0.6457,0.29,28.1,43.8,31.2,64.71,약세
2026-06-08,32,0.3293,0.5481,0.319,12.5,25.0,15.6,63.51,약세
2026-06-09,32,0.321,0.6059,0.326,34.4,43.8,28.1,64.05,쏠림(테마)
2026-06-10,32,0.2798,0.6266,0.327,21.9,31.2,18.8,55.57,약세
2026-06-11,32,0.3165,0.703,0.327,40.6,43.8,40.6,57.84,쏠림(테마)
2026-06-12,32,0.301,0.6769,0.322,56.2,46.9,40.6,51.1,쏠림(테마)
2026-06-15,32,0.2644,0.699,0.319,50.0,46.9,37.5,42.64,쏠림(테마)
2026-06-16,32,0.2543,0.6473,0.313,43.8,43.8,34.4,45.96,쏠림(테마)
2026-06-17,32,0.2248,0.6555,0.312,46.9,46.9,53.1,39.49,쏠림(테마)
2026-06-18,32,0.2537,0.6097,0.317,40.6,46.9,53.1,45.27,쏠림(테마)
2026-06-19,32,0.213,0.6108,0.312,34.4,37.5,43.8,38.15,쏠림(테마)
2026-06-22,32,0.2444,0.6755,0.309,34.4,37.5,37.5,44.85,쏠림(테마)
2026-06-23,32,0.199,0.5527,0.338,21.9,31.2,12.5,35.24,약세
2026-06-24,32,0.2147,0.6004,0.333,28.1,34.4,18.8,40.12,약세
2026-06-25,32,0.2545,0.6263,0.335,25.0,34.4,25.0,46.6,약세
2026-06-26,32,0.313,0.7208,0.334,21.9,31.2,31.2,57.53,약세
2026-06-29,32,0.2875,0.7148,0.329,25.0,34.4,28.1,54.47,약세
2026-07-01,32,0.3743,0.7764,0.31,25.0,34.4,34.4,73.69,약세
2026-08-01,32,0.1326,0.284,0.461,12.5,0.0,3.1,21.17,약세
