code,corp_name,rcept_dt,report_nm,catalyst,rcept_no
399720,가온칩스,20260611,단일판매ㆍ공급계약체결              ,수주·공급,20260611900165
466100,클로봇,20260609,단일판매ㆍ공급계약체결(자율공시)              ,수주·공급,20260609900782
298380,에이비엘바이오,20260609,[기재정정]투자판단관련주요경영사항(임상시험계획변경승인신청)              (이중항체 면역항암제 ABL503의 제1상 임상시험계획 (IND) 변경승인 신청),임상·허가,20260609900417
222800,심텍,20260605,주요사항보고서(제3자의전환사채매수선택권행사),자본조달(역·주의),20260605000408
090710,휴림로봇,20260605,소액공모실적보고서,실적,20260605000495
083650,비에이치아이,20260605,[기재정정]단일판매ㆍ공급계약체결              ,수주·공급,20260605900607
466100,클로봇,20260604,[기재정정]주요사항보고서(유상증자결정),자본조달(역·주의),20260604000459
420770,기가비스,20260604,단일판매ㆍ공급계약체결              ,수주·공급,20260604900614
298380,에이비엘바이오,20260604,투자판단관련주요경영사항(임상시험계획변경승인신청)              (이중항체 면역항암제 ABL503의 제1상 임상시험계획 (IND) 변경승인 신청),임상·허가,20260604900499
121600,나노신소재,20260602,주요사항보고서(자기주식처분결정),주주환원(+),20260602000387
090710,휴림로봇,20260602,유상증자또는주식관련사채등의청약결과(자율공시)              (일반공모증자-소액공모),자본조달(역·주의),20260602900826
328130,루닛,20260601,전환사채(해외전환사채포함)발행후만기전사채취득              (제2회차),자본조달(역·주의),20260601901071
328130,루닛,20260601,[기재정정]전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차),자본조달(역·주의),20260601901065
226950,올릭스,20260601,주요사항보고서(유상증자결정),자본조달(역·주의),20260601002040
083650,비에이치아이,20260601,단일판매ㆍ공급계약체결              ,수주·공급,20260601900279
