code,name,theme,held,mine,grade,score,heat,entry,ex12_%,semi_core,mgmt,stop_line,adtv,verdict
003230,삼양식품,유통/소비/식품,True,False,B,7.33,warm,관망,-95.0,False,추세이탈→축소,1225000.0,679.0,부진 — 점검
034020,두산에너빌리티,원자력/원전,True,False,B,8.0,cold,관망,-31.0,False,추세이탈→축소,92747.5,5025.0,약 — thesis/트림 점검
005940,NH투자증권,금융,True,False,na,,warm,관망,43.0,False,추세이탈→축소,28595.8,,중립 — 관찰
095340,ISC,기계/장비,True,False,B,8.0,warm,관망,177.0,True,추세이탈→축소,164175.0,566.0,강하나 과열 — 눌림/셋업 대기
196170,알테오젠,바이오/제약,True,False,B,7.33,cold,관망,-81.0,False,추세이탈→축소,405750.0,1880.0,약 — thesis/트림 점검
012450,한화에어로스페이스,우주항공/방산,True,False,A,11.0,cold,관망,-51.0,False,추세이탈→축소,1150150.0,3881.0,약 — thesis/트림 점검
042700,한미반도체,반도체/전자,True,False,A,11.67,warm,관망,93.0,True,추세이탈→축소,233047.5,3008.0,중립 — 관찰
000660,SK하이닉스,반도체/전자,True,False,A,10.67,warm,관망,631.0,True,손절선이탈→축소,1906642.9,135873.0,강하나 과열 — 눌림/셋업 대기
028260,삼성물산,유통/소비/식품,True,False,B,8.0,warm,관망,124.0,False,보유OK,343214.3,4035.0,중립 — 관찰
005930,삼성전자,반도체/전자,True,False,S,12.33,warm,관망,426.0,True,보유OK,255339.3,159453.0,강하나 과열 — 눌림/셋업 대기
035420,NAVER,인터넷/SW,True,False,A,9.0,cold,관망,-70.0,False,추세이탈→축소,231087.5,24817.0,약 — thesis/트림 점검
090430,아모레퍼시픽,화학/에너지,True,False,A,10.67,cold,관망,-97.0,False,보유OK,127807.5,273.0,약 — thesis/트림 점검
033780,KT&G,유통/소비/식품,True,False,na,,warm,셋업,29.0,False,보유OK,162217.5,,후보 — 셋업 진행(핸드오프 검토)
105560,KB금융,금융,True,False,na,,warm,관망,39.0,False,보유OK,149071.4,,중립 — 관찰
006400,삼성SDI,2차전지,True,False,na,,cold,관망,177.0,True,추세이탈→축소,429312.5,,강하나 과열 — 눌림/셋업 대기
000270,기아,자동차,True,False,S,12.0,cold,관망,-3.0,False,추세이탈→축소,147262.5,2411.0,비주도 — 관찰
035720,카카오,인터넷/SW,True,False,B,8.0,cold,관망,-106.0,False,추세이탈→축소,50653.8,1441.0,약 — thesis/트림 점검
079550,LIG넥스원,우주항공/방산,True,False,na,,cold,관망,29.0,False,손절선이탈→축소,728714.3,,비주도 — 관찰
034220,LG디스플레이,반도체/전자,False,False,S+,18.67,warm,관망,9.0,False,추세이탈→축소,12483.2,10380.0,주도 정렬 — 관찰 유지
012510,더존비즈온,반도체/전자,False,False,S+,15.67,warm,관망,1.0,False,보유OK,105800.0,100.0,주도 정렬 — 관찰 유지
023530,롯데쇼핑,유통/소비/식품,False,False,S+,15.67,warm,관망,31.0,False,손절선이탈→축소,143946.4,262.0,주도 정렬 — 관찰 유지
007070,GS리테일,유통/소비/식품,False,False,S+,15.67,warm,관망,-25.0,False,보유OK,22617.0,37.0,주도 정렬 — 관찰 유지
066570,LG전자,반도체/전자,False,False,S+,15.33,warm,관망,355.0,False,손절선이탈→축소,290910.7,38835.0,강하나 과열 — 눌림/셋업 대기
011070,LG이노텍,반도체/전자,False,False,S+,15.0,warm,관망,672.0,False,손절선이탈→축소,1153178.6,13655.0,강하나 과열 — 눌림/셋업 대기
009540,HD한국조선해양,금융,False,False,S+,15.0,warm,관망,-72.0,False,추세이탈→축소,411500.0,1593.0,주도 정렬 — 관찰 유지
093370,후성,화학/에너지,False,False,S+,15.0,cold,관망,47.0,False,추세이탈→축소,10166.0,129.0,비주도 — 관찰
100840,SNT에너지,기계/장비,False,False,S+,15.0,warm,관망,-93.0,False,추세이탈→축소,41688.8,70.0,주도 정렬 — 관찰 유지
017940,E1,유통/소비/식품,False,False,S+,14.67,warm,관망,-68.0,False,추세이탈→축소,90802.5,20.0,주도 정렬 — 관찰 유지
033640,네패스,반도체/전자,False,False,S+,14.67,warm,관망,146.0,False,추세이탈→축소,21915.5,230.0,주도 정렬 — 관찰 유지
267250,HD현대,금융,False,False,S+,14.67,warm,관망,37.0,False,추세이탈→축소,238232.5,579.0,주도 정렬 — 관찰 유지
069960,현대백화점,유통/소비/식품,False,False,S+,14.67,warm,관망,-16.0,False,손절선이탈→축소,149125.0,257.0,주도 정렬 — 관찰 유지
064290,인텍플러스,기계/장비,False,False,S+,14.33,warm,관망,265.0,False,보유OK,31903.6,188.0,강하나 과열 — 눌림/셋업 대기
078350,한양디지텍,반도체/전자,False,False,S+,14.33,warm,관망,126.0,False,추세이탈→축소,25425.2,145.0,주도 정렬 — 관찰 유지
001740,SK네트웍스,유통/소비/식품,False,False,S+,14.33,warm,관망,110.0,False,손절선이탈→축소,9807.9,662.0,주도 정렬 — 관찰 유지
060250,NHN KCP,금융,False,False,S+,14.33,warm,관망,-19.0,False,추세이탈→축소,17125.8,103.0,주도 정렬 — 관찰 유지
330860,네패스아크,서비스/기타사업,False,False,S+,14.0,cold,관망,92.0,False,보유OK,34339.3,118.0,비주도 — 관찰
229640,LS에코에너지,금융,False,False,S,13.67,warm,관망,11.0,False,추세이탈→축소,49122.5,140.0,주도 정렬 — 관찰 유지
081660,미스토홀딩스,유통/소비/식품,False,False,S,13.67,warm,관망,-66.0,False,보유OK,43333.8,127.0,주도 정렬 — 관찰 유지
000640,동아쏘시오홀딩스,금융,False,False,S,13.67,warm,관망,-96.0,False,추세이탈→축소,98672.7,15.0,주도 정렬 — 관찰 유지
003160,디아이,반도체/전자,False,False,S,13.33,warm,관망,-15.0,False,추세이탈→축소,28042.0,80.0,주도 정렬 — 관찰 유지
008060,대덕,금융,False,False,S,13.33,warm,관망,82.0,False,손절선이탈→축소,16426.8,38.0,주도 정렬 — 관찰 유지
267260,HD현대일렉트릭,전력/전기장비,False,False,S,13.33,warm,관망,19.0,False,추세이탈→축소,942125.0,2084.0,주도 정렬 — 관찰 유지
082740,한화엔진,기계/장비,False,False,S,13.33,warm,관망,28.0,False,추세이탈→축소,52768.8,529.0,주도 정렬 — 관찰 유지
