group,code,name,Q,Mom,Val,ret12
MomQual,009150,삼성전기,51.0,98,6,1521.0
MomQual,011070,LG이노텍,79.0,98,18,566.0
MomQual,402340,SK스퀘어,,97,33,827.0
MomQual,307950,현대오토에버,73.0,96,8,211.0
MomQual,010060,OCI홀딩스,60.0,94,32,195.0
MomQual,298040,효성중공업,50.0,94,12,286.0
MomQual,010120,LS ELECTRIC,55.0,93,7,298.0
MomQual,066570,LG전자,80.0,92,32,175.0
MomQual,032830,삼성생명,,89,46,215.0
MomQual,006800,미래에셋증권,,88,42,100.0
MomQual,004170,신세계,74.0,86,48,301.0
MomQual,009420,한올바이오파마,52.0,84,4,157.0
MomQual,278470,에이피알,99.0,83,10,150.0
MomQual,001740,SK네트웍스,64.0,82,48,124.0
MomQual,005850,에스엘,76.0,81,66,81.0
ValQual,073240,금호타이어,96.0,26,94,
ValQual,015760,한국전력,78.0,22,98,
ValQual,036460,한국가스공사,86.0,10,95,
ValQual,139480,이마트,75.0,24,97,
ValQual,282330,BGF리테일,99.0,26,58,
ValQual,002790,아모레퍼시픽홀딩스,85.0,5,92,
ValQual,006040,동원산업,55.0,6,98,
ValQual,005440,현대지에프홀딩스,49.0,56,96,
ValQual,081660,미스토홀딩스,94.0,26,80,
ValQual,023530,롯데쇼핑,68.0,75,94,
ValQual,007070,GS리테일,96.0,56,72,
ValQual,278470,에이피알,99.0,83,10,
ValQual,078930,GS,61.0,58,92,
ValQual,207940,삼성바이오로직스,98.0,18,20,
ValQual,000120,CJ대한통운,66.0,20,90,
