종목,코드,산업,F_korean,체력_12점,ModF,FAR,FAR_신호,Sloan,Mom12,BAB,NOA,r_mom12_%,β_60d,체력_최종,등급,r_1m_%,신규,순위
ISC,095340,반도체,8.11,10.81,2,2,FAR_BUY,0,2,0,0,213.32,0.824,16.81,S+,-29.6,True,1
한화에어로,012450,방산,7.53,10.04,1,2,FAR_BUY,0,1,2,0,35.73,0.315,16.04,S+,-8.42,False,2
두산에너빌리티,034020,원전,7.5,10.0,2,2,FAR_BUY,0,1,1,0,49.75,0.66,16.0,S+,-17.88,True,3
SK하이닉스,000660,반도체,7.28,9.71,3,2,FAR_BUY,1,2,-2,0,776.06,1.515,15.71,S+,-39.7,False,4
삼성물산,028260,종합상사,7.28,9.71,3,2,FAR_BUY,0,2,-1,0,179.45,1.254,15.71,S+,-34.1,True,5
한미반도체,042700,반도체,7.15,9.53,3,2,FAR_BUY,0,2,-1,0,183.02,1.307,15.53,S+,-26.74,False,6
삼양식품,003230,식품,8.17,10.89,3,0,,0,-1,2,0,-23.67,-0.01,14.89,S+,0.7,True,7
알테오젠,196170,바이오,7.53,10.04,3,2,FAR_BUY,-1,-1,1,0,-15.38,0.558,14.04,S+,-19.87,False,8
NH투자증권,005940,금융,8.17,10.89,2,0,,0,0,1,0,26.93,0.568,13.89,S,-0.17,True,9
삼성전자,005930,반도체,6.21,8.28,2,1,FAR_WEAK_BUY,0,2,-1,0,443.93,1.272,12.28,S,-30.4,False,10
NAVER,035420,인터넷,5.63,7.51,3,0,,0,-1,2,0,-21.19,0.354,11.51,A,3.91,False,11
KT&G,033780,필수소비재,5.56,7.41,0,0,,0,0,2,0,23.61,-0.006,9.41,A,7.1,False,12
아모레퍼시픽,090430,화장품,6.46,8.61,0,0,,-1,-1,2,0,-26.2,0.137,8.61,B,20.78,False,13
기아,000270,자동차,3.95,5.27,0,0,,0,1,1,0,37.8,0.617,7.27,B,-6.45,False,14
삼성SDI,006400,2차전지,3.22,4.29,1,0,,-2,2,1,0,172.58,0.694,6.29,B,-11.02,False,15
KB금융,105560,금융,3.42,4.56,0,-1,FUR_WEAK,0,0,2,0,29.41,0.226,5.56,C,12.9,False,16
카카오,035720,인터넷,2.99,3.99,0,-2,FAR_AVOID,0,-2,2,0,-43.33,0.316,1.99,D,5.69,False,17
LIG넥스원,079550,방산,2.13,2.84,-3,0,,0,1,1,0,44.56,0.407,1.84,D,-1.68,False,18
