종목,코드,산업,F_korean,체력_12점,ModF,FAR,FAR_신호,Sloan,Mom12,BAB,NOA,Echo,Echo값_%,r_mom12_%,r_1m_%,β_60d,체력_최종,등급,신규,순위,권장비중_%
NH투자증권,005940,금융,8.17,10.89,2,2,FAR_BUY,0,1,1,0,0,33.93,47.75,-5.83,0.481,16.89,S+,True,1,7.69
ISC,095340,반도체,8.11,10.81,2,0,,0,2,0,0,1,139.55,144.68,33.53,0.823,15.81,S+,True,2,7.69
삼성물산,028260,종합상사,7.28,9.71,3,0,,0,2,0,0,0,81.87,107.83,9.88,1.093,14.71,S+,True,3,7.69
SK하이닉스,000660,반도체,7.28,9.71,3,0,,1,2,-2,0,1,231.79,564.54,10.17,1.56,14.71,S+,False,4,7.69
한미반도체,042700,반도체,7.15,9.53,3,0,,0,2,-1,0,1,128.65,140.78,14.71,1.295,14.53,S+,False,5,7.69
삼양식품,003230,식품,8.17,10.89,3,0,,0,-1,2,0,-1,-15.02,-15.86,14.92,-0.03,13.89,S,True,6,7.69
한화에어로,012450,방산,7.53,10.04,1,0,,0,0,2,0,0,43.96,13.02,0.09,0.34,13.04,S,False,7,7.69
두산에너빌리티,034020,원전,7.5,10.0,2,0,,0,0,1,0,0,42.64,23.79,3.66,0.652,13.0,S,True,8,7.69
NAVER,035420,인터넷,5.63,7.51,3,1,FAR_WEAK_BUY,0,0,1,0,0,27.27,3.15,-5.53,0.47,12.51,S,False,9,7.69
삼성전자,005930,반도체,6.21,8.28,2,0,,0,2,-1,0,1,124.76,244.54,10.85,1.325,12.28,S,False,10,7.69
알테오젠,196170,바이오,7.53,10.04,3,0,,-1,-1,1,0,-1,-1.83,-14.69,-1.7,0.5,11.04,A,False,11,7.69
KT&G,033780,필수소비재,5.56,7.41,0,1,FAR_WEAK_BUY,0,0,2,0,0,5.58,28.56,-5.58,-0.13,10.41,A,False,12,7.69
아모레퍼시픽,090430,화장품,6.46,8.61,0,0,,-1,0,2,0,0,13.51,7.45,3.99,-0.018,9.61,A,False,13,7.69
KB금융,105560,금융,3.42,4.56,0,0,,0,1,2,0,0,24.93,57.47,0.29,0.153,7.56,B,False,14,0.0
기아,000270,자동차,3.95,5.27,0,0,,0,0,1,0,0,47.95,26.91,-5.31,0.447,6.27,B,False,15,0.0
삼성SDI,006400,2차전지,3.22,4.29,1,-1,FUR_WEAK,-2,2,0,0,0,75.17,98.61,28.34,0.702,4.29,C,False,16,0.0
카카오,035720,인터넷,2.99,3.99,0,0,,0,-2,2,0,-1,-4.48,-40.02,-5.48,0.249,2.99,D,False,17,0.0
LIG넥스원,079550,방산,2.13,2.84,-3,0,,0,1,1,0,-1,0.77,52.29,-7.12,0.528,0.84,D,False,18,0.0
