code,entry_date,exit_date,days,entry,stop,R,half
000020,2021-09-07,2021-09-10,3,15800.0,14326.785714285714,-0.6265449696969695,False
000020,2021-09-24,2021-09-29,3,17250.0,15455.357142857143,-0.6848187064676619,False
000020,2021-12-16,2022-01-07,15,15850.0,13591.071428571428,-0.761704031620553,False
000020,2023-05-23,2023-07-04,28,9160.0,8661.785714285714,2.192369892473116,False
000020,2023-07-28,2023-08-17,13,9870.0,9023.57142857143,-0.13839915611814357,False
000020,2023-08-25,2023-09-22,20,9710.0,8881.42857142857,0.003894655172413794,False
000020,2023-10-25,2023-11-17,17,9530.0,8828.214285714286,0.07684111959287537,False
000020,2023-11-21,2023-12-01,8,9710.0,9247.5,-0.46712864864864867,False
000020,2023-12-06,2023-12-08,2,9600.0,9276.785714285714,0.9675686187845287,False
000020,2024-01-31,2024-02-28,18,9830.0,9256.785714285714,-0.3257455451713393,False
000020,2025-06-12,2025-06-16,2,6880.0,6569.285714285715,-1.2290036781609213,False
000020,2025-06-19,2025-07-18,21,6900.0,6501.785714285715,0.3172965022421528,False
000020,2025-08-07,2025-08-22,10,6670.0,6227.142857142857,-0.8600087096774188,False
000020,2025-09-05,2025-10-13,21,6440.0,6120.357142857143,-0.37734301675977683,False
000020,2025-10-28,2025-11-24,19,6400.0,6096.428571428572,-0.9548395294117652,False
000020,2025-12-12,2026-01-05,13,6420.0,6162.857142857143,-0.9338116666666676,False
000020,2026-02-20,2026-03-03,6,6590.0,6250.714285714285,-1.2095351578947353,False
000020,2026-05-26,2026-06-01,4,6240.0,5773.928571428572,-1.5184539463601536,False
000040,2020-09-03,2020-09-10,5,2763.0,2440.6785714285716,-0.826579235457064,False
000040,2020-09-15,2020-10-30,29,2512.0,2009.6000000000001,0.4838726114649683,False
000040,2021-02-09,2021-02-10,1,3548.0,3074.0714285714284,-0.37032099472494334,False
000040,2021-08-05,2021-08-17,7,3505.0,3119.6428571428573,-0.6049139202965712,False
000040,2023-04-05,2023-04-17,8,1773.0,1524.25,0.879345527638191,False
000040,2023-06-27,2023-07-13,12,1707.0,1553.0714285714287,-0.8755651972157777,False
000040,2023-09-06,2023-09-07,1,1932.0,1696.2857142857142,0.2016776363636363,False
000040,2025-07-21,2025-07-24,3,463.0,421.39285714285717,1.5276175107296146,False
000040,2025-11-28,2025-12-29,20,492.0,432.17857142857144,-0.3393800597014926,False
000040,2026-04-20,2026-05-11,13,475.0,391.7857142857143,-0.7700048068669527,False
000050,2020-09-03,2020-09-11,6,10550.0,9201.785714285714,0.812604503311258,False
000050,2020-09-25,2020-10-30,21,11000.0,9148.214285714286,-0.10924860173577632,False
000050,2021-08-25,2021-09-28,21,13500.0,12366.07142857143,0.030751496062992153,False
000050,2021-10-08,2021-10-19,6,13700.0,12958.92857142857,-0.6267142168674692,False
000050,2021-11-03,2021-11-30,19,14050.0,13326.785714285714,-1.195772839506172,False
000050,2021-12-24,2022-01-25,21,13800.0,13246.42857142857,0.6005367741935476,False
000050,2022-02-03,2022-03-07,21,14000.0,13151.785714285714,0.3907974736842103,False
000050,2022-05-30,2022-06-02,2,14500.0,13169.642857142857,0.43466147651006704,False
000050,2025-02-11,2025-03-05,15,6500.0,6028.571428571428,-0.5101663636363635,False
000050,2025-03-21,2025-03-25,2,6710.0,6454.642857142857,-1.1799826573426562,False
000050,2025-04-03,2025-04-30,19,6560.0,6252.857142857143,2.46108604651163,False
000050,2025-11-17,2025-12-08,15,7200.0,6651.785714285715,0.627831140065147,False
000050,2026-06-16,2026-06-24,6,8640.0,7466.785714285714,-0.9188773211567728,False
000060,2020-10-13,2020-11-02,14,13950.0,13173.214285714286,-0.02204597701149427,False
000060,2022-08-18,2022-09-07,14,38050.0,34630.357142857145,-0.8257865274151441,False
000060,2022-11-23,2022-11-24,1,50500.0,45142.857142857145,-1.4964432000000005,False
000070,2020-05-27,2020-06-16,14,38770.0,34945.0,-0.3790618562091503,False
000070,2020-07-06,2020-07-17,9,38369.0,35127.75,1.1129272965676822,False
000070,2021-11-02,2021-11-11,7,71067.0,64691.642857142855,-0.8567623864209285,False
000070,2021-11-17,2021-11-29,8,71735.0,65515.357142857145,-1.317332954349699,False
000070,2023-02-02,2023-02-10,6,48179.0,45890.96428571428,-0.2465682666042297,False
000070,2023-02-15,2023-03-14,18,48246.0,45349.92857142857,1.0450817856702432,False
000070,2023-06-02,2023-06-20,11,48846.0,45426.17857142857,0.33975923137173003,False
000070,2023-07-14,2023-08-14,21,47645.0,44951.607142857145,-0.20850794139097012,False
000070,2024-02-02,2024-02-28,16,49247.0,46148.78571428572,-0.6344493694524502,False
000070,2024-05-02,2024-05-10,5,46511.0,44294.57142857143,-0.911063061553335,False
000070,2024-05-17,2024-05-22,3,46644.0,44761.32142857143,-0.22480268614246407,False
000070,2024-05-24,2024-06-25,21,47111.0,44751.357142857145,-0.5186503102769794,False
000070,2024-07-08,2024-07-25,13,46778.0,44752.107142857145,-0.570834185985016,False
000070,2024-08-01,2024-08-06,3,46778.0,45098.17857142857,-1.7570353311363889,False
000070,2024-08-16,2024-09-19,21,46844.0,44353.28571428572,0.6576350845999435,False
000070,2024-10-29,2024-11-13,11,47778.0,44691.75,-0.9575727501012555,False
000070,2025-05-29,2025-07-23,37,46444.0,43572.03571428572,5.063497019212839,False
000075,2020-06-11,2020-06-12,1,40850.0,38501.78571428572,-1.3356298098859332,False
000075,2020-06-16,2020-06-22,4,41300.0,37335.71428571428,0.1637003603603602,False
000075,2021-11-17,2021-11-29,8,70900.0,67453.57142857143,-1.4001363730569973,False
000075,2021-12-09,2021-12-24,11,72800.0,68585.71428571429,-0.8633847457627127,False
000075,2023-12-07,2023-12-28,14,54400.0,52882.142857142855,-0.7630164705882343,False
000075,2024-02-02,2024-02-28,16,53900.0,52239.28571428572,-0.09577204301075287,False
000075,2024-07-30,2024-08-06,5,54300.0,53371.42857142857,-2.3200907692307715,False
000075,2024-08-20,2024-09-23,21,54800.0,52889.28571428572,0.749117757009347,False
000075,2024-12-16,2024-12-17,1,57300.0,54925.0,-0.8712,False
000075,2025-02-17,2025-03-11,15,60500.0,58000.0,-0.7540479999999999,False
000075,2025-04-09,2025-06-30,53,54100.0,51653.57142857143,12.564311240875906,False
000080,2020-09-29,2020-10-23,14,36600.0,33385.71428571428,-0.132177111111111,False
000080,2021-01-15,2021-01-19,2,37000.0,34214.28571428572,-1.101344102564104,False
000080,2021-03-09,2021-04-02,18,37200.0,34405.357142857145,-0.4027079872204476,False
000080,2021-05-12,2021-06-24,30,36100.0,34457.142857142855,0.8652243478260859,False
000080,2021-07-16,2021-07-29,9,35650.0,33891.07142857143,-0.6639382741116747,False
000080,2021-10-18,2021-10-29,9,36000.0,34017.857142857145,-0.38888216216216254,False
000080,2022-02-09,2022-04-20,48,34600.0,31617.85714285714,0.49577604790419133,False
000080,2022-06-16,2022-06-23,5,34600.0,32037.5,-1.4456058536585366,False
000080,2023-11-15,2023-12-14,21,23250.0,21321.428571428572,0.045494814814814835,False
000080,2024-01-15,2024-02-15,21,21900.0,20641.071428571428,-0.5189373049645386,False
000080,2024-04-11,2024-05-08,17,21050.0,20005.35714285714,-0.8123015384615373,False
000080,2024-06-14,2024-06-19,3,20950.0,20198.214285714286,0.1313938242280286,False
000080,2024-06-24,2024-07-22,20,21100.0,19650.0,-0.5166448275862069,False
000080,2024-08-16,2024-08-30,10,22050.0,20475.0,-0.8265904761904762,False
000080,2024-10-25,2024-11-04,6,21800.0,20916.071428571428,-1.189581414141413,False
000080,2024-11-18,2024-12-10,16,20650.0,19573.214285714286,-0.6937081260364846,False
000080,2024-12-12,2024-12-30,11,20700.0,19567.85714285714,-0.9681287066246043,False
000080,2025-05-30,2025-07-02,21,20300.0,19582.14285714286,0.6279034825870661,False
