code,fiscal_year,revenue,cogs,assets
000020,2015,223201285434.0,126621906141.0,317187030052.0
000020,2016,237470834801.0,134293445327.0,324604536650.0
000020,2017,258881616575.0,150798015134.0,367225133428.0
000020,2018,306602589029.0,190699351637.0,370599242793.0
000020,2019,307150025786.0,185418314591.0,376028553041.0
000020,2020,272075383799.0,133409429487.0,433807800192.0
000020,2021,293018112028.0,143671124291.0,447804486939.0
000020,2022,340426327300.0,159436067278.0,461136459052.0
000020,2023,361108562008.0,170692715924.0,564972408621.0
000020,2024,464874735245.0,250616974095.0,619634925512.0
000020,2025,496394309778.0,277846924893.0,642168098413.0
000040,2015,80658560018.0,78629758620.0,157559972057.0
000040,2016,84775353708.0,77246166608.0,148873915749.0
000040,2017,41661894646.0,50298744782.0,108443183567.0
000040,2018,36563363388.0,37194383424.0,154901066995.0
000040,2019,132579261122.0,133566935594.0,144081159835.0
000040,2020,117834375061.0,97968121790.0,155873460967.0
000040,2021,133510437922.0,115827793144.0,168436811482.0
000040,2022,117058740510.0,100028216603.0,149185245583.0
000040,2023,78406266627.0,73639024223.0,138570416599.0
000040,2024,16024969823.0,16283113348.0,85272527872.0
000040,2025,13820791334.0,11693895315.0,94195951474.0
000050,2015,357628146446.0,255868653113.0,1318643312104.0
000050,2016,377445013363.0,268352680374.0,1301910959501.0
000050,2017,360788750428.0,253442168287.0,1274042237155.0
000050,2018,351438925710.0,244043107525.0,1301792841122.0
000050,2019,343892084610.0,244396020356.0,1370742491338.0
000050,2020,329224740782.0,232398638194.0,1264902051181.0
000050,2021,383357144805.0,246771596892.0,1270805118229.0
000050,2022,389227582838.0,263039745840.0,1248318313535.0
000050,2023,393518958996.0,281727138783.0,1206860950940.0
000050,2024,397276756397.0,272322655815.0,1214347475924.0
000050,2025,412475877463.0,277551770809.0,1255644259736.0
000070,2015,2176562000000.0,1770090000000.0,3071422000000.0
000070,2016,2311465000000.0,1859910000000.0,3169445000000.0
000070,2017,2396290000000.0,1974916000000.0,3261056000000.0
000070,2018,2563476000000.0,2081370000000.0,3313797000000.0
000070,2019,2488563000000.0,2025132000000.0,3589514000000.0
000070,2020,2471226000000.0,1951116000000.0,3893565000000.0
000070,2021,3107313000000.0,2378282000000.0,4460589000000.0
000070,2022,3316778000000.0,2773466000000.0,4547781000000.0
000070,2023,3210853491794.0,2682163192482.0,5136660179005.0
000070,2024,3553264096673.0,2914201892618.0,5290507469287.0
000070,2025,3348286833611.0,2767392388711.0,5272055814759.0
000080,2015,1907480759547.0,1087052344469.0,3460482406084.0
000080,2016,1890232768003.0,1066385551515.0,3401085182093.0
