code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
247540,2019,616085054981.0,542997888412.0,37077549715.0,34481003746.0,650356539054.0,280149616060.0,370206922994.0,245507156234.0,137876294862.0,20105505889.0,12799839106.0,142273321198.0,10277983000.0
247540,2020,854748843876.0,749175488249.0,54769281487.0,46658311822.0,798986124781.0,331668500645.0,467317624136.0,304796633625.0,188978798089.0,59234178586.0,125031118212.0,142689702556.0,
247540,2021,1485628623826.0,1295494962535.0,115031248500.0,97789788764.0,1425857751938.0,829712539065.0,596145212873.0,739143497291.0,612882217465.0,104647514160.0,-100889335917.0,216830321600.0,
247540,2022,5357607238956.0,4841442891689.0,380676718075.0,272653525172.0,3374166378975.0,1885951251552.0,1488215127423.0,2274293401185.0,1547889953385.0,320363496754.0,-241250246729.0,338061298167.0,
247540,2023,6900867843535.0,6607474525916.0,156029935394.0,54685871623.0,4361774597751.0,2762382311340.0,1599392286411.0,2443491616196.0,2131306763902.0,512656569606.0,20620682315.0,631075547438.0,48940909000.0
247540,2024,2766837750152.0,2671990562810.0,-34109364109.0,-58508991346.0,4323660098124.0,2346640328950.0,1977019769174.0,1377994380074.0,1297207589056.0,499194114971.0,670144487342.0,1049432739894.0,48940909000.0
247540,2025,2531576384113.0,2261807859358.0,143309899725.0,91587534892.0,4882022445703.0,2866014511120.0,2016007934583.0,1390244218752.0,1922081128259.0,518548123832.0,214707183992.0,943933382861.0,48940909000.0
196170,2019,29229181883.0,18129093004.0,-2252031255.0,-1738267459.0,85979112272.0,15774959263.0,70204153009.0,65209451868.0,11372929137.0,4413477774.0,9133183987.0,4402030126.0,6948375000.0
196170,2020,42425842457.0,23670122042.0,103718349.0,-3422404578.0,159206928125.0,22935590498.0,136271337627.0,137906946065.0,21352716473.0,38922455345.0,1676575983.0,1582874025.0,14143142500.0
196170,2021,41123115244.0,32956780287.0,-12795830212.0,-9191339725.0,260337559420.0,126414291791.0,133923267629.0,212216374831.0,123203766482.0,10539625956.0,-9419517066.0,3210525309.0,21518647500.0
