code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
005930,2019,230400881000000.0,147239549000000.0,27768509000000.0,21738865000000.0,352564497000000.0,89684076000000.0,262880421000000.0,181385260000000.0,63782764000000.0,26885999000000.0,45382915000000.0,25901312000000.0,897514000000.0
005930,2020,236806988000000.0,144488296000000.0,35993876000000.0,26407832000000.0,378235718000000.0,102287702000000.0,275948016000000.0,198215579000000.0,75604351000000.0,29382578000000.0,65287009000000.0,26683351000000.0,897514000000.0
005930,2021,279604799000000.0,166411342000000.0,51633856000000.0,39907450000000.0,426621158000000.0,121721227000000.0,304899931000000.0,218163185000000.0,88117133000000.0,39031415000000.0,65105448000000.0,33604094000000.0,897514000000.0
005930,2022,302231360000000.0,190041770000000.0,43376630000000.0,55654077000000.0,448424507000000.0,93674903000000.0,354749604000000.0,218470581000000.0,78344852000000.0,49680710000000.0,62181346000000.0,15330051000000.0,897514000000.0
005930,2023,258935494000000.0,180388580000000.0,6566976000000.0,15487100000000.0,455905980000000.0,92228115000000.0,363677865000000.0,195936557000000.0,75719452000000.0,69080893000000.0,44137427000000.0,16508663000000.0,897514000000.0
005930,2024,300870903000000.0,186562268000000.0,32725961000000.0,34451351000000.0,514531948000000.0,112339878000000.0,402192070000000.0,227062266000000.0,93326299000000.0,53705579000000.0,72982621000000.0,19013579000000.0,897514000000.0
005930,2025,333605938000000.0,202235513000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,247684612000000.0,106411348000000.0,57856378000000.0,85315148000000.0,24210425000000.0,897514000000.0
000660,2019,26990733000000.0,18825275000000.0,2712718000000.0,2016391000000.0,64789494000000.0,16846299000000.0,47943195000000.0,14457602000000.0,7874033000000.0,2306070000000.0,6483188000000.0,8972266000000.0,3657652000000.0
000660,2020,31900418000000.0,21089789000000.0,5012624000000.0,4758914000000.0,71173853000000.0,19264756000000.0,51909097000000.0,16570953000000.0,9072360000000.0,2975989000000.0,12314571000000.0,10192396000000.0,3657652000000.0
000660,2021,42997792000000.0,24045600000000.0,12410340000000.0,9616188000000.0,96386474000000.0,34195416000000.0,62191058000000.0,26870451000000.0,14769356000000.0,5057982000000.0,19797648000000.0,19426060000000.0,3657652000000.0
000660,2022,44621568000000.0,28993713000000.0,6809417000000.0,2241669000000.0,103871512000000.0,40580970000000.0,63290542000000.0,28733332000000.0,19843696000000.0,4977007000000.0,14780517000000.0,20737274000000.0,3657652000000.0
000660,2023,32765719000000.0,33299167000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,46826413000000.0,53503752000000.0,30468100000000.0,21007810000000.0,7587329000000.0,4278191000000.0,25818603000000.0,3657652000000.0
000660,2024,66192960000000.0,34364814000000.0,23467319000000.0,19796902000000.0,119855209000000.0,45939505000000.0,73915704000000.0,42278887000000.0,24965444000000.0,11205117000000.0,29795885000000.0,20974061000000.0,3657652000000.0
000660,2025,97146675000000.0,38455885000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,69458073000000.0,37378999000000.0,14923766000000.0,53373126000000.0,18061909000000.0,3657652000000.0
402340,2023,2276508000000.0,,-2339698000000.0,-1314834000000.0,17970008000000.0,2153491000000.0,15816517000000.0,2288523000000.0,1380605000000.0,1270893000000.0,265749000000.0,772886000000.0,14147000000.0
402340,2024,1906611000000.0,,3912583000000.0,3650515000000.0,21921051000000.0,2335636000000.0,19585415000000.0,2702773000000.0,1396345000000.0,1368298000000.0,189954000000.0,939291000000.0,14147000000.0
402340,2025,1411521000000.0,,8797421000000.0,8818695000000.0,30504546000000.0,2521383000000.0,27983163000000.0,2255464000000.0,974637000000.0,1310718000000.0,387202000000.0,1546746000000.0,14147000000.0
005380,2019,105746422000000.0,88091409000000.0,3605505000000.0,,194512220000000.0,118146466000000.0,76365754000000.0,76082873000000.0,53314096000000.0,8681971000000.0,419784000000.0,64832370000000.0,1488993000000.0
005380,2020,103997601000000.0,85515931000000.0,2394671000000.0,,209344212000000.0,133003242000000.0,76340970000000.0,83686357000000.0,59459528000000.0,9862136000000.0,-409807000000.0,73543714000000.0,1488993000000.0
005380,2021,117610626000000.0,95680131000000.0,6678949000000.0,,233946415000000.0,151330626000000.0,82615789000000.0,88565366000000.0,64236787000000.0,12795554000000.0,-1176416000000.0,87093839000000.0,1488993000000.0
005380,2022,142527535000000.0,114209483000000.0,9819769000000.0,,255742462000000.0,164845917000000.0,90896545000000.0,96389273000000.0,74236472000000.0,20864879000000.0,10627311000000.0,90609445000000.0,1488993000000.0
005380,2023,162663579000000.0,129179183000000.0,15126901000000.0,12272301000000.0,282463355000000.0,180653915000000.0,101809440000000.0,101724717000000.0,73362103000000.0,19166619000000.0,-2518760000000.0,107291812000000.0,1488993000000.0
005380,2024,175231153000000.0,139481946000000.0,14239592000000.0,13229908000000.0,339798429000000.0,219522496000000.0,120275933000000.0,115764287000000.0,79509643000000.0,19014944000000.0,-5661641000000.0,140012853000000.0,1488993000000.0
005380,2025,186254472000000.0,152037636000000.0,11467851000000.0,10364775000000.0,368844849000000.0,241196612000000.0,127648237000000.0,120777363000000.0,88579290000000.0,18360566000000.0,-5991270000000.0,152617322000000.0,1488993000000.0
009150,2019,8040817645787.0,5989994608971.0,733968842460.0,528048551036.0,8674248229943.0,3244151344435.0,5430096885508.0,3507524565226.0,1850405466232.0,803810427528.0,,1393745878203.0,388003400000.0
009150,2020,8208738308011.0,6268998200490.0,829130678277.0,623811177841.0,9225498476076.0,3315102536579.0,5910395939497.0,4150302651523.0,1914879973834.0,1479767416889.0,,1400222562745.0,388003400000.0
009150,2021,9675036127726.0,7127098008982.0,1486872833804.0,915432452695.0,9941374038447.0,3070248395636.0,6871125642811.0,4598268758747.0,2234656820846.0,1185206917554.0,,835591574790.0,388003400000.0
009150,2022,9424551868027.0,7161405783757.0,1182835924271.0,993519182170.0,10997170898641.0,3303686219356.0,7693484679285.0,4888318770849.0,2525123479970.0,1677067099648.0,,778562739386.0,388003400000.0
009150,2023,8909448483915.0,7188574154996.0,639423737120.0,450482125173.0,11657871601848.0,3627546626400.0,8030324975448.0,5208418321146.0,2900459629423.0,1669189597138.0,1180360115518.0,727086996977.0,388003400000.0
