code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
012450,2019,5264114375095.0,4242318189013.0,165225934743.0,162427318272.0,8708410720271.0,5853055428024.0,2855355292247.0,4563607003936.0,3329041908478.0,1000121610062.0,715142993168.0,2524013519546.0,265650000000.0
012450,2020,5321444270673.0,4251094647282.0,243947058546.0,164739761653.0,9464815678256.0,6475090147420.0,2989725530836.0,5122725881742.0,3900356540398.0,1330706432193.0,434749594569.0,2574733607022.0,265650000000.0
012450,2021,6415087932347.0,5119789844061.0,383046885903.0,301762016281.0,11045830630560.0,7114272103768.0,3931558526792.0,6283537818480.0,4330103216575.0,2528070087946.0,990006043035.0,2784168887193.0,265650000000.0
012450,2022,6539605817572.0,5190306443615.0,377215126599.0,152027954710.0,15157301978809.0,11233518424948.0,3923783553861.0,8589056321089.0,8270093645238.0,3043178646369.0,1524327091276.0,2963424779710.0,265650000000.0
012450,2023,9359005981309.0,7221204757399.0,691114682400.0,976918345793.0,19542899925708.0,14858674607799.0,4684225317909.0,9192041562885.0,12076597878814.0,1806358649283.0,1390220003982.0,2782076728985.0,265650000000.0
012450,2024,11240121484118.0,8370268279539.0,1731878825342.0,2539873460538.0,43336873685473.0,31972556938163.0,11364316747310.0,22867968340831.0,25516144577239.0,2967733422929.0,1392972633695.0,6456412360924.0,240405805000.0
012450,2025,26702901249000.0,21252440665000.0,3089320181000.0,2201983086000.0,53953669604000.0,37165484932000.0,16788184672000.0,30705420001000.0,29976396731000.0,7713355500000.0,4049804576000.0,7189088201000.0,270317005000.0
079550,2019,1452651352252.0,1314676676701.0,18106724003.0,3185323837.0,2317491215306.0,1683516817394.0,633974397912.0,1380852281652.0,1237491234410.0,28650469112.0,151004955851.0,446025582984.0,110000000000.0
079550,2020,1600344315019.0,1410664125552.0,63741639085.0,57881698047.0,2595606499093.0,1923097847404.0,672508651689.0,1545723606015.0,1380432960452.0,51002306722.0,192104829697.0,542664886952.0,110000000000.0
079550,2021,1822194315440.0,1590624425957.0,97201006836.0,105055805629.0,2576847035470.0,1813542650473.0,763304384997.0,1485925497598.0,1481145703317.0,74538166121.0,135245427200.0,332396947156.0,110000000000.0
079550,2022,2220751868438.0,1894209846592.0,179111737872.0,122939587371.0,3012727223129.0,2077548155320.0,935179067809.0,1822951227868.0,1899456288192.0,252910914352.0,456521222995.0,178091867128.0,110000000000.0
079550,2023,2308571092877.0,1961778919898.0,186378438940.0,174962143119.0,3815758833285.0,2763399823997.0,1052359009288.0,2535880560459.0,2650650421124.0,445436760872.0,467285196126.0,112749402873.0,110000000000.0
079550,2024,3276339508425.0,2823712221178.0,229779392271.0,216648719554.0,6125264653217.0,4887829418155.0,1237435235062.0,3894568274428.0,4616518043951.0,546947952484.0,951948218386.0,271311374204.0,110000000000.0
079550,2025,4306936127418.0,3644162941773.0,319442306790.0,237479536396.0,8064772884180.0,6588665379014.0,1476107505166.0,5622222859236.0,6215510761700.0,125190009682.0,-584305263675.0,373154617314.0,110000000000.0
