month,port_ret,mkt12,top2_share,top_theme,top_theme_share,effn,port_beta,flags_n
2024-07,93.9,-1.9,60.1,바이오/제약,35.9,5.4,1.21,2
2024-08,68.8,-6.0,61.3,바이오/제약,48.9,4.2,1.23,2
2024-09,61.6,-2.3,50.0,바이오/제약,34.3,6.0,1.21,1
2024-10,78.9,2.0,53.2,바이오/제약,35.4,5.4,1.21,2
2024-11,39.6,-8.4,55.4,바이오/제약,35.1,6.0,1.25,1
2024-12,38.9,-10.8,66.9,유통/소비/식품,38.0,5.2,1.28,2
2025-01,64.4,-6.3,56.3,바이오/제약,32.8,5.8,1.25,2
2025-02,46.9,-6.9,72.2,유통/소비/식품,45.8,4.1,1.26,2
2025-03,24.2,-11.0,115.8,유통/소비/식품,66.6,3.5,1.37,4
2025-04,32.8,-4.2,83.4,우주항공/방산,61.6,4.8,1.33,4
2025-05,36.9,-2.1,68.6,우주항공/방산,68.6,5.4,1.34,4
2025-06,48.7,3.1,54.1,우주항공/방산,43.3,6.9,1.49,2
2025-07,57.3,6.3,47.3,우주항공/방산,44.0,6.7,1.52,1
2025-08,57.5,7.8,44.2,우주항공/방산,33.9,6.8,1.53,1
2025-09,69.9,10.7,42.0,우주항공/방산,33.5,8.0,1.53,1
2025-10,85.3,13.9,35.3,원자력/원전,22.3,9.2,1.54,1
2025-11,90.1,18.1,30.4,반도체/전자,23.6,10.8,1.63,1
2025-12,88.6,20.2,37.8,반도체/전자,28.5,9.1,1.56,1
2026-01,112.7,24.7,31.3,반도체/전자,32.0,10.6,1.87,1
2026-02,143.6,32.6,30.0,반도체/전자,38.7,10.8,1.83,1
2026-03,128.2,30.5,29.2,반도체/전자,33.8,10.5,1.93,1
2026-04,174.9,35.7,32.2,반도체/전자,41.5,9.2,1.89,1
2026-05,174.2,21.5,48.0,반도체/전자,56.0,6.1,1.68,1
2026-06,118.0,4.3,59.6,반도체/전자,66.7,5.0,1.61,4
