name,code,theme,ret12m,ex12,beta,contrib_pp
SK하이닉스,000660,반도체/전자,8.0753,8.0319,1.3468,44.863
삼성전자,005930,반도체/전자,4.5853,4.5418,1.1934,25.4738
ISC,095340,기계/장비,2.0351,1.9916,1.4858,11.3062
삼성물산,028260,유통/소비/식품,1.9027,1.8593,0.7157,10.5707
삼성SDI,006400,2차전지,1.8183,1.7748,3.0209,10.1016
한미반도체,042700,반도체/전자,1.5147,1.4712,3.8001,8.415
NH투자증권,005940,금융,0.4707,0.4273,1.5231,2.6152
KB금융,105560,금융,0.4337,0.3903,0.7914,2.4096
기아,000270,자동차,0.4241,0.3807,1.4582,2.3564
LIG넥스원,079550,우주항공/방산,0.3315,0.288,2.5708,1.8416
KT&G,033780,유통/소비/식품,0.3289,0.2854,0.4635,1.8272
두산에너빌리티,034020,원자력/원전,0.269,0.2255,3.0678,1.4945
한화에어로,012450,우주항공/방산,0.1733,0.1299,1.838,0.9631
알테오젠,196170,바이오/제약,-0.0296,-0.073,0.8506,-0.1643
삼양식품,003230,유통/소비/식품,-0.1978,-0.2413,1.0491,-1.0992
아모레퍼시픽,090430,화학/에너지,-0.2268,-0.2702,1.357,-1.2599
NAVER,035420,인터넷/SW,-0.2419,-0.2854,0.8192,-1.3439
카카오,035720,인터넷/SW,-0.4242,-0.4676,1.5581,-2.3565
