date,idx_close,idx_ret,etf_close,etf_ret,ret_gap_pp
2019-12-31,1029.57,,10027.1494,,
2020-01-31,958.52,-0.069,9333.9619,-0.0691,-0.0122
2020-02-29,927.48,-0.0324,9069.2021,-0.0284,0.4018
2020-03-31,916.5,-0.0118,8939.2295,-0.0143,-0.2493
2020-04-30,992.7,0.0831,9569.8379,0.0705,-1.2598
2020-05-31,1093.38,0.1014,10605.4648,0.1082,0.6797
2020-06-30,1167.14,0.0675,11326.46,0.068,0.0523
2020-07-31,1277.58,0.0946,12393.3408,0.0942,-0.0431
2020-08-31,1336.94,0.0465,13089.9795,0.0562,0.9748
2020-09-30,1310.49,-0.0198,12880.499,-0.016,0.3781
2020-10-31,1203.73,-0.0815,11784.3896,-0.0851,-0.3633
2020-11-30,1348.49,0.1203,13216.6406,0.1215,0.1278
2020-12-31,1532.52,0.1365,15062.9756,0.1397,0.3227
2021-01-31,1427.72,-0.0684,14044.8115,-0.0676,0.079
2021-02-28,1363.12,-0.0452,13314.0723,-0.052,-0.6782
2021-03-31,1423.2,0.0441,13932.7637,0.0465,0.2394
2021-04-30,1405.47,-0.0125,13650.2129,-0.0203,-0.7822
2021-05-31,1399.6,-0.0042,13774.3867,0.0091,1.3273
2021-06-30,1464.08,0.0461,14340.1201,0.0411,-0.4999
2021-07-31,1452.86,-0.0077,14217.1348,-0.0086,-0.0913
2021-08-31,1512.05,0.0407,14797.627,0.0408,0.009
2021-09-30,1475.06,-0.0245,14428.6699,-0.0249,-0.047
2021-10-31,1444.19,-0.0209,14113.8271,-0.0218,-0.0893
2021-11-30,1448.84,0.0032,14207.2959,0.0066,0.3403
2021-12-31,1524.21,0.052,14827.1426,0.0436,-0.8392
2022-01-31,1244.9,-0.1832,12136.2188,-0.1815,0.1763
2022-02-28,1257.14,0.0098,12219.8486,0.0069,-0.2941
2022-03-31,1332.65,0.0601,12918.4072,0.0572,-0.2899
2022-04-30,1261.29,-0.0535,12244.4463,-0.0522,0.1377
2022-05-31,1269.22,0.0063,12369.1836,0.0102,0.39
2022-06-30,1056.42,-0.1677,10360.4287,-0.1624,0.5262
2022-07-31,1151.8,0.0903,11270.7998,0.0879,-0.2416
2022-08-31,1155.03,0.0028,11275.7461,0.0004,-0.2365
2022-09-30,956.48,-0.1719,9435.2129,-0.1632,0.8671
2022-10-31,1006.82,0.0526,9929.9805,0.0524,-0.0192
2022-11-30,1038.42,0.0314,10216.9453,0.0289,-0.2487
2022-12-31,957.78,-0.0777,9539.1143,-0.0663,1.1313
2023-01-31,1021.6,0.0666,10117.9912,0.0607,-0.5949
2023-02-28,1143.05,0.1189,11300.4854,0.1169,-0.2012
2023-03-31,1260.21,0.1025,12458.2412,0.1025,-0.0046
2023-04-30,1299.28,0.031,12839.2119,0.0306,-0.0423
2023-05-31,1308.65,0.0072,12979.8799,0.011,0.3744
2023-06-30,1322.36,0.0105,13104.0664,0.0096,-0.0909
2023-07-31,1551.24,0.1731,14832.7295,0.1319,-4.1166
2023-08-31,1483.08,-0.0439,14683.707,-0.01,3.3892
2023-09-30,1321.64,-0.1089,13123.9355,-0.1062,0.263
2023-10-31,1147.92,-0.1314,11375.4023,-0.1332,-0.179
2023-11-30,1323.92,0.1533,13054.3916,0.1476,-0.5723
2023-12-31,1393.46,0.0525,13849.1797,0.0609,0.8357
2024-01-31,1241.75,-0.1089,12353.9854,-0.108,0.091
2024-02-29,1402.26,0.1293,13893.8867,0.1246,-0.4613
2024-03-31,1520.44,0.0843,15071.166,0.0847,0.0455
2024-04-30,1442.22,-0.0514,14301.2158,-0.0511,0.0358
2024-05-31,1338.55,-0.0719,13217.0557,-0.0758,-0.3927
2024-06-30,1361.54,0.0172,13520.4961,0.023,0.5783
2024-07-31,1338.75,-0.0167,13306.5957,-0.0158,0.0918
2024-08-31,1294.69,-0.0329,12839.0,-0.0351,-0.2229
2024-09-30,1288.34,-0.0049,12799.2041,-0.0031,0.1805
2024-10-31,1273.29,-0.0117,12644.9971,-0.012,-0.0366
2024-11-30,1133.83,-0.1095,11286.9785,-0.1074,0.2132
2024-12-31,1129.8,-0.0036,11217.3359,-0.0062,-0.2616
2025-01-31,1233.16,0.0915,12252.0176,0.0922,0.0754
2025-02-28,1262.71,0.024,12570.3809,0.026,0.2022
2025-03-31,1112.89,-0.1186,11122.8223,-0.1152,0.3493
2025-04-30,1169.69,0.051,11585.4443,0.0416,-0.9446
2025-05-31,1194.26,0.021,11888.6719,0.0262,0.5168
2025-06-30,1267.13,0.061,12632.6494,0.0626,0.1562
2025-07-31,1352.23,0.0672,13426.5596,0.0628,-0.4314
2025-08-31,1336.98,-0.0113,13241.8135,-0.0138,-0.2482
2025-09-30,1407.18,0.0525,13930.8672,0.052,-0.047
2025-10-31,1549.34,0.101,15343.9258,0.1014,0.0409
2025-11-30,1595.3,0.0297,15878.1924,0.0348,0.5155
2025-12-31,1547.32,-0.0301,15408.8369,-0.0296,0.0516
2026-01-31,2052.25,0.3263,20471.8828,0.3286,0.2255
2026-02-28,2116.6,0.0314,21071.0605,0.0293,-0.2088
2026-03-31,1826.22,-0.1372,18130.0996,-0.1396,-0.2382
2026-04-30,1999.32,0.0948,19827.7676,0.0936,-0.1148
2026-05-31,1883.33,-0.058,18730.0,-0.0554,0.265
2026-06-30,1767.92,-0.0613,17555.0,-0.0627,-0.1454
