code,name,sector
247540,에코프로비엠,일차전지 및 이차전지 제조업
196170,알테오젠,자연과학 및 공학 연구개발업
086520,에코프로,기타 금융업
277810,레인보우로보틱스,특수 목적용 기계 제조업
036930,주성엔지니어링,특수 목적용 기계 제조업
950160,코오롱티슈진,기초 의약물질 제조업
000250,삼천당제약,의약품 제조업
058470,리노공업,전자부품 제조업
028300,HLB,의료용품 및 기타 의약 관련제품 제조업
087010,펩트론,기초 의약물질 제조업
298380,에이비엘바이오,기초 의약물질 제조업
108490,로보티즈,특수 목적용 기계 제조업
141080,리가켐바이오,자연과학 및 공학 연구개발업
440110,파두,반도체 제조업
039030,이오테크닉스,특수 목적용 기계 제조업
240810,원익IPS,특수 목적용 기계 제조업
178320,서진시스템,기타 전기장비 제조업
095340,ISC,기계장비 및 관련 물품 도매업
214370,케어젠,기초 의약물질 제조업
310210,보로노이,자연과학 및 공학 연구개발업
319400,현대무벡스,일반 목적용 기계 제조업
222800,심텍,전자부품 제조업
347850,디앤디파마텍,자연과학 및 공학 연구개발업
403870,HPSP,특수 목적용 기계 제조업
080220,제주반도체,반도체 제조업
043260,성호전자,전자부품 제조업
226950,올릭스,자연과학 및 공학 연구개발업
214450,파마리서치,의료용품 및 기타 의약 관련제품 제조업
010170,대한광통신,절연선 및 케이블 제조업
145020,휴젤,기초 의약물질 제조업
131970,두산테스나,"그외 기타 전문, 과학 및 기술 서비스업"
357780,솔브레인,기타 화학제품 제조업
064760,티씨케이,기타 비금속 광물제품 제조업
214150,클래시스,의료용 기기 제조업
263750,펄어비스,소프트웨어 개발 및 공급업
067310,하나마이크론,반도체 제조업
084370,유진테크,특수 목적용 기계 제조업
058610,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
005290,동진쎄미켐,기초 화학물질 제조업
319660,피에스케이,특수 목적용 기계 제조업
237690,에스티팜,의약품 제조업
032820,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
082920,비츠로셀,일차전지 및 이차전지 제조업
257720,실리콘투,상품 종합 도매업
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
098460,고영,특수 목적용 기계 제조업
218410,RFHIC,통신 및 방송 장비 제조업
0009K0,에임드바이오,자연과학 및 공학 연구개발업
031980,피에스케이홀딩스,특수 목적용 기계 제조업
100790,미래에셋벤처투자,기타 금융업
290650,엘앤씨바이오,의약품 제조업
083650,비에이치아이,일반 목적용 기계 제조업
068760,셀트리온제약,의약품 제조업
095610,테스,특수 목적용 기계 제조업
007390,네이처셀,기초 의약물질 제조업
030530,원익홀딩스,기초 화학물질 제조업
035900,JYP Ent.,오디오물 출판 및 원판 녹음업
078600,대주전자재료,전자부품 제조업
140860,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
140410,메지온,자연과학 및 공학 연구개발업
089030,테크윙,특수 목적용 기계 제조업
041510,에스엠,오디오물 출판 및 원판 녹음업
060370,LS마린솔루션,전기 및 통신 공사업
096530,씨젠,의료용품 및 기타 의약 관련제품 제조업
347700,스피어,소프트웨어 개발 및 공급업
031330,에스에이엠티,기계장비 및 관련 물품 도매업
039200,오스코텍,의약품 제조업
445680,큐리옥스바이오시스템즈,의료용 기기 제조업
420770,기가비스,특수 목적용 기계 제조업
323280,태성,특수 목적용 기계 제조업
090360,로보스타,특수 목적용 기계 제조업
437730,삼현,자동차 신품 부품 제조업
476830,알지노믹스,자연과학 및 공학 연구개발업
032500,케이엠더블유,통신 및 방송 장비 제조업
099320,쎄트렉아이,"항공기,우주선 및 부품 제조업"
475830,오름테라퓨틱,기초 의약물질 제조업
101490,에스앤에스텍,전자부품 제조업
127120,제이에스링크,자연과학 및 공학 연구개발업
490470,세미파이브,"건축기술, 엔지니어링 및 관련 기술 서비스업"
089970,브이엠,특수 목적용 기계 제조업
397030,에이프릴바이오,자연과학 및 공학 연구개발업
189300,인텔리안테크,통신 및 방송 장비 제조업
090710,휴림로봇,특수 목적용 기계 제조업
417200,LS머트리얼즈,전자부품 제조업
388720,유일로보틱스,특수 목적용 기계 제조업
038500,삼표시멘트,기타 비금속 광물제품 제조업
232140,와이씨,특수 목적용 기계 제조업
