Date,247540,196170,086520,277810,036930,950160,000250,058470,028300,087010,298380,108490,141080,440110,039030,240810,178320,095340,214370,310210,319400,222800,347850,403870,080220,043260,226950,214450,010170,145020,131970,357780,064760,214150,263750,067310,084370,058610,005290,319660,237690,032820,082920,257720,131290,098460,218410,031980,100790,290650,083650,068760,095610,007390,030530,035900,078600,140860,140410,089030,041510,060370,096530,347700,031330,039200,445680,420770,323280,090360,437730,032500,099320,475830,101490,127120,089970,397030,189300,090710,417200,388720,038500,232140,027360,036540,003380,295310,195940,466100,085660,065350,166090,281740,458870,328130,048410,204270,115180,137400,124500,356860,161580,056190,183300,036830,160190,126340,358570,033100,035760,213420,052020,083450,033790,050890,293490,376900,033640,222080,086450,094170,046890,122870,052400,014620,074600,476060,056080,253450,059090,032190,121600,348370,023160,252990,241710,037460,171090,365340,336570,060250,225570,006730,053800,174900,053610,348340,009520,044490,112040,102940,389470,348210,036810,383310,327260,086900,399720,089890,082270,033160,102710,253590,033500,448900,041830,425420,067160,015750,376300,089010,272290,093320,019210,475960,356680,122640,278280,041960,045100,077360,368770,200710,460930,214430,104830,092190,064290,041190,042000,230360,332570,393890,035890,099190,030520,199800,290550,060280,025980,211050,372320,034950,024850,455900,078160,018290,340570,101930,330860,170920,025320,064260,389500,006910,025900,095660,138080,078350,425040,251970,107640,036620,079940,039440,013030,215200,230240,101160,456010,168360,287840,069540,117730,394280,085910,468530,452280,065680,424870,078130,354320,144960,067630,215600,254490,047920,241770,110990,042520,098070,078020,092870,206650,179900,084110,187660,304360,234340,452430,265520,389650,080580,114810,441270,079370,200470,119850,003800,445090,241520,376270,417840,091700,317330,475400,243070,101730,160980,049070,069080,274090,482630,064820,042370,078340
2019-12-31,13096,18607,2850,,8100,16050,35600,12874,45734,18016,24150,12075,26424,,103300,35850,14418,9750,12240,,2570,11797,,,4130,823,21220,36400,2830,135621,25662,,65900,14150,37040,3827,16500,7080,16750,11800,29800,979,6762,,13800,21100,35954,8540,3084,8533,2120,32202,25000,6590,5460,24150,17800,40550,63855,7038,38450,4151,15404,,2195,23267,,,2478,17400,,51100,19450,,12200,3573,7540,,33179,2725,,,3790,3350,1245,4305,8570,,,,13339,3500,18950,2020,,,6620,,13065,7210,6850,,10450,46250,14209,40436,,13183,,6730,159600,26300,9558,5111,744,5263,,,24050,2625,17838,6277,16250,27350,29200,10350,15600,,3000,80900,5770,8300,16700,,10200,,11350,9840,7870,,2636.0,12731,7520,7515,65500,20050,16100,,4780,7823,14978,18050,,,7618,,13830.0,251399,,8730,38550,7710,28600,1360,10550,,23650,,68900,3750,,18050,26025,36450,7600,,,13800,61600,13867,12300,3825,,17105,,21900,30350,,4900,2520,25667,16100,,,2208,12861,10000,53600,6900,4745,10400,524,,58500,5750,,30804,9000,,1070,,12650,2319,3165,,2035,6789,16950,49450,5800,,18400,4700,840,8280,20600,19200,41500,29140,8280,,,,9300,5354,,3800,,,8400,,32140,,4235,12890,9327,,5430,15400,8460,24950,,5600,6452,7612,18500,31957,,,19555,,33600,,1860,3381,,4533,4232,4490,34950,,2218,,,13200,19150,,44743,3645,11000,12900,16300,,,2170,6340,107500
2020-01-31,13071,17744,2602,,6910,16050,28900,16318,36898,12532,17650,10906,21119,,105000,34350,13592,11900,12240,,2583,10418,,,3700,801,17166,38850,2297,149125,32555,,60000,12300,36320,4190,17100,6500,17500,11375,27600,905,8554,,14800,18400,27758,8420,2879,13150,2375,33941,23850,5910,5250,24700,18550,45400,55109,8607,32850,3585,15127,,2430,18488,,,2448,16200,,49550,18950,,15300,3409,8500,,27071,2397,,,3175,4440,1315,5630,7780,,,,12370,3205,17750,2050,,,5559,,10002,7300,5560,,10500,40800,13802,46959,,12670,,5500,138200,28400,8222,7316,829,5312,,,23700,2955,17617,6972,14400,31600,30800,9490,15150,,2730,82300,6440,7900,15750,,10100,,10950,9300,6550,,2642.0,13877,7270,6365,65700,15850,16500,,4220,6521,16165,17400,,,8316,,8628.0,271450,,8380,32150,7740,27850,1395,9690,,21050,,54000,3630,,15450,23131,45850,6730,,,9960,69000,12185,11850,3915,,25451,,20000,26000,,5410,2710,24715,20225,,,2139,11535,11150,42800,6150,4640,9070,556,,58400,4935,,28648,9760,,1026,,12200,2103,3020,,1935,6829,17150,42550,5320,,15550,4500,915,9070,17650,15700,44300,25770,7770,,,,9300,4834,,3810,,,9780,,27890,,4210,10381,8333,,5040,13950,9150,22900,,5160,7930,6639,16800,27683,,,20299,,30000,,1995,3502,,4533,4483,4220,37700,,1960,,,11150,15700,,39771,2804,11650,11100,14650,,,2640,6690,101800
2020-02-29,20088,24059,2888,,6040,16050,39500,16178,38410,14006,17350,9786,22471,,88400,31150,12816,12150,12240,,2583,9942,,,2925,730,15314,40650,2383,127846,31951,,66300,10950,35440,3957,18550,5710,14750,11500,28900,810,7671,,12600,19080,29026,6970,2593,16150,2055,32282,21200,7260,4330,21150,16800,39700,46664,7316,28450,3326,18344,,2100,19550,,,2484,14050,,48650,22400,,17500,2886,8090,,26979,2275,,,3055,3430,1100,5580,7060,,,,11447,3040,16000,2090,,,5135,,8374,9000,5920,,11200,36750,14388,41491,,12159,,4730,125800,33050,8214,6991,829,5293,,,29200,4050,16737,5114,14950,30300,35900,8150,14050,,2330,73700,7680,7430,15250,,8790,,10300,9030,6500,,2649.0,17060,7280,5856,53600,14625,15150,,3680,6116,15256,18500,,,7628,,9466.0,245215,,6130,27500,7290,23700,1500,9430,,19450,,54500,3040,,15150,20309,41500,5500,,,8520,66200,18051,9390,3390,,24580,,17700,22850,,7580,2195,17145,12925,,,1892,10209,10000,33800,5425,4650,6850,445,,57300,4620,,24379,9110,,863,,9520,1854,3365,,1775,7189,16700,35700,4635,,13750,4000,747,9520,16400,14200,41650,35236,7080,,,,9300,3948,,3795,,,13050,,26520,,3755,10381,7115,,4265,11300,7920,21000,,4795,6470,5964,14600,25546,,,17457,,26700,,1755,2823,,3733,3683,3800,42950,,1822,,,8950,15450,,36416,2821,9750,11800,14500,,,2875,5920,97600
2020-03-31,15146,22807,2260,,4860,16050,32350,14997,35822,14560,16900,7547,24022,,60600,24950,12941,9300,12240,,2557,8750,,,2750,486,16966,38900,1730,114922,27674,,61800,10000,35800,2786,16000,4365,13350,7900,31450,723,7014,,10000,15520,38100,5970,2192,17000,1485,64648,19400,8900,3375,17800,11950,30550,43426,5544,21050,2628,55835,,1815,21239,,,2395,10200,,50200,17400,,15800,3104,6680,,16937,1667,,,2500,2375,1100,4580,5110,,,,14124,2220,13850,1645,,,4457,8790.0,9809,6890,4465,,9380,31250,12249,30459,,10894,,4680,104100,26150,8890,5863,829,4952,,,28700,2865,15555,3394,11850,24050,26100,5110,11450,,1765,77900,11250,6200,10300,,6520,,7540,7160,5160,,2629.0,17548,5890,4318,56900,24875,13350,,3100,3489,10154,17700,,,6193,,9145.0,164842,,4730,23650,5720,22500,1200,6340,,15850,,52500,2510,,9610,16345,52000,3925,,,6340,51800,24007,8520,2453,,21049,,19200,18900,8070.0,6380,1695,13636,12600,,,1526,10158,9370,29250,3500,3700,6010,453,,59500,3530,,23323,9000,,626,,6500,1787,2970,,1495,5246,17300,35450,3980,,11900,4000,602,10250,12750,10350,37350,30974,5920,,,,9300,3298,,3070,,,10300,,27730,,2760,9475,8494,,4515,9150,6320,19100,,3875,5305,6321,9830,23274,,,13702,,24500,,1288,2370,,2676,3466,2935,37500,,1313,,,7630,11100,,37783,2870,7390,9980,12650,6100.0,,3150,4495,84400
2020-04-30,18037,26200,2565,,5410,16050,30750,17880,39211,13961,18200,10371,24372,,72500,27850,13242,10200,11600,,2564,9550,,,2900,556,17441,42600,2814,130983,28328,,72000,11200,38460,3317,17600,5300,15700,9375,32900,822,7040,,12450,16220,37612,7380,2874,23267,1840,57124,20000,11050,3785,20750,18700,36550,51972,7721,27700,3580,46688,,1980,21529,,,2412,15850,,61000,21050,,20950,4217,7830,,19204,2112,,,3505,3205,1245,5290,6400,,,,15739,2755,17450,1405,,,5065,10450.0,11265,9620,5500,,8780,34950,12681,35016,,13935,,5560,127900,31300,8807,6915,829,5555,,,29100,3925,18879,4645,13200,29650,26100,6300,12800,,2300,76800,9000,8190,12500,,7200,,11300,9090,7200,,2636.0,22164,7810,4827,58000,21650,14250,,3905,5069,11947,37050,,,7874,,10329.0,96582,,6190,22250,6530,26500,1520,7960,,18850,,60300,2940,,11800,17828,61500,4895,,,8030,67000,17823,10050,3100,,22791,,21550,24050,12250.0,9110,2570,22108,16375,,,2050,11785,12550,36300,4645,4370,10000,400,,66100,3900,,23191,10850,,706,,8860,2243,4215,,1725,6048,17350,39400,4200,,16600,3700,691,14450,16100,12100,45000,35781,6890,,,,9300,4043,,3320,,,14400,,32350,,3060,8825,8077,,5530,11100,7090,19200,,4800,7190,6224,18200,28774,,,17220,,25900,,1600,2749,,3193,4191,3995,43400,,1983,,,8040,13950,,40186,3933,9450,10950,16650,8400.0,,3205,6350,107000
2020-05-31,29625,67224,3098,,5400,16050,41550,19362,46115,15113,18300,13000,25774,,87900,32500,13517,16600,14320,,2576,11350,,,3025,605,18868,52600,3236,125936,33763,,83500,16500,40900,3574,21450,6050,17900,11350,36900,818,8554,,18250,18660,35173,7320,3098,38433,1900,74197,22550,9910,4365,22850,30100,50400,60183,8785,26000,3782,58750,,2085,21095,,,2412,15400,,58300,23450,,27400,5452,9770,,22628,2055,,,3550,3610,1335,5530,7100,,,,18693,3080,17700,1800,,,5159,12300.0,9937,12100,5630,,10900,35400,16501,38709,,14448,,5870,121000,31850,8848,9421,829,5166,,,32550,5400,19299,4377,13900,29600,26100,7650,14050,,2430,76200,8800,13750,16700,,8530,,10450,9990,7070,,2636.0,30221,7050,5726,55300,24050,13850,,5770,6697,15812,37250,,,12779,,9269.0,141198,,6190,22700,7700,27600,2190,9990,,17700,,58900,2870,,12300,18145,59700,4725,,,7670,93800,16823,10450,3745,,27790,,22950,23650,21350.0,9310,2940,28425,19050,,,2336,12310,12000,36450,5000,7110,10350,512,,77500,3910,,24819,10050,,778,,8590,2480,3885,,1755,9953,22000,43050,5270,,16350,3680,846,14950,16600,13250,39150,36277,8890,,,,9300,4338,,3375,,,15900,,32620,,3970,8592,7757,,6270,11300,7500,21250,,5120,8242,6648,16350,28275,,,23006,,25100,,1893,3555,,3236,4042,4775,44500,,1936,,,8550,14000,,40268,5279,12900,10350,18350,10900.0,,3020,7220,106000
2020-06-30,29774,74122,3739,,5600,16050,36700,22626,41582,17601,31000,11880,57000,,94500,35650,16095,16600,13840,,2576,10550,,,2720,599,23472,54300,3176,161129,30492,,86600,14150,43600,3156,27300,5640,28150,13375,40300,710,8276,,26500,20000,35417,6940,2736,33767,2400,102680,21400,9040,4520,21200,34450,49250,76172,8937,24250,3602,56689,,2085,23991,,,2406,14650,,64000,22300,,37550,5539,13850,,26376,1947,,,3210,3950,1315,5010,6750,,,,18416,3520,20650,2105,,,6243,13500.0,10345,11950,5250,,12750,32700,18309,46000,,23840,,5050,110300,33750,8807,9421,829,5662,,,28700,4985,24184,4553,13450,37250,26100,6870,13800,,2140,86200,9220,12550,19400,,7310,,11950,10650,6080,,2642.0,28300,8520,5605,49900,37350,20200,,4685,5711,20737,33400,,,24577,,9663.0,121648,,5600,19300,7590,35050,2390,8620,,16000,,63200,2755,,13750,21769,59000,4720,,,6200,91300,15550,9420,3390,,26800,,21350,27400,17450.0,12150,2770,26470,17900,,,2070,12586,15500,61000,6150,6420,9650,617,,71200,4160,,23895,8770,,928,,9330,2483,3625,,1690,13377,27700,47200,5660,,16300,4100,862,14350,14900,12950,35700,34344,9310,,,,9300,4178,,3545,,,26400,,31010,,4800,8639,7757,,5380,12300,6860,19300,,4540,8451,7708,16100,28592,,,18134,,23300,,2060,3718,,4300,4273,4900,46950,,1889,,,8850,12150,,45074,5962,12900,11050,21900,9280.0,,3650,6320,117600
2020-07-31,34641,105767,4609,,6990,16050,48150,27411,37540,18108,32000,12513,57600,,110800,38250,18924,22250,13800,,2570,19250,,,3020,734,27826,59300,3211,156900,44379,,93000,14500,37700,3773,33650,6440,31600,15375,61200,742,9740,,40800,19540,35417,7200,3560,40667,2300,95234,25400,9480,4935,29850,42400,59300,56711,10785,31250,4160,130868,,2185,25149,,,2460,14000,,71000,23850,,43500,8183,15600,,23924,1912,,,3610,5560,1355,6120,6670,,,,18462,3795,25450,2580,,,5842,13850.0,12401,14550,6010,,12850,35200,20118,46000,,24387,,5600,115100,34850,8239,10424,829,7803,,,34250,5650,29369,4436,17750,40700,26100,7500,15450,,2275,85200,16700,14550,30450,,7430,,13950,11100,6550,,2636.0,35670,8800,6236,59000,39200,28900,,4585,11308,18641,30950,,,26936,,9466.0,144289,,7300,23100,9950,47900,3125,10000,,16650,,62900,2930,,15850,25247,64500,4540,,,8150,123000,14822,10850,3975,,32800,,24350,28850,21750.0,14200,2670,26219,23800,18800.0,,2188,14312,16900,67400,11450,6430,10400,573,,75900,4350,,24511,8600,,890,,14050,3764,3810,,1855,19846,28300,59800,5820,,16050,5100,793,16600,19200,13150,33950,33848,13350,,,,9300,5704,,3850,,,29400,,29340,,6000,7756,7757,,5870,12900,7070,19900,,5050,11416,20138,16100,29456,,,18404,,26450,,3690,4023,,4683,4931,5970,42100,,2074,,,11200,14300,,49963,5545,13850,14250,33250,8890.0,,3330,10600,120600
2020-08-31,38298,116221,5981,,6540,16050,58600,25429,38978,18753,35500,12367,54000,,112300,32000,25382,17850,12800,,2570,17250,,,2910,788,26975,69500,2929,163800,42769,216800.0,108700,13050,36400,4457,27250,6030,33200,13150,64800,717,8327,,36150,18000,38295,6910,3546,43967,2150,89894,21350,10650,4295,34850,50100,56200,56812,9645,34400,3642,132174,,2070,31714,,,2424,12500,,76400,28200,,44550,15011,11750,,23184,1775,,,3415,5150,1350,4990,6510,,,,20078,3360,21950,2070,,,5347,11750.0,15722,24100,5560,,13200,33150,19685,46500,,34500,,4915,118700,33400,7529,8419,829,12210,,,29250,8280,30250,3749,16300,46650,26100,6800,14300,,2045,80000,14650,13550,43800,,6660,,11850,12000,7130,,2636.0,41232,9000,5657,64200,35600,21600,,4085,10956,18110,34250,,,22856,,10502.0,208621,,7100,22200,10250,42300,2800,9190,,16000,,58000,3030,,14900,24614,81500,4010,,,7500,164400,14049,10050,3620,,26550,,23550,24500,23200.0,15000,2485,36546,29450,16250.0,,2198,13912,19700,61700,9550,5650,9100,888,,86300,3900,,25303,8880,,752,,12150,4404,5180,,1745,18003,30700,65600,5280,,15650,5400,689,16200,16200,11750,32800,36128,12450,,,,9300,5704,,3675,,,28950,,26820,,5650,8384,7757,,8910,11000,6360,20350,,5410,9758,21342,13200,31002,,,17525,,22400,,4600,4302,,4183,4517,5500,40700,,2613,,,10200,16650,,59988,5076,12250,15300,34450,7510.0,,3435,9100,111100
