code,name,board,industry,mcap_억,adtv_억,latest_fy,rev_yoy,rev_cagr,cfo_yoy,roa,op_margin,accrual_sloan,debt_ratio,ni_positive,cfo_positive
000250,삼천당제약,중견기업부,의약품 제조업,70841.6,790.84,2025,0.099,0.0368,-0.5502,0.0214,0.0365,0.004,0.5436,True,True
003380,하림지주,우량기업부,기타 금융업,12208.6,81.2,2025,0.0767,0.1027,0.2985,0.0302,0.0672,-0.0369,1.7094,True,True
005290,동진쎄미켐,우량기업부,기초 화학물질 제조업,26402.5,317.01,2025,-0.152,0.0531,-0.1569,0.0469,0.1444,-0.0484,0.8211,True,True
006730,서부T&D,우량기업부,일반 및 생활 숙박시설 운영업,6940.7,78.49,2025,0.3246,0.1169,0.6876,0.0357,0.2832,0.0031,1.347,True,True
006910,보성파워텍,우량기업부,"구조용 금속제품, 탱크 및 증기발생기 제조업",4348.0,133.78,2025,0.9139,0.0474,,0.1524,0.1818,-0.1755,0.2091,True,True
007390,네이처셀,중견기업부,기초 의약물질 제조업,19813.8,975.42,2025,-0.3587,-0.0176,-0.8964,-0.038,-0.1759,-0.0401,0.1857,False,True
010170,대한광통신,중견기업부,절연선 및 케이블 제조업,30008.7,4011.64,2025,-0.0869,-0.0167,,-0.1277,-0.1535,-0.0719,2.286,False,False
014620,성광벤드,우량기업부,1차 철강 제조업,8060.2,80.12,2025,0.079,0.0328,0.3289,0.0583,0.1708,-0.0058,0.0742,True,True
015750,성우하이텍,우량기업부,자동차 신품 부품 제조업,5616.0,52.82,2025,0.0324,0.0438,0.0907,0.0365,0.0554,-0.0566,1.3477,True,True
019210,와이지-원,우량기업부,기타 금속 가공제품 제조업,5471.2,86.89,2025,0.112,0.0692,-0.2466,0.0215,0.1041,-0.011,1.7078,True,True
023160,태광,우량기업부,1차 철강 제조업,7579.1,105.79,2025,0.113,0.0775,-0.6731,0.0884,0.1304,0.0623,0.1063,True,True
024850,HLB이노베이션,중견기업부,전자부품 제조업,4509.0,40.38,2025,0.2724,-0.0497,,-0.1252,-1.1639,-0.0133,0.2143,False,False
025980,아난티,우량기업부,일반 및 생활 숙박시설 운영업,4719.1,48.35,2025,-0.095,0.1038,7.3043,-0.0236,0.0322,-0.046,1.217,False,True
027360,아주IB투자,중견기업부,기타 금융업,12502.2,991.5,2025,,,-1.0473,0.0246,,0.028,0.2677,True,False
028300,HLB,중견기업부,의료용품 및 기타 의약 관련제품 제조업,69396.3,431.15,2025,0.2355,0.1396,,-0.2531,-1.2381,-0.1535,0.8814,False,False
030520,한글과컴퓨터,우량기업부,소프트웨어 개발 및 공급업,4787.6,36.61,2025,0.0721,0.0039,0.2458,0.0337,0.1114,-0.062,0.4674,True,True
