code,date,open,high,low,close
KS11,2024-08-01,2787.27,2794.11,2772.97,2777.68
KS11,2024-08-02,2719.39,2725.05,2666.4,2676.19
KS11,2024-08-05,2611.3,2611.3,2386.96,2441.55
KS11,2024-08-06,2533.34,2578.77,2491.47,2522.15
KS11,2024-08-07,2515.27,2594.83,2510.82,2568.41
KS11,2024-08-08,2530.21,2570.34,2518.52,2556.73
KS11,2024-08-09,2603.08,2603.08,2575.9,2588.43
KS11,2024-08-12,2602.16,2622.86,2602.01,2618.3
KS11,2024-08-13,2624.5,2636.12,2607.52,2621.5
KS11,2024-08-14,2649.11,2653.71,2632.44,2644.5
KS11,2024-08-16,2695.49,2699.61,2680.74,2697.23
KS11,2024-08-19,2697.97,2699.84,2664.28,2674.36
KS11,2024-08-20,2699.74,2706.05,2686.06,2696.63
KS11,2024-08-21,2687.2,2704.98,2684.61,2701.13
KS11,2024-08-22,2710.95,2711.38,2690.35,2707.67
KS11,2024-08-23,2690.8,2712.84,2689.54,2701.69
KS11,2024-08-26,2716.88,2718.47,2688.79,2698.01
KS11,2024-08-27,2696.24,2700.18,2681.92,2689.25
KS11,2024-08-28,2690.59,2695.51,2671.59,2689.83
KS11,2024-08-29,2657.18,2672.9,2649.56,2662.28
KS11,2024-08-30,2676.72,2686.51,2668.66,2674.31
KS11,2024-09-02,2683.8,2686.98,2658.31,2681.0
KS11,2024-09-03,2683.12,2695.59,2664.63,2664.63
KS11,2024-09-04,2589.94,2608.13,2578.07,2580.8
KS11,2024-09-05,2598.36,2615.8,2560.65,2575.5
KS11,2024-09-06,2576.66,2576.94,2529.31,2544.28
KS11,2024-09-09,2498.67,2543.22,2491.3,2535.93
KS11,2024-09-10,2542.69,2544.83,2522.48,2523.43
KS11,2024-09-11,2524.86,2526.13,2493.37,2513.37
KS11,2024-09-12,2547.5,2572.09,2537.87,2572.09
KS11,2024-09-13,2571.81,2584.11,2562.91,2575.41
KS11,2024-09-19,2594.67,2598.68,2550.09,2580.8
KS11,2024-09-20,2603.83,2619.55,2591.4,2593.37
KS11,2024-09-23,2596.47,2603.57,2588.49,2602.01
KS11,2024-09-24,2612.45,2631.68,2597.81,2631.68
KS11,2024-09-25,2652.71,2663.36,2596.32,2596.32
KS11,2024-09-26,2630.91,2671.57,2630.3,2671.57
KS11,2024-09-27,2674.58,2681.45,2649.78,2649.78
KS11,2024-09-30,2665.24,2668.66,2593.27,2593.27
KS11,2024-10-02,2566.55,2591.61,2555.46,2561.69
KS11,2024-10-04,2563.7,2585.59,2555.57,2569.71
KS11,2024-10-07,2579.2,2611.93,2561.46,2610.38
KS11,2024-10-08,2592.65,2601.96,2581.79,2594.36
KS11,2024-10-10,2611.65,2613.61,2596.86,2599.16
KS11,2024-10-11,2612.02,2621.93,2594.43,2596.91
KS11,2024-10-14,2602.63,2628.54,2602.63,2623.29
KS11,2024-10-15,2632.37,2635.32,2615.47,2633.45
KS11,2024-10-16,2606.7,2622.33,2601.35,2610.36
KS11,2024-10-17,2620.74,2622.71,2603.52,2609.3
KS11,2024-10-18,2616.04,2618.32,2587.96,2593.82
KS11,2024-10-21,2600.77,2618.71,2594.05,2604.92
KS11,2024-10-22,2600.87,2604.16,2564.46,2570.7
KS11,2024-10-23,2575.25,2607.79,2567.42,2599.62
KS11,2024-10-24,2591.69,2600.26,2578.8,2581.03
KS11,2024-10-25,2597.44,2611.27,2577.0,2583.27
KS11,2024-10-28,2588.45,2612.96,2587.2,2612.43
KS11,2024-10-29,2606.94,2617.8,2595.86,2617.8
KS11,2024-10-30,2606.99,2613.47,2586.88,2593.79
KS11,2024-10-31,2575.24,2579.65,2552.36,2556.15
KS11,2024-11-01,2542.96,2559.3,2536.84,2542.36
KS11,2024-11-04,2549.04,2588.97,2542.68,2588.97
KS11,2024-11-05,2570.24,2586.73,2564.66,2576.88
KS11,2024-11-06,2591.9,2592.75,2544.04,2563.51
KS11,2024-11-07,2557.23,2579.81,2540.48,2564.63
KS11,2024-11-08,2586.7,2593.15,2553.42,2561.15
KS11,2024-11-11,2562.05,2562.05,2525.56,2531.66
KS11,2024-11-12,2527.94,2532.44,2481.53,2482.57
KS11,2024-11-13,2468.27,2478.87,2415.77,2417.08
KS11,2024-11-14,2430.26,2441.43,2410.93,2418.86
KS11,2024-11-15,2413.05,2433.18,2390.56,2416.86
KS11,2024-11-18,2440.31,2480.01,2437.53,2469.07
KS11,2024-11-19,2469.13,2479.39,2465.15,2471.95
KS11,2024-11-20,2475.76,2489.15,2471.79,2482.29
KS11,2024-11-21,2474.62,2496.97,2474.62,2480.63
KS11,2024-11-22,2493.42,2511.23,2492.21,2501.24
KS11,2024-11-25,2524.11,2541.76,2517.98,2534.34
KS11,2024-11-26,2521.39,2526.62,2512.21,2520.36
KS11,2024-11-27,2518.82,2526.32,2498.32,2503.06
KS11,2024-11-28,2499.69,2513.63,2495.64,2504.67
KS11,2024-11-29,2496.93,2496.93,2446.96,2455.91
KS11,2024-12-02,2479.02,2483.29,2448.45,2454.48
KS11,2024-12-03,2472.06,2500.67,2471.55,2500.1
KS11,2024-12-04,2450.76,2483.04,2442.46,2464.0
KS11,2024-12-05,2471.45,2471.45,2434.78,2441.85
KS11,2024-12-06,2451.6,2459.24,2397.73,2428.16
KS11,2024-12-09,2392.37,2399.52,2360.18,2360.58
KS11,2024-12-10,2384.51,2419.06,2384.51,2417.84
KS11,2024-12-11,2412.15,2443.34,2411.38,2442.51
KS11,2024-12-12,2456.63,2487.95,2448.76,2482.12
KS11,2024-12-13,2473.75,2500.32,2470.24,2494.46
KS11,2024-12-16,2511.08,2515.62,2483.43,2488.97
KS11,2024-12-17,2487.31,2487.31,2455.05,2456.81
KS11,2024-12-18,2463.06,2492.0,2462.82,2484.43
KS11,2024-12-19,2426.55,2450.05,2423.59,2435.93
KS11,2024-12-20,2429.63,2430.69,2389.86,2404.15
KS11,2024-12-23,2423.36,2446.97,2413.62,2442.01
KS11,2024-12-24,2450.55,2452.85,2432.42,2440.52
KS11,2024-12-26,2449.52,2449.52,2428.82,2429.67
KS11,2024-12-27,2419.46,2423.86,2388.33,2404.77
KS11,2024-12-30,2397.49,2429.75,2390.44,2399.49
KS11,2025-01-02,2400.87,2410.99,2386.84,2398.94
KS11,2025-01-03,2402.58,2454.67,2402.58,2441.92
KS11,2025-01-06,2453.3,2489.1,2446.82,2488.64
KS11,2025-01-07,2513.49,2521.86,2492.09,2492.1
KS11,2025-01-08,2481.25,2526.77,2481.25,2521.05
KS11,2025-01-09,2526.1,2535.87,2515.82,2521.9
KS11,2025-01-10,2528.42,2535.24,2506.29,2515.78
KS11,2025-01-13,2508.15,2513.93,2483.73,2489.56
KS11,2025-01-14,2501.49,2504.89,2482.74,2497.4
KS11,2025-01-15,2511.07,2524.36,2493.1,2496.81
KS11,2025-01-16,2528.27,2534.01,2519.86,2527.49
KS11,2025-01-17,2520.85,2528.48,2513.84,2523.55
KS11,2025-01-20,2533.68,2536.72,2516.28,2520.05
KS11,2025-01-21,2533.23,2548.44,2507.95,2518.03
KS11,2025-01-22,2535.8,2552.57,2526.89,2547.06
KS11,2025-01-23,2541.24,2541.6,2515.49,2515.49
KS11,2025-01-24,2529.29,2542.83,2522.64,2536.8
KS11,2025-01-31,2534.33,2537.98,2496.95,2517.37
KS11,2025-02-03,2468.74,2468.74,2437.61,2453.95
KS11,2025-02-04,2481.44,2508.35,2471.63,2481.69
KS11,2025-02-05,2503.94,2514.71,2498.74,2509.27
KS11,2025-02-06,2521.82,2536.75,2515.34,2536.75
KS11,2025-02-07,2532.09,2537.63,2519.01,2521.92
KS11,2025-02-10,2510.64,2527.33,2499.18,2521.27
KS11,2025-02-11,2532.87,2549.44,2527.74,2539.05
KS11,2025-02-12,2534.71,2549.58,2528.74,2548.39
KS11,2025-02-13,2558.95,2583.74,2555.98,2583.17
KS11,2025-02-14,2588.2,2600.57,2582.84,2591.05
KS11,2025-02-17,2595.99,2612.8,2592.57,2610.42
KS11,2025-02-18,2613.25,2628.47,2605.15,2626.81
KS11,2025-02-19,2633.91,2680.7,2633.91,2671.52
KS11,2025-02-20,2661.72,2667.59,2645.53,2654.06
KS11,2025-02-21,2653.76,2656.04,2638.44,2654.58
KS11,2025-02-24,2636.12,2645.27,2626.88,2645.27
KS11,2025-02-25,2617.64,2641.49,2617.12,2630.29
KS11,2025-02-26,2629.86,2648.06,2620.16,2641.09
KS11,2025-02-27,2637.63,2638.47,2610.47,2621.75
KS11,2025-02-28,2585.61,2586.78,2531.24,2532.78
KS11,2025-03-04,2522.2,2548.78,2513.31,2528.92
KS11,2025-03-05,2548.45,2561.47,2535.18,2558.13
KS11,2025-03-06,2573.55,2583.65,2565.57,2576.16
KS11,2025-03-07,2553.44,2575.48,2541.49,2563.48
KS11,2025-03-10,2555.4,2579.76,2549.99,2570.39
KS11,2025-03-11,2516.69,2547.88,2505.91,2537.6
KS11,2025-03-12,2552.6,2579.69,2541.66,2574.82
KS11,2025-03-13,2598.06,2600.07,2561.02,2573.64
KS11,2025-03-14,2565.18,2576.74,2559.24,2566.36
KS11,2025-03-17,2588.32,2610.69,2587.52,2610.69
KS11,2025-03-18,2627.27,2638.56,2606.91,2612.34
KS11,2025-03-19,2613.48,2642.83,2613.48,2628.62
KS11,2025-03-20,2648.16,2650.72,2629.2,2637.1
KS11,2025-03-21,2633.9,2645.82,2617.78,2643.13
KS11,2025-03-24,2636.43,2648.82,2629.38,2632.07
KS11,2025-03-25,2653.04,2654.63,2612.74,2615.81
KS11,2025-03-26,2628.09,2649.15,2618.05,2643.94
KS11,2025-03-27,2620.28,2633.03,2603.41,2607.15
KS11,2025-03-28,2592.63,2592.63,2549.26,2557.98
KS11,2025-03-31,2513.44,2514.22,2479.46,2481.12
KS11,2025-04-01,2511.24,2530.61,2494.43,2521.39
KS11,2025-04-02,2525.62,2532.15,2499.83,2505.86
KS11,2025-04-03,2437.43,2488.92,2437.43,2486.7
KS11,2025-04-04,2450.49,2506.71,2438.02,2465.42
KS11,2025-04-07,2359.25,2369.4,2327.01,2328.2
KS11,2025-04-08,2381.2,2381.31,2328.94,2334.23
KS11,2025-04-09,2329.99,2337.58,2284.72,2293.7
