code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
036930,주성엔지니어링,특수 목적용 기계 제조업,91521,7012.1,-0.2411,5.4412,-0.0155,급등/고점근접,PASS,,
420770,기가비스,특수 목적용 기계 제조업,15895,184.9,1.0064,4.5019,-0.1132,급등,PASS,,
089890,코세스,특수 목적용 기계 제조업,6219,100.8,0.1907,4.4075,-0.2089,급등,PASS,,
319660,피에스케이,특수 목적용 기계 제조업,26244,472.9,0.1486,4.0852,-0.0802,급등,PASS,,
064290,인텍플러스,특수 목적용 기계 제조업,5062,187.6,0.0702,3.7303,-0.0653,급등,PASS,,
095610,테스,특수 목적용 기계 제조업,20251,365.1,0.4625,3.6982,-0.1217,급등,PASS,,
417840,저스템,특수 목적용 기계 제조업,3370,230.9,0.2478,3.6902,-0.1532,급등,PASS,,
089970,브이엠,특수 목적용 기계 제조업,13426,270.2,1.0549,3.6598,-0.0798,급등,PASS,,
108490,로보티즈,특수 목적용 기계 제조업,59361,4333.7,0.2964,3.5788,0.0,급등/고점근접,PASS,,
240810,원익IPS,특수 목적용 기계 제조업,48053,650.1,0.216,3.0076,-0.2205,급등,PASS,,
090360,로보스타,특수 목적용 기계 제조업,15483,2496.4,-0.1504,2.2192,0.0,급등/고점근접,PASS,,
053610,프로텍,특수 목적용 기계 제조업,6750,57.5,0.3538,2.1959,-0.0876,급등,PASS,,
084370,유진테크,특수 목적용 기계 제조업,27453,269.3,0.0363,2.1714,-0.106,급등,PASS,,
031980,피에스케이홀딩스,특수 목적용 기계 제조업,21692,241.1,-0.0359,2.0241,-0.1907,급등,PASS,,
090710,휴림로봇,특수 목적용 기계 제조업,13069,732.8,0.2645,1.9871,-0.2578,급등,PASS,,
083450,GST,특수 목적용 기계 제조업,8883,200.0,0.0027,1.7703,-0.1041,급등,PASS,,
092870,엑시콘,특수 목적용 기계 제조업,3654,77.6,1.0887,1.7678,-0.2371,급등,PASS,,
039030,이오테크닉스,특수 목적용 기계 제조업,53220,726.5,0.1868,1.7229,-0.0769,급등,PASS,,
277810,레인보우로보틱스,특수 목적용 기계 제조업,148021,2276.2,0.7638,1.5027,-0.1128,급등,PASS,,
160980,싸이맥스,특수 목적용 기계 제조업,3288,48.8,-0.004,1.4807,-0.1909,급등,PASS,,
183300,코미코,특수 목적용 기계 제조업,9509,223.4,0.1912,1.4441,0.0,급등/고점근접,PASS,,
171090,선익시스템,특수 목적용 기계 제조업,7395,81.2,3.5673,1.2968,-0.4412,급등,PASS,,
098460,고영,특수 목적용 기계 제조업,22175,485.5,0.1487,1.1371,-0.1975,급등,PASS,,
323280,태성,특수 목적용 기계 제조업,15849,176.2,-0.3606,1.1183,-0.3472,급등,PASS,,
056080,유진로봇,특수 목적용 기계 제조업,7840,144.1,0.0826,0.7564,-0.4282,-,PASS,,
403870,HPSP,특수 목적용 기계 제조업,36335,1268.3,-0.0465,0.7532,-0.1606,-,PASS,,
222080,씨아이에스,특수 목적용 기계 제조업,8595,180.7,-0.1993,0.7378,-0.3564,-,PASS,,
110990,디아이티,특수 목적용 기계 제조업,3776,36.3,-0.075,0.7374,-0.1992,-,PASS,,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,3849,131.0,0.1119,0.6634,0.0,고점근접,PASS,,
232140,와이씨,특수 목적용 기계 제조업,12545,139.9,0.2906,0.6122,-0.3002,-,PASS,,
122640,예스티,특수 목적용 기계 제조업,5430,53.4,-0.1303,0.6053,-0.068,-,PASS,,
253590,네오셈,특수 목적용 기계 제조업,5887,87.3,-0.3925,0.5199,-0.2812,-,PASS,,
