code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
458870,씨어스,의료용 기기 제조업,11228,98.6,4.9472,2.8387,-0.461,급등,PASS,,
475830,오름테라퓨틱,기초 의약물질 제조업,13704,107.2,-0.9989,2.5741,-0.5111,급등,PASS,,
174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,6764,96.4,1.0147,2.5391,-0.4645,급등,PASS,,
376900,로킷헬스케어,의료용품 및 기타 의약 관련제품 제조업,8604,90.8,1.0019,2.4229,-0.5657,급등,PASS,,
042520,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업,3751,70.9,0.1065,2.3525,-0.4782,급등,PASS,,
290650,엘앤씨바이오,의약품 제조업,21252,350.1,0.1856,1.7315,-0.2008,급등,PASS,,
214370,케어젠,기초 의약물질 제조업,43885,99.2,-0.1184,1.581,-0.4028,급등,PASS,,
445680,큐리옥스바이오시스템즈,의료용 기기 제조업,15982,136.2,0.1229,1.3329,-0.2232,급등,PASS,,
000250,삼천당제약,의약품 제조업,70842,790.8,0.099,1.3014,-0.6357,급등,PASS,,
041830,인바디,의료용 기기 제조업,5763,35.4,0.1442,0.9224,-0.0676,-,PASS,,
237690,에스티팜,의약품 제조업,25743,188.6,0.2116,0.7416,-0.2268,-,PASS,,
298380,에이비엘바이오,기초 의약물질 제조업,59963,426.3,1.3755,0.6652,-0.4645,-,PASS,,
087010,펩트론,기초 의약물질 제조업,63073,546.6,0.7876,0.5985,-0.2044,-,PASS,,
039200,오스코텍,의약품 제조업,16068,385.1,1.9358,0.4677,-0.3226,-,PASS,,
304360,에스바이오메딕스,의약품 제조업,3542,16.3,0.2049,0.4673,-0.2503,-,PASS,,
102940,코오롱생명과학,기초 의약물질 제조업,6624,17.8,0.2949,0.4105,-0.2191,-,PASS,,
041960,코미팜,의약품 제조업,5268,20.4,-0.1074,0.365,-0.2665,-,PASS,,
085660,차바이오텍,기초 의약물질 제조업,11938,55.8,0.2136,0.2519,-0.4124,-,PASS,,
086450,동국제약,의약품 제조업,8377,72.1,0.1412,0.1337,-0.2251,-,PASS,,
007390,네이처셀,기초 의약물질 제조업,19814,975.4,-0.3587,0.0916,-0.1865,-,PASS,,
243070,휴온스,의약품 제조업,3312,14.9,0.0517,0.0595,-0.0799,-,PASS,,
195940,HK이노엔,의약품 제조업,12069,92.8,0.185,0.0514,-0.2433,-,PASS,,
028300,HLB,의료용품 및 기타 의약 관련제품 제조업,69396,431.1,0.2355,0.0346,-0.1431,-,PASS,,
099190,아이센스,의료용 기기 제조업,4831,18.2,0.0835,0.0028,-0.2851,-,PASS,,
068760,셀트리온제약,의약품 제조업,20514,73.3,0.1226,-0.0203,-0.368,소외(역발상?),PASS,,
340570,티앤엘,의료용품 및 기타 의약 관련제품 제조업,4422,67.0,-0.0614,-0.0571,-0.1111,-,PASS,,
096530,씨젠,의료용품 및 기타 의약 관련제품 제조업,16634,214.6,0.1448,-0.0816,-0.0378,고점근접,PASS,,
078160,메디포스트,기초 의약물질 제조업,4454,20.4,0.0425,-0.0874,-0.5928,소외(역발상?),PASS,,
389650,넥스트바이오메디컬,의료용 기기 제조업,3518,47.9,0.7267,-0.1053,-0.5246,소외(역발상?),PASS,,
206650,유바이오로직스,의약품 제조업,3636,33.1,0.5535,-0.1736,-0.3378,소외(역발상?),PASS,,
214150,클래시스,의료용 기기 제조업,27823,116.0,0.3864,-0.2863,-0.426,소외(역발상?),PASS,,
336570,원텍,의료용 기기 제조업,7023,118.1,0.3608,-0.2996,-0.3922,소외(역발상?),PASS,,
084110,휴온스글로벌,의약품 제조업,3608,31.0,0.0418,-0.3015,-0.5701,소외(역발상?),PASS,,
145020,휴젤,기초 의약물질 제조업,29899,149.4,0.1396,-0.3595,-0.3737,소외(역발상?),PASS,,
214450,파마리서치,의료용품 및 기타 의약 관련제품 제조업,30182,251.6,0.5318,-0.4022,-0.5728,소외(역발상?),PASS,,
086900,메디톡스,기초 의약물질 제조업,6342,105.5,0.0817,-0.4581,-0.5115,소외(역발상?),PASS,,
491000,리브스메드,의료용 기기 제조업,11990,119.8,,,,-,PASS,,
439960,코스모로보틱스,의료용 기기 제조업,9408,853.6,,,,-,PASS*,,
456160,지투지바이오,의약품 제조업,8885,75.5,-0.4498,,,-,PASS,,
099430,바이오플러스,기초 의약물질 제조업,3131,42.4,,,,-,PASS*,,
450950,아스테라시스,의료용 기기 제조업,3055,5.1,,,,-,PASS*,,
200130,콜마비앤에이치,기초 의약물질 제조업,3024,10.9,,,,-,PASS*,,
200670,휴메딕스,의약품 제조업,2965,9.2,,,,-,PASS*,,
041920,메디아나,의료용 기기 제조업,2953,35.2,,,,-,PASS*,,
314930,바이오다인,의료용 기기 제조업,2890,5.8,,,,-,PASS*,,
043150,바텍,의료용 기기 제조업,2781,5.6,,,,-,PASS*,,
053030,바이넥스,의약품 제조업,2778,21.1,,,,-,PASS*,,
220100,퓨쳐켐,의약품 제조업,2714,31.0,,,,-,PASS*,,
308430,셀비온,의약품 제조업,2504,13.0,,,,-,PASS*,,
217730,강스템바이오텍,기초 의약물질 제조업,2502,21.0,,,,-,PASS*,,
314130,지놈앤컴퍼니,기초 의약물질 제조업,2481,22.3,,,,-,PASS*,,
100120,뷰웍스,의료용 기기 제조업,2373,9.3,,,,-,PASS*,,
138610,나이벡,의료용품 및 기타 의약 관련제품 제조업,2347,16.0,,,,-,PASS*,,
394420,리센스메디컬,의료용 기기 제조업,2302,85.7,,,,-,PASS*,,
206640,바디텍메드,의료용품 및 기타 의약 관련제품 제조업,2283,6.5,,,,-,PASS*,,
0088M0,메쥬,의료용 기기 제조업,2218,34.3,,,,-,PASS*,,
067080,대화제약,의약품 제조업,2178,8.2,,,,-,PASS*,,
064550,바이오니아,의료용품 및 기타 의약 관련제품 제조업,2165,11.4,,,,-,PASS*,,
119610,인터로조,의료용 기기 제조업,2145,17.7,,,,-,PASS*,,
256840,한국비엔씨,기초 의약물질 제조업,2045,14.7,,,,-,PASS*,,
086820,바이오솔루션,기초 의약물질 제조업,1835,24.8,,,,-,PASS*,,
216080,제테마,의료용품 및 기타 의약 관련제품 제조업,1812,16.1,,,,-,PASS*,,
039860,나노엔텍,의료용 기기 제조업,1752,22.6,,,,-,PASS*,,
058820,CMG제약,의약품 제조업,1737,8.3,,,,-,PASS*,,
082800,비보존 제약,의약품 제조업,1718,91.2,,,,-,PASS*,,
106190,하이텍팜,기초 의약물질 제조업,1612,8.4,,,,-,PASS*,,
234690,녹십자웰빙,의약품 제조업,1602,14.7,,,,-,PASS*,,
166480,코아스템켐온,의약품 제조업,1602,21.4,,,,-,PASS*,,
023910,대한약품,의약품 제조업,1581,5.1,,,,-,PASS*,,
048870,시너지이노베이션,의료용 기기 제조업,1515,8.1,,,,-,PASS*,,
001540,안국약품,의약품 제조업,1480,20.2,,,,-,PASS*,,
056090,시지메드텍,의료용 기기 제조업,1420,10.8,,,,-,PASS*,,
307750,국전,의약품 제조업,1379,6.0,,,,-,PASS*,,
331920,셀레믹스,기초 의약물질 제조업,1371,15.8,,,,-,PASS*,,
240550,동방메디컬,의료용 기기 제조업,1352,9.6,,,,-,PASS*,,
086890,이수앱지스,의료용품 및 기타 의약 관련제품 제조업,1325,7.0,,,,-,PASS*,,
256940,킵스파마,의약품 제조업,1307,10.6,,,,-,PASS*,,
006620,동구바이오제약,의약품 제조업,1196,8.6,,,,-,PASS*,,
156100,엘앤케이바이오,의료용 기기 제조업,1180,6.6,,,,-,PASS*,,
214680,디알텍,의료용 기기 제조업,1111,6.8,,,,-,PASS*,,
131030,옵투스제약,의약품 제조업,1075,8.6,,,,-,PASS*,,
456070,이엔셀,기초 의약물질 제조업,1060,7.9,,,,-,PASS*,,
246710,티앤알바이오팹,기초 의약물질 제조업,991,5.2,,,,-,PASS*,,
059210,메타바이오메드,의료용품 및 기타 의약 관련제품 제조업,984,7.3,,,,-,PASS*,,
226400,오스테오닉,의료용 기기 제조업,978,16.6,,,,-,PASS*,,
464490,쿼드메디슨,기초 의약물질 제조업,966,7.3,,,,-,PASS*,,
142280,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업,875,59.2,,,,-,PASS*,,
251120,바이오에프디엔씨,기초 의약물질 제조업,858,5.0,,,,-,PASS*,,
460940,피앤에스로보틱스,의료용 기기 제조업,848,10.9,,,,-,PASS*,,
208370,셀바스헬스케어,의료용 기기 제조업,842,6.8,,,,-,PASS*,,
253840,수젠텍,의료용품 및 기타 의약 관련제품 제조업,839,21.7,,,,-,PASS*,,
048530,인트론바이오,기초 의약물질 제조업,839,5.6,,,,-,PASS*,,
054670,대한뉴팜,의약품 제조업,817,6.9,,,,-,PASS*,,
228670,레이,의료용 기기 제조업,813,6.6,,,,-,PASS*,,
205470,휴마시스,의료용품 및 기타 의약 관련제품 제조업,797,6.1,,,,-,PASS*,,
041910,폴라리스AI파마,의약품 제조업,764,6.5,,,,-,PASS*,,
290660,다이나믹솔루션,의료용 기기 제조업,733,32.9,,,,-,PASS*,,
191420,테고사이언스,기초 의약물질 제조업,678,13.4,,,,-,PASS*,,
229000,젠큐릭스,의료용품 및 기타 의약 관련제품 제조업,628,43.3,,,,-,PASS*,,
305090,마이크로디지탈,의료용 기기 제조업,542,5.2,,,,-,PASS*,,
378800,샤페론,기초 의약물질 제조업,527,5.3,,,,-,PASS*,,
