code,name,theme,guardrail,사유/플래그,board,mcap_억,adtv_억,부채비율,thesis_catalyst,기간,무효화_트리거,선반영점검,진입비중,메모
247540,에코프로비엠,2차전지,PASS,,중견기업부,193704,1774.2,1.42,,,,,,
086520,에코프로,2차전지,PASS,,중견기업부,173250,2738.4,1.18,,,,,,
277810,레인보우로보틱스,로봇,PASS,,기술성장기업부,148021,2276.2,0.07,,,,,,
108490,로보티즈,로봇,PASS,,기술성장기업부,59361,4333.7,0.02,,,,,,
087010,펩트론,바이오,PASS,,기술성장기업부,63073,546.6,0.26,,,,,,
028300,HLB,바이오,PASS,,중견기업부,69396,431.1,0.88,,,,,,
196170,알테오젠,바이오,PASS,,우량기업부,191303,1880.2,0.54,,,,,,
036930,주성엔지니어링,반도체소부장,PASS,,우량기업부,91521,7012.1,0.5,,,,,,
080220,제주반도체,반도체소부장,PASS,,우량기업부,34787,1979.0,0.48,,,,,,
043260,성호전자,전자부품,PASS,,우량기업부,33688,6660.9,1.29,,,,,,
083650,비에이치아이,발전설비,PASS,,우량기업부,20918,234.6,3.68,,,,,,
257720,실리콘투,화장품유통,PASS,,우량기업부,23280,229.8,0.55,,,,,,
