code,name,theme,state,state_ui,n_setup,pivot,to_pivot_pct,stop,R,rs26_%,regime,asof
247540,에코프로비엠,2차전지,WATCH,관찰만,1,186500.0,63.5,,,-73.3,RISK_OFF,2026-08-22
086520,에코프로,2차전지,WATCH,관찰만,2,125500.0,42.5,,,-75.2,RISK_OFF,2026-08-22
277810,레인보우로보틱스,로봇,WATCH,관찰만,4,683000.0,44.9,,,-60.4,RISK_OFF,2026-08-22
108490,로보티즈,로봇,WATCH,관찰만,5,369500.0,40.8,,,-32.7,RISK_OFF,2026-08-22
087010,펩트론,바이오,WATCH,관찰만,2,270000.0,45.2,,,-59.1,RISK_OFF,2026-08-22
028300,HLB,바이오,WATCH,관찰만,2,55900.0,40.1,,,-52.0,RISK_OFF,2026-08-22
196170,알테오젠,바이오,WATCH,관찰만,1,397500.0,17.1,,,-42.1,RISK_OFF,2026-08-22
036930,주성엔지니어링,반도체소부장,WATCH,관찰만,8,283000.0,59.6,,,191.2,RISK_OFF,2026-08-22
080220,제주반도체,반도체소부장,WATCH,관찰만,6,138000.0,80.4,,,40.8,RISK_OFF,2026-08-22
043260,성호전자,전자부품,WATCH,관찰만,3,52000.0,168.0,,,-42.2,RISK_OFF,2026-08-22
083650,비에이치아이,발전설비,WATCH,관찰만,4,80600.0,34.6,,,-58.8,RISK_OFF,2026-08-22
257720,실리콘투,화장품유통,WATCH,관찰만,4,48250.0,5.0,,,-21.0,RISK_OFF,2026-08-22
420770,기가비스,반도체소부장,WATCH,관찰만,6,206000.0,69.4,,,79.5,RISK_OFF,2026-08-22
298380,에이비엘바이오,바이오,WATCH,관찰만,0,114500.0,38.8,,,-82.7,RISK_OFF,2026-08-22
399720,가온칩스,반도체소부장,WATCH,관찰만,2,63600.0,34.9,,,-56.7,RISK_OFF,2026-08-22
