code,date,foreign_net,inst_net
005930,2019-01-31,2324908305600.0,-799816940500.0
005930,2019-02-28,557424860850.0,-175908006600.0
005930,2019-03-29,-180581196550.0,234005980500.0
005930,2019-04-30,633694178800.0,-303953507350.0
005930,2019-05-31,-432062803400.0,-344482965650.0
005930,2019-06-28,761862463700.0,259539317450.0
005930,2019-07-31,1337198781400.0,-279577907250.0
005930,2019-08-30,-1193946063650.0,959369271150.0
005930,2019-09-30,288292822050.0,640114407400.0
005930,2019-10-31,295240954500.0,422514999650.0
005930,2019-11-29,-942825534300.0,955748266400.0
005930,2019-12-30,383933185200.0,938302557250.0
005930,2020-01-31,-219419533600.0,-1120027827400.0
005930,2020-02-28,-1424596844700.0,-144666934400.0
005930,2020-03-31,-4933449469200.0,-222456359700.0
005930,2020-04-29,2768058350.0,-449979013450.0
005930,2020-05-29,-496289566450.0,-149554611050.0
005930,2020-06-30,405154525900.0,92390734000.0
005930,2020-07-31,2657378328000.0,-625902180700.0
005930,2020-08-31,-790526876400.0,-1106566843000.0
005930,2020-09-29,561647141100.0,-682816130700.0
005930,2020-10-30,372514720600.0,-480568990300.0
005930,2020-11-30,1427607087700.0,-254891672700.0
005930,2020-12-30,-1855056959300.0,-466917905300.0
005930,2021-01-29,-4456387071300.0,-5853774351500.0
005930,2021-02-26,-1320752144700.0,-1862858628300.0
005930,2021-03-31,-589195367700.0,-1907999934900.0
005930,2021-04-30,-385297983800.0,-2463663255500.0
005930,2021-05-31,-4098324075600.0,-181023281800.0
005930,2021-06-30,-395302973200.0,-1041295466800.0
005930,2021-07-30,-2276117410100.0,-811949378300.0
005930,2021-08-31,-6451043369200.0,638169751900.0
005930,2021-09-30,1021029315000.0,-1349965727700.0
005930,2021-10-29,-2515893798000.0,-15965855800.0
005930,2021-11-30,858621209600.0,216681899400.0
005930,2021-12-30,2734916826500.0,382548429700.0
005930,2022-01-28,629142745000.0,-2044273356200.0
005930,2022-02-28,1204274000.0,-758201058700.0
005930,2022-03-31,-1621605107700.0,-2260905659500.0
005930,2022-04-29,-3407628066300.0,-1187889458700.0
005930,2022-05-31,-1024348008900.0,-10388024300.0
005930,2022-06-30,-3534597885100.0,-180853117500.0
005930,2022-07-29,545646260000.0,-469767444800.0
005930,2022-08-31,131364528400.0,-1215568997400.0
005930,2022-09-30,-1849313125900.0,-128384920100.0
005930,2022-10-31,1501069011200.0,44937569800.0
005930,2022-11-30,733412113400.0,247659403400.0
005930,2022-12-29,-747599970100.0,222705706300.0
005930,2023-01-31,2215119501400.0,-53837473300.0
005930,2023-02-28,1105942675100.0,-1054657730600.0
005930,2023-03-31,1370387647100.0,149781596800.0
005930,2023-04-28,3125253888300.0,-707266452300.0
005930,2023-05-31,2551815011000.0,19191231600.0
005930,2023-06-30,1677699687800.0,-82530166300.0
005930,2023-07-31,791461448100.0,-207364515400.0
005930,2023-08-31,-15846900500.0,-981800709600.0
005930,2023-09-27,869164530900.0,130262232300.0
005930,2023-10-31,-574706296800.0,429334352800.0
005930,2023-11-30,1997294194200.0,912679860300.0
005930,2023-12-28,1565773481600.0,1426708528000.0
005930,2024-01-31,2304877230711.0,-3576874433111.0
005930,2024-02-29,232775409500.0,-707404467000.0
005930,2024-03-29,2961973163400.0,1796388864200.0
005930,2024-04-30,2114039348800.0,-2094117438800.0
005930,2024-05-31,-2570957006900.0,321313910300.0
005930,2024-06-28,2955451587200.0,-392115745700.0
005930,2024-07-31,2766986796800.0,847472081300.0
005930,2024-08-30,-2056920452200.0,-1378224698900.0
005930,2024-09-30,-8591282331700.0,276758308400.0
005930,2024-10-31,-4446973794500.0,73770895900.0
005930,2024-11-29,-3933603704800.0,256044978700.0
005930,2024-12-30,-2165068421900.0,634342788200.0
005930,2025-01-31,-1728364716800.0,-269264972500.0
005930,2025-02-28,-263991253116.0,239082823916.0
005930,2025-03-31,1471793558300.0,-68239934850.0
005930,2025-04-30,-2772932904000.0,22969019600.0
005930,2025-05-30,-1275730101550.0,282500183900.0
005930,2025-06-30,709937415100.0,-243787735400.0
005930,2025-07-31,3485581750150.0,-194964272550.0
005930,2025-08-29,-1162073304900.0,-271362420300.0
005930,2025-09-30,4910123490150.0,1401574320950.0
005930,2025-10-31,6963782451665.0,-673408886215.0
005930,2025-11-28,-2218406290200.0,893300088750.0
005930,2025-12-30,1381202753600.0,1633899117000.0
005930,2026-01-30,-4238403514250.0,-1245697896100.0
005930,2026-02-27,-14564071927450.0,4065856943900.0
005930,2026-03-31,-18173451247984.0,-2049676553366.0
005930,2026-04-30,1359982640508.0,1486778615842.0
005930,2026-05-29,-15974865319460.0,6166342631460.0
005930,2026-06-12,-10651094177250.0,1057938418250.0
000660,2019-01-31,819954359600.0,-43633800800.0
000660,2019-02-28,51351947400.0,-142344132900.0
000660,2019-03-29,140422699900.0,179530410600.0
000660,2019-04-30,416096147800.0,76935820100.0
000660,2019-05-31,-610286423100.0,170576183100.0
000660,2019-06-28,-3919878600.0,35542045000.0
000660,2019-07-31,660121806600.0,31047792900.0
000660,2019-08-30,73801370900.0,-1528300.0
000660,2019-09-30,-30289357100.0,228965166600.0
000660,2019-10-31,-223949646400.0,230188988000.0
000660,2019-11-29,-338698497900.0,339415938000.0
000660,2019-12-30,349962968800.0,223817420400.0
000660,2020-01-31,-132571151400.0,-199868304900.0
000660,2020-02-28,-201587460800.0,61398740100.0
000660,2020-03-31,-955202826000.0,472503982800.0
000660,2020-04-29,-237752221200.0,-110138523500.0
000660,2020-05-29,-409410237300.0,144126517200.0
000660,2020-06-30,145002459800.0,132295269400.0
000660,2020-07-31,-275959046800.0,-633367976300.0
000660,2020-08-31,-599006276100.0,-423470781400.0
000660,2020-09-29,930293676000.0,341062279500.0
000660,2020-10-30,23714733800.0,52648750200.0
000660,2020-11-30,916412356300.0,67857003200.0
000660,2020-12-30,108459018500.0,-137660014800.0
000660,2021-01-29,-22727727000.0,-871404625000.0
000660,2021-02-26,381642243000.0,3968377500.0
000660,2021-03-31,-296842051000.0,-670035613000.0
000660,2021-04-30,-217244205500.0,-607665971000.0
000660,2021-05-31,-502817776000.0,-128349715000.0
000660,2021-06-30,341378595000.0,-59417258000.0
000660,2021-07-30,-898926000000.0,-391603094500.0
000660,2021-08-31,-1536079878300.0,18795166700.0
000660,2021-09-30,471266269500.0,-265554016000.0
000660,2021-10-29,190393651200.0,-5845665100.0
000660,2021-11-30,1008958436000.0,471455417500.0
000660,2021-12-30,645687381000.0,635269363000.0
000660,2022-01-28,639253947000.0,-733918529500.0
000660,2022-02-28,937439711000.0,-23694613000.0
000660,2022-03-31,-396390497500.0,-307210920000.0
000660,2022-04-29,-505144514000.0,-228921844500.0
000660,2022-05-31,-69549935000.0,-154893266000.0
000660,2022-06-30,-147911337000.0,-209474083500.0
000660,2022-07-29,268576612300.0,-237497793000.0
000660,2022-08-31,241703633300.0,-413347236800.0
000660,2022-09-30,-226705601500.0,-33473606300.0
000660,2022-10-31,661124041500.0,-418688182200.0
000660,2022-11-30,-18579114700.0,43658691600.0
000660,2022-12-29,-540930067900.0,67918162800.0
000660,2023-01-31,628693063300.0,105085255600.0
000660,2023-02-28,313363346200.0,-173658992600.0
000660,2023-03-31,-644341612764.0,417881637764.0
000660,2023-04-28,-319046905592.0,545648299392.0
000660,2023-05-31,1467705605300.0,-423091291900.0
000660,2023-06-30,76908836200.0,284570208100.0
000660,2023-07-31,598119350500.0,101731042100.0
000660,2023-08-31,141572961500.0,-113891899400.0
000660,2023-09-27,-564281721200.0,344931338400.0
000660,2023-10-31,125837542800.0,242757290800.0
000660,2023-11-30,676182044600.0,-154131246600.0
000660,2023-12-28,251021573200.0,68366864800.0
000660,2024-01-31,-187803216600.0,-344866610500.0
000660,2024-02-29,1141120185300.0,-548761176100.0
000660,2024-03-29,805768254400.0,-414707275100.0
000660,2024-04-30,-600358096700.0,-33881222500.0
000660,2024-05-31,1500833566200.0,-511401554100.0
000660,2024-06-28,1145270704700.0,-711462210100.0
000660,2024-07-31,-2053698367700.0,305273645700.0
000660,2024-08-30,-887022891500.0,-305146658200.0
000660,2024-09-30,103028863500.0,97116817200.0
000660,2024-10-31,652802608800.0,-19135163000.0
000660,2024-11-29,-327877065000.0,-12311920900.0
000660,2024-12-30,416678248100.0,126082308700.0
000660,2025-01-31,1374356430800.0,-213002927400.0
000660,2025-02-28,265604766700.0,-56151598700.0
000660,2025-03-31,-109885169150.0,628989012950.0
000660,2025-04-30,-2611904472650.0,725849359450.0
000660,2025-05-30,1469413263450.0,235749565350.0
000660,2025-06-30,1469048697000.0,-568307268250.0
000660,2025-07-31,-188028425000.0,-906896682750.0
000660,2025-08-29,30366387250.0,78315644000.0
000660,2025-09-30,1365357311250.0,415817059000.0
000660,2025-10-31,-4489075102000.0,1294313488000.0
000660,2025-11-28,-8704163884000.0,2535242832000.0
000660,2025-12-30,2187683606500.0,1255472418500.0
000660,2026-01-30,-1738062116500.0,843681508500.0
000660,2026-02-27,-7585365550500.0,2798701030500.0
000660,2026-03-31,-8119671395000.0,773681477500.0
000660,2026-04-30,862024168100.0,2119300763400.0
000660,2026-05-29,-20659952564760.0,4630282172260.0
000660,2026-06-12,-5088871902500.0,281345466000.0
005935,2019-01-31,205086855950.0,-94592671050.0
005935,2019-02-28,-94802612800.0,101850290450.0
005935,2019-03-29,-45922840400.0,55790817750.0
005935,2019-04-30,2625048600.0,18061667800.0
005935,2019-05-31,-101856599050.0,52331058700.0
005935,2019-06-28,110406968100.0,-39946590300.0
005935,2019-07-31,91960672850.0,-20995983550.0
005935,2019-08-30,54645583450.0,-78171924950.0
005935,2019-09-30,-56833060600.0,72083599100.0
005935,2019-10-31,-156375467300.0,154464022200.0
005935,2019-11-29,-115268091950.0,45396949350.0
005935,2019-12-30,-28808344750.0,-2132377950.0
005935,2020-01-31,-122657810450.0,-151817016550.0
005935,2020-02-28,-366103807300.0,-246239232200.0
005935,2020-03-31,-701617589600.0,-37702489800.0
005935,2020-04-29,-59269584800.0,-80449501650.0
005935,2020-05-29,-117879593450.0,-129327245650.0
005935,2020-06-30,-112611616000.0,-187660450450.0
005935,2020-07-31,138449286550.0,35538305100.0
005935,2020-08-31,-199298394200.0,-184902587700.0
005935,2020-09-29,-474650912600.0,-11922518900.0
005935,2020-10-30,-159533394400.0,-132494719900.0
005935,2020-11-30,-628908653550.0,-28809368650.0
005935,2020-12-30,-1677862326900.0,-482854679700.0
005935,2021-01-29,-1670663462600.0,-233367939700.0
005935,2021-02-26,-401525248000.0,-72654622000.0
005935,2021-03-31,-467685798900.0,-85355023100.0
005935,2021-04-30,-420875990600.0,-71970001000.0
005935,2021-05-31,-447323894700.0,-34678314500.0
005935,2021-06-30,-241626417800.0,-15974012200.0
005935,2021-07-30,-282962615500.0,-54763070600.0
005935,2021-08-31,-272296232100.0,-122277938300.0
005935,2021-09-30,-80711251000.0,-68915701000.0
005935,2021-10-29,-394289824500.0,11798628300.0
005935,2021-11-30,64882964100.0,28476878300.0
005935,2021-12-30,187087107600.0,11664067800.0
005935,2022-01-28,107184231500.0,-42454767400.0
005935,2022-02-28,-36383699800.0,-19395821800.0
005935,2022-03-31,-602301845800.0,-31874214400.0
005935,2022-04-29,-524681893200.0,-81026966500.0
005935,2022-05-31,-145025580200.0,-19107475300.0
005935,2022-06-30,-48872664100.0,-62805947300.0
005935,2022-07-29,-71432213400.0,10167035600.0
005935,2022-08-31,-35737444900.0,-42066875200.0
005935,2022-09-30,-198811173850.0,4692565100.0
005935,2022-10-31,52189533450.0,19608716300.0
005935,2022-11-30,85336875900.0,21614144000.0
005935,2022-12-29,-24114350100.0,-11200214200.0
005935,2023-01-31,111250798600.0,50848271850.0
005935,2023-02-28,-65108050000.0,33834948800.0
005935,2023-03-31,-117718877000.0,73505943600.0
005935,2023-04-28,222374621200.0,28995061000.0
005935,2023-05-31,149254019600.0,30516640200.0
005935,2023-06-30,47887293600.0,31785687600.0
005935,2023-07-31,175923789100.0,31167423700.0
005935,2023-08-31,-173205664000.0,49413676200.0
005935,2023-09-27,-19602546900.0,27772806700.0
005935,2023-10-31,10114358400.0,-23400060000.0
005935,2023-11-30,127226466100.0,27929373000.0
005935,2023-12-28,178960243700.0,35779749600.0
005935,2024-01-31,103716614900.0,-39269513900.0
005935,2024-02-29,503296322600.0,-42878187900.0
005935,2024-03-29,444709458900.0,47847554700.0
005935,2024-04-30,263319308100.0,-20005196900.0
005935,2024-05-31,-119880795200.0,15717606900.0
005935,2024-06-28,-53302352600.0,32920647700.0
005935,2024-07-31,363325476300.0,76299410200.0
005935,2024-08-30,-50149672400.0,-47628674300.0
005935,2024-09-30,-332286432200.0,-113426432000.0
005935,2024-10-31,-158390005250.0,-44741221650.0
005935,2024-11-29,-53784879600.0,-51680872050.0
005935,2024-12-30,-272252790850.0,39335589050.0
005935,2025-01-31,-124754336250.0,-8260346950.0
005935,2025-02-28,-825924950.0,573743950.0
005935,2025-03-31,-11902507750.0,-3231910175.0
005935,2025-04-30,-119699409225.0,-21666682425.0
005935,2025-05-30,-118098449800.0,1409735750.0
