code,name,sector,mcap,adtv
005930,삼성전자,통신 및 방송 장비 제조업,2107583438184000,15945279373744
000660,SK하이닉스,반도체 제조업,1681977581400000,13587276562233
005935,삼성전자우,,185748933494500,2151492851000
402340,SK스퀘어,기타 금융업,177615987556000,1400802574500
005380,현대차,자동차용 엔진 및 자동차 제조업,149268411414000,1670617722500
009150,삼성전기,전자부품 제조업,135419670848000,3483214925500
373220,LG에너지솔루션,일차전지 및 이차전지 제조업,103545000000000,697367580000
032830,삼성생명,보험업,96000000000000,338227817250
028260,삼성물산,기타 전문 도매업,78732360575500,403527061282
329180,HD현대중공업,선박 및 보트 건조업,70638904425000,441794893500
012330,현대모비스,자동차 신품 부품 제조업,68866030497000,886724742500
000270,기아,자동차용 엔진 및 자동차 제조업,65901714062400,241132371600
034020,두산에너빌리티,일반 목적용 기계 제조업,64056114600000,502501798650
066570,LG전자,통신 및 방송 장비 제조업,63932220415000,3883483404750
207940,삼성바이오로직스,기초 의약물질 제조업,63279730017000,74911335500
105560,KB금융,기타 금융업,58388381253000,200680652350
012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업",55172839070000,388146046125
006400,삼성SDI,일차전지 및 이차전지 제조업,48512489060000,638110640500
034730,SK,기타 금융업,48431805604000,142716920000
055550,신한지주,기타 금융업,45756680400400,131358239600
035420,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",44003094168000,2481695690500
068270,셀트리온,기초 의약물질 제조업,41736787873900,132942161800
010120,LS ELECTRIC,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",36225000000000,256383116000
267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",35866899325000,208448694500
042660,한화오션,선박 및 보트 건조업,35543953704000,225269786300
298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",33046198112000,215006852500
006800,미래에셋증권,금융 지원 서비스업,32342965664000,196181916300
086790,하나금융지주,기타 금융업,32101026516000,107238361550
005490,POSCO홀딩스,1차 철강 제조업,31617369273000,237573768500
000150,두산,전자부품 제조업,31059775530000,358011134000
011070,LG이노텍,전자부품 제조업,29631217964000,1365537066000
000810,삼성화재,보험업,28619030193000,135296187000
010130,고려아연,1차 비철금속 제조업,27594065018000,37369193000
009540,HD한국조선해양,기타 금융업,27141489986000,159264735000
017670,SK텔레콤,전기 통신업,26891714635600,1029538710250
042700,한미반도체,특수 목적용 기계 제조업,26258511100000,300826362250
051910,LG화학,기초 화학물질 제조업,25060281765000,185147478000
307950,현대오토에버,소프트웨어 개발 및 공급업,24626735836000,265469742500
010140,삼성중공업,선박 및 보트 건조업,24376000000000,327276691100
015760,한국전력,전기업,24234143906750,68919784275
018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",23252028900000,608327003750
064350,현대로템,그외 기타 운송장비 제조업,22155885479000,142410224150
316140,우리금융지주,기타 금융업,21948881968000,72867384375
267250,HD현대,기타 금융업,21841588002500,57929030500
003550,LG,기타 금융업,21591021900000,273372947300
003670,포스코퓨처엠,일차전지 및 이차전지 제조업,19790533950000,104559773750
096770,SK이노베이션,석유 정제품 제조업,19660839244400,75547524300
033780,KT&G,담배 제조업,19163410177600,52426085800
035720,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",18793935625700,144098245050
011200,HMM,해상 운송업,18402572794700,32241968880
272210,한화시스템,전자부품 제조업,18400748488600,93705932150
138040,메리츠금융지주,기타 금융업,17755545665300,33131656272
086280,현대글로비스,기타 운송관련 서비스업,16612500000000,82404605250
024110,기업은행,은행 및 저축기관,16227616434150,33703536735
079550,LIG디펜스앤에어로스페이스,무기 및 총포탄 제조업,15972000000000,163600073500
278470,에이피알,기타 화학제품 제조업,15012700155000,102732305250
000720,현대건설,토목 건설업,14943943663000,119968268600
047810,한국항공우주,"항공기,우주선 및 부품 제조업",14328840729000,130073512000
030200,KT,전기 통신업,13583968821500,28207820206
071050,한국금융지주,기타 금융업,13457827068000,67355673500
006260,LS,기타 금융업,13275600000000,124180066000
064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",13147423143600,952657775700
010950,S-Oil,석유 정제품 제조업,12192716373600,64141269887
259960,크래프톤,소프트웨어 개발 및 공급업,11626522236000,45832595000
0126Z0,삼성에피스홀딩스,기타 금융업,11545734736000,23123261750
005940,NH투자증권,금융 지원 서비스업,10921954909850,39512043250
454910,두산로보틱스,특수 목적용 기계 제조업,10805490666000,1475472922000
016360,삼성증권,금융 지원 서비스업,10769580000000,94385356050
047050,포스코인터내셔널,상품 중개업,10537775001200,36857276300
323410,카카오뱅크,은행 및 저축기관,10496649614000,20382790305
443060,HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업",10177195420000,59242882000
007660,이수페타시스,전자부품 제조업,10005676549700,194991837050
005387,현대차2우B,,9859828260000,106706635250
028050,삼성E&A,"건축기술, 엔지니어링 및 관련 기술 서비스업",9662800000000,79922896300
039490,키움증권,금융 지원 서비스업,9547107024000,42237625750
005830,DB손해보험,보험업,9530300779500,34054057400
047040,대우건설,건물 건설업,9368694146400,251441489325
003490,대한항공,항공 여객 운송업,9315982723300,42089571750
352820,하이브,오디오물 출판 및 원판 녹음업,9202330161500,61072122000
161390,한국타이어앤테크놀로지,고무제품 제조업,8646479816200,31843147950
003230,삼양식품,기타 식품 제조업,8587637100000,67858576500
