code,market
000020,KOSPI
000040,KOSPI
000050,KOSPI
000070,KOSPI
000080,KOSPI
000087,KOSPI
000100,KOSPI
000105,KOSPI
000120,KOSPI
000140,KOSPI
000145,KOSPI
000150,KOSPI
000155,KOSPI
000157,KOSPI
000180,KOSPI
0001A0,KOSDAQ
000210,KOSPI
000215,KOSPI
000220,KOSPI
000225,KOSPI
000227,KOSPI
000230,KOSPI
000240,KOSPI
000250,KOSDAQ
000270,KOSPI
000300,KOSPI
000320,KOSPI
000325,KOSPI
000370,KOSPI
000390,KOSPI
000400,KOSPI
000430,KOSPI
000440,KOSDAQ
000480,KOSPI
000490,KOSPI
0004V0,KOSDAQ
0004Y0,KOSDAQ
000500,KOSPI
000520,KOSPI
000540,KOSPI
000545,KOSPI
000590,KOSPI
000640,KOSPI
000650,KOSPI
000660,KOSPI
000670,KOSPI
000680,KOSPI
000700,KOSPI
000720,KOSPI
000725,KOSPI
000760,KOSPI
0007C0,KOSDAQ
0007J0,KOSDAQ
000810,KOSPI
000815,KOSPI
000850,KOSPI
000860,KOSPI
000880,KOSPI
00088K,KOSPI
000890,KOSPI
0008Z0,KOSDAQ
000910,KOSPI
000950,KOSPI
000970,KOSPI
000990,KOSPI
0009K0,KOSDAQ
001000,KOSDAQ
001020,KOSPI
001040,KOSPI
001045,KOSPI
00104K,KOSPI
001060,KOSPI
001065,KOSPI
001067,KOSPI
001070,KOSPI
001080,KOSPI
0010F0,KOSDAQ
0010V0,KOSDAQ
001120,KOSPI
001130,KOSPI
0011A0,KOSDAQ
0011T0,KOSDAQ
001200,KOSPI
001210,KOSPI
001230,KOSPI
001250,KOSPI
001260,KOSPI
001270,KOSPI
001275,KOSPI
001290,KOSPI
001340,KOSPI
001360,KOSPI
001380,KOSPI
001390,KOSPI
0013V0,KOSDAQ
001420,KOSPI
001430,KOSPI
001440,KOSPI
001450,KOSPI
001460,KOSPI
001465,KOSPI
001470,KOSPI
001500,KOSPI
001510,KOSPI
001515,KOSPI
001520,KOSPI
001525,KOSPI
001527,KOSPI
001530,KOSPI
001540,KOSDAQ
001550,KOSPI
001560,KOSPI
001570,KOSPI
0015G0,KOSDAQ
0015N0,KOSDAQ
0015S0,KOSDAQ
001620,KOSPI
001630,KOSPI
001680,KOSPI
001685,KOSPI
001720,KOSPI
001740,KOSPI
001750,KOSPI
001755,KOSPI
001770,KOSPI
001780,KOSPI
001790,KOSPI
001795,KOSPI
001800,KOSPI
001810,KOSDAQ
001820,KOSPI
001840,KOSDAQ
001940,KOSPI
002020,KOSPI
002025,KOSPI
002030,KOSPI
002070,KOSPI
002100,KOSPI
002140,KOSPI
002150,KOSPI
002170,KOSPI
002200,KOSPI
002210,KOSPI
002220,KOSPI
002230,KOSDAQ
002240,KOSPI
002290,KOSDAQ
002310,KOSPI
002320,KOSPI
002350,KOSPI
002355,KOSPI
002360,KOSPI
002380,KOSPI
002390,KOSPI
002410,KOSPI
002420,KOSPI
002450,KOSPI
002460,KOSPI
002600,KOSPI
002620,KOSPI
002630,KOSPI
002680,KOSDAQ
002690,KOSPI
002700,KOSPI
002710,KOSPI
002720,KOSPI
002760,KOSPI
002780,KOSPI
002785,KOSPI
002787,KOSPI
002790,KOSPI
002795,KOSPI
00279K,KOSPI
002800,KOSDAQ
002810,KOSPI
002820,KOSPI
002840,KOSPI
002870,KOSPI
002880,KOSPI
002900,KOSPI
002920,KOSPI
002960,KOSPI
002990,KOSPI
002995,KOSPI
003000,KOSPI
003010,KOSPI
003030,KOSPI
003060,KOSPI
003070,KOSPI
003075,KOSPI
003080,KOSPI
003090,KOSPI
0030R0,KOSPI
003100,KOSDAQ
