date,trend,vol,flow,score,state,n_factors
2022-06-02,-1.0,-0.863,0.723,-0.4949,RISK_OFF,3
2022-07-01,-1.0,-1.0,-0.47,-0.8587,RISK_OFF,3
2022-08-01,-1.0,0.095,0.747,-0.1691,RISK_OFF,3
2022-09-01,-1.0,-0.387,0.399,-0.4226,RISK_OFF,3
2022-10-04,-1.0,-1.0,0.031,-0.7251,RISK_OFF,3
2022-11-01,-1.0,-0.325,0.902,-0.2678,RISK_OFF,3
2022-12-01,0.333,-0.032,0.889,0.3596,RISK_ON,3
2023-01-02,-1.0,0.373,0.23,-0.2143,RISK_OFF,3
2023-02-01,1.0,0.468,0.977,0.8165,RISK_ON,3
2023-03-02,1.0,0.381,-0.446,0.4081,RISK_ON,3
2023-04-03,1.0,0.556,0.008,0.5875,RISK_ON,3
2023-05-02,1.0,0.486,0.518,0.7001,RISK_ON,3
2023-06-01,1.0,0.976,0.776,0.9323,RISK_ON,3
2023-07-03,1.0,0.303,-0.314,0.4173,RISK_ON,3
2023-08-01,1.0,-0.014,-0.946,0.1431,NEUTRAL,3
2023-09-01,0.333,0.571,-0.727,0.1297,NEUTRAL,3
2023-10-04,-1.0,-0.26,-0.676,-0.6669,RISK_OFF,3
2023-11-01,-1.0,-1.0,-0.629,-0.9011,RISK_OFF,3
2023-12-01,-0.333,-0.865,0.894,-0.1831,RISK_OFF,3
2024-01-02,1.0,-0.038,0.973,0.6468,RISK_ON,3
2024-02-01,1.0,-0.008,-0.095,0.372,RISK_ON,3
2024-03-04,1.0,-0.935,0.975,0.3483,RISK_ON,3
2024-04-01,1.0,-0.389,0.75,0.4703,RISK_ON,3
2024-05-02,1.0,-1.0,-0.556,-0.0816,NEUTRAL,3
2024-06-03,0.333,-0.665,-0.298,-0.1679,NEUTRAL,3
2024-07-01,1.0,0.698,0.416,0.7436,RISK_ON,3
2024-08-01,1.0,-0.046,0.199,0.4377,RISK_ON,3
2024-09-02,-0.333,-0.849,-0.757,-0.6181,RISK_OFF,3
2024-10-02,-1.0,-0.975,-0.967,-0.9829,RISK_OFF,3
2024-11-01,-1.0,0.675,-0.805,-0.3897,RISK_OFF,3
2024-12-02,-1.0,-0.294,-0.615,-0.662,RISK_OFF,3
2025-01-02,-1.0,-0.762,-0.259,-0.7231,RISK_OFF,3
2025-02-03,-1.0,-0.3,-0.628,-0.6675,RISK_OFF,3
2025-03-04,-0.333,-0.506,-0.384,-0.4043,RISK_OFF,3
2025-04-01,-1.0,-0.768,0.185,-0.6067,RISK_OFF,3
2025-05-02,0.333,-0.714,-0.692,-0.2893,RISK_OFF,3
2025-06-02,1.0,0.311,0.859,0.7327,RISK_ON,3
2025-07-01,1.0,0.135,0.595,0.6037,RISK_ON,3
2025-08-01,1.0,-0.57,0.904,0.4511,RISK_ON,3
2025-09-01,1.0,0.817,0.176,0.7193,RISK_ON,3
2025-10-01,1.0,0.129,0.994,0.7081,RISK_ON,3
2025-11-03,1.0,-0.611,0.845,0.4217,RISK_ON,3
2025-12-01,1.0,-0.794,-0.953,-0.1188,NEUTRAL,3
2026-01-02,1.0,-0.333,0.889,0.5261,RISK_ON,3
2026-02-02,1.0,-0.863,-0.961,-0.1439,NEUTRAL,3
2026-03-03,1.0,-1.0,-0.996,-0.1989,NEUTRAL,3
2026-04-01,1.0,-0.833,-0.993,-0.1425,NEUTRAL,3
2026-05-04,1.0,-0.365,0.871,0.5106,RISK_ON,3
2026-06-01,1.0,-1.0,-0.994,-0.1984,NEUTRAL,3
