date,trend,vol,flow,score,state,n_factors
2022-06-02,-1.0,-0.516,0.121,-0.5397,RISK_OFF,3
2022-07-01,-1.0,-1.0,-0.423,-0.8461,RISK_OFF,3
2022-08-01,-1.0,0.246,0.075,-0.298,RISK_OFF,3
2022-09-01,-1.0,-0.411,-0.281,-0.6119,RISK_OFF,3
2022-10-04,-1.0,-1.0,0.795,-0.5213,RISK_OFF,3
2022-11-01,-1.0,-0.643,0.268,-0.5429,RISK_OFF,3
2022-12-01,-0.333,-0.189,0.683,-0.0141,RISK_OFF,3
2023-01-02,-1.0,0.302,0.656,-0.1244,RISK_OFF,3
2023-02-01,0.333,0.913,0.602,0.5981,RISK_ON,3
2023-03-02,1.0,0.105,-0.535,0.2923,NEUTRAL,3
2023-04-03,1.0,-0.151,-0.987,0.0865,NEUTRAL,3
2023-05-02,1.0,-0.213,-0.914,0.0853,NEUTRAL,3
2023-06-01,1.0,0.865,0.495,0.8203,RISK_ON,3
2023-07-03,1.0,0.2,0.471,0.5923,RISK_ON,3
2023-08-01,1.0,-1.0,0.932,0.3152,RISK_ON,3
2023-09-01,1.0,0.302,0.711,0.6903,RISK_ON,3
2023-10-04,-1.0,-0.49,-0.794,-0.7751,RISK_OFF,3
2023-11-01,-1.0,-1.0,0.383,-0.6312,RISK_OFF,3
2023-12-01,-0.333,-0.802,0.195,-0.3485,RISK_OFF,3
2024-01-02,1.0,0.279,0.741,0.6906,RISK_ON,3
2024-02-01,-1.0,-0.284,-0.359,-0.5904,RISK_OFF,3
2024-03-04,1.0,0.841,-0.392,0.5758,RISK_ON,3
2024-04-01,1.0,0.944,0.246,0.7803,RISK_ON,3
2024-05-02,1.0,-0.103,-0.758,0.1635,NEUTRAL,3
2024-06-03,-1.0,0.565,0.841,0.0126,NEUTRAL,3
2024-07-01,-1.0,1.0,0.092,-0.0421,NEUTRAL,3
2024-08-01,-1.0,0.19,-0.308,-0.4188,RISK_OFF,3
2024-09-02,-1.0,-0.857,0.261,-0.6161,RISK_OFF,3
2024-10-02,-1.0,-0.816,0.78,-0.464,RISK_OFF,3
2024-11-01,-1.0,-0.103,-0.427,-0.5482,RISK_OFF,3
2024-12-02,-1.0,-0.397,0.626,-0.3654,RISK_OFF,3
2025-01-02,-1.0,-1.0,0.825,-0.5133,RISK_OFF,3
2025-02-03,-0.333,-0.578,-0.411,-0.4355,RISK_OFF,3
2025-03-04,0.333,-0.3,-0.721,-0.1591,RISK_OFF,3
2025-04-01,-1.0,-0.649,-0.559,-0.7654,RISK_OFF,3
2025-05-02,-0.333,-0.571,-0.01,-0.3262,RISK_OFF,3
2025-06-02,1.0,0.786,0.595,0.8207,RISK_ON,3
2025-07-01,1.0,0.176,0.544,0.6037,RISK_ON,3
2025-08-01,1.0,0.256,-0.692,0.3008,RISK_ON,3
2025-09-01,0.333,0.675,0.507,0.4934,RISK_ON,3
2025-10-01,1.0,0.359,-0.073,0.5002,RISK_ON,3
2025-11-03,1.0,0.46,0.835,0.776,RISK_ON,3
2025-12-01,1.0,-0.998,0.89,0.3047,RISK_ON,3
2026-01-02,1.0,0.452,-0.213,0.4939,RISK_ON,3
2026-02-02,1.0,-1.0,1.0,0.3333,RISK_ON,3
2026-03-03,1.0,-0.897,0.941,0.3519,RISK_ON,3
2026-04-01,1.0,-0.841,-0.253,0.0522,NEUTRAL,3
2026-05-04,1.0,-0.286,-0.697,0.1188,NEUTRAL,3
2026-06-01,-0.333,-0.863,-0.183,-0.4697,RISK_OFF,3
