code,fiscal_year,F,accrual,noa_ratio,market,sector,name
000070,2019,3,-0.04370898121584148,,KOSPI,기타 금융업,삼양홀딩스
000070,2020,7,-0.026254345310788442,0.842435215463709,KOSPI,기타 금융업,삼양홀딩스
000070,2021,7,0.007321454633009228,0.8429298085430704,KOSPI,기타 금융업,삼양홀딩스
000070,2022,5,0.002241752626170873,0.7984212398855847,KOSPI,기타 금융업,삼양홀딩스
000070,2023,7,-0.01534067906109062,0.7756362084673822,KOSPI,기타 금융업,삼양홀딩스
000070,2024,7,-0.03202048086756233,0.7788793358816244,KOSPI,기타 금융업,삼양홀딩스
000070,2025,4,-0.10468421296830084,0.6703609393892355,KOSPI,기타 금융업,삼양홀딩스
000080,2019,2,-0.02159882286285234,,KOSPI,알코올음료 제조업,하이트진로
000080,2020,9,-0.08980701120970618,0.4884603318438755,KOSPI,알코올음료 제조업,하이트진로
000080,2021,6,-0.15160744968792278,0.4016200652190978,KOSPI,알코올음료 제조업,하이트진로
000080,2022,6,0.04824760920146759,0.41675344679201537,KOSPI,알코올음료 제조업,하이트진로
000080,2023,7,-0.03838441066806142,0.43446443774758137,KOSPI,알코올음료 제조업,하이트진로
000080,2024,7,-0.05779132256542242,0.45531616197488506,KOSPI,알코올음료 제조업,하이트진로
000080,2025,6,-0.05850894873229291,0.4422167904782635,KOSPI,알코올음료 제조업,하이트진로
000100,2019,3,-0.013873551717291209,,KOSPI,의약품 제조업,유한양행
000100,2020,4,0.06750373785038022,0.7830422000521934,KOSPI,의약품 제조업,유한양행
000100,2021,4,5.122529721890072e-05,0.7429406127313539,KOSPI,의약품 제조업,유한양행
000100,2022,5,-0.003614002417675272,0.7084703322607968,KOSPI,의약품 제조업,유한양행
000100,2023,5,-0.003587893341453901,0.7811696794493324,KOSPI,의약품 제조업,유한양행
000100,2024,5,0.00019097922033233005,0.7165551339821842,KOSPI,의약품 제조업,유한양행
000100,2025,6,0.024555548690498072,0.726978909999336,KOSPI,의약품 제조업,유한양행
000120,2019,3,-0.08763312168621563,,KOSPI,도로 화물 운송업,CJ대한통운
000120,2020,6,-0.04456104618986888,0.7078220943197611,KOSPI,도로 화물 운송업,CJ대한통운
000120,2021,9,-0.020665449788089516,0.6548982660512855,KOSPI,도로 화물 운송업,CJ대한통운
000120,2022,7,-0.04395998303860517,0.6672974836954728,KOSPI,도로 화물 운송업,CJ대한통운
000120,2023,7,-0.06344836553625831,0.6649087269209508,KOSPI,도로 화물 운송업,CJ대한통운
000120,2024,7,-0.03467653300593745,0.6914061668266059,KOSPI,도로 화물 운송업,CJ대한통운
000120,2025,4,-0.0622501347016143,0.708780231909676,KOSPI,도로 화물 운송업,CJ대한통운
000150,2019,3,-0.01614370212247597,,KOSPI,전자부품 제조업,두산
000150,2020,4,-0.029037393221409406,0.3982191425811065,KOSPI,전자부품 제조업,두산
000150,2021,8,-0.003325035283512129,0.39073604753495167,KOSPI,전자부품 제조업,두산
000150,2022,5,-0.042346085979106544,0.5675803425392287,KOSPI,전자부품 제조업,두산
000150,2023,8,-0.05785858190235589,0.5057423981102656,KOSPI,전자부품 제조업,두산
000150,2024,6,-0.00018588024714011315,0.5449480070328209,KOSPI,전자부품 제조업,두산
000150,2025,6,-0.02224252051185461,0.47259546914658274,KOSPI,전자부품 제조업,두산
000210,2019,3,-0.017991517670632482,,KOSPI,기초 화학물질 제조업,DL
000210,2020,6,-0.057080710907199336,0.32721086487343537,KOSPI,기초 화학물질 제조업,DL
000210,2021,6,0.05229866962396006,0.35704551707017884,KOSPI,기초 화학물질 제조업,DL
000210,2022,6,-0.010488776696021994,1.0746990080707277,KOSPI,기초 화학물질 제조업,DL
000210,2023,4,-0.036801197314338945,0.6749099017324713,KOSPI,기초 화학물질 제조업,DL
000210,2024,8,-0.036877052450896,0.7439327200311784,KOSPI,기초 화학물질 제조업,DL
000210,2025,5,-0.05017275860027436,0.6879745343261487,KOSPI,기초 화학물질 제조업,DL
000240,2019,2,0.021008026990051845,,KOSPI,기타 금융업,한국앤컴퍼니
000240,2020,3,0.0041722471098170535,0.9602974998540449,KOSPI,기타 금융업,한국앤컴퍼니
000240,2021,5,0.04040315571972054,0.9922293295034688,KOSPI,기타 금융업,한국앤컴퍼니
000240,2022,4,0.030761947977904675,0.9619308316224896,KOSPI,기타 금융업,한국앤컴퍼니
000240,2023,6,0.031331548017460395,0.9257278150815134,KOSPI,기타 금융업,한국앤컴퍼니
000240,2024,6,0.042332467960331376,0.9636620633970464,KOSPI,기타 금융업,한국앤컴퍼니
000240,2025,5,0.021196699071977465,0.9567346542759612,KOSPI,기타 금융업,한국앤컴퍼니
000250,2019,3,-0.037923025404171064,,KOSDAQ,의약품 제조업,삼천당제약
000250,2020,3,0.013388635155466896,0.8081484803427569,KOSDAQ,의약품 제조업,삼천당제약
000250,2021,2,-0.007716060986781805,0.7594809864091907,KOSDAQ,의약품 제조업,삼천당제약
