rank,code,name,theme,score,grade,F,ex12_pct,adtv_ek
1,114090,GKL,엔터/미디어,17.0,S+,9.0,-0.421,28.0
2,207940,삼성바이오로직스,바이오/제약,17.0,S+,9.0,-0.15,749.0
3,012510,더존비즈온,반도체/전자,16.67,S+,8.0,0.675,100.0
4,007070,GS리테일,유통/소비/식품,16.67,S+,8.0,0.309,37.0
5,069960,현대백화점,유통/소비/식품,16.67,S+,8.0,1.459,257.0
6,073240,금호타이어,화학/에너지,16.0,S+,9.0,-0.019,54.0
7,034220,LG디스플레이,반도체/전자,15.67,S+,8.0,0.184,10380.0
8,010140,삼성중공업,조선,15.67,S+,8.0,0.288,3273.0
9,093370,후성,반도체,15.0,S+,9.0,3.136,129.0
10,081660,미스토홀딩스,유통/소비/식품,14.67,S+,8.0,0.057,127.0
11,329180,HD현대중공업,조선,14.33,S+,7.0,0.279,4418.0
12,003160,디아이,반도체,14.33,S+,7.0,0.552,80.0
13,001740,SK네트웍스,유통/소비/식품,14.33,S+,7.0,1.141,662.0
14,204320,HL만도,자동차,14.33,S+,7.0,0.389,406.0
15,002960,한국쉘석유,화학/에너지,14.0,S+,9.0,0.0,10.0
16,229640,LS에코에너지,금융,13.67,S,8.0,0.417,140.0
17,023530,롯데쇼핑,유통/소비/식품,13.67,S,8.0,1.184,262.0
18,000640,동아쏘시오홀딩스,금융,13.67,S,8.0,-0.357,15.0
19,278470,에이피알,화학/에너지,13.67,S,8.0,1.397,1027.0
20,267250,HD현대,금융,13.67,S,8.0,0.438,579.0
21,066570,LG전자,반도체/전자,13.33,S,7.0,1.648,38835.0
22,030200,KT,통신,13.33,S,7.0,-0.153,282.0
23,267260,HD현대일렉트릭,전력/전기장비,13.33,S,7.0,0.814,2084.0
24,082740,한화엔진,기계/장비,13.33,S,7.0,0.69,529.0
25,007340,DN오토모티브,2차전지,13.0,S,6.0,0.618,119.0
26,000650,천일고속,운송/물류/여행,13.0,S,,3.079,448.0
27,178920,PI첨단소재,화학/에너지,13.0,S,9.0,0.014,68.0
28,282330,BGF리테일,유통/소비/식품,13.0,S,6.0,-0.146,93.0
29,079160,CJ CGV,엔터/미디어,13.0,S,6.0,-0.244,27.0
30,100840,SNT에너지,기계/장비,13.0,S,9.0,-0.424,70.0
31,009540,HD한국조선해양,금융,13.0,S,9.0,-0.146,1593.0
32,214320,이노션,엔터/미디어,13.0,S,6.0,-0.195,47.0
33,417310,코람코더원리츠,건설/엔지니어링,13.0,S,,0.74,17.0
34,103590,일진전기,전력/전기장비,12.67,S,8.0,0.749,359.0
35,042700,한미반도체,반도체,12.67,S,8.0,1.412,3008.0
36,069260,TKG휴켐스,화학/에너지,12.33,S,7.0,-0.198,21.0
37,012750,에스원,서비스/기타사업,12.33,S,7.0,-0.063,77.0
38,448730,삼성FN리츠,건설/엔지니어링,12.33,S,7.0,0.133,5.0
39,307950,현대오토에버,인터넷/SW,12.0,S,6.0,2.004,2655.0
40,005300,롯데칠성,유통/소비/식품,12.0,S,6.0,-0.275,36.0
41,019180,티에이치엔,전력/전기장비,12.0,S,,1.085,45.0
42,011070,LG이노텍,반도체/전자,12.0,S,6.0,5.553,13655.0
43,015360,INVENI,서비스/기타사업,12.0,S,,0.186,6.0
44,249420,일동제약,바이오/제약,12.0,S,6.0,0.242,43.0
45,109070,주성코퍼레이션,반도체/전자,12.0,S,,0.82,21.0
46,033240,자화전자,반도체/전자,12.0,S,6.0,0.733,168.0
47,004170,신세계,유통/소비/식품,12.0,S,6.0,2.905,818.0
48,181710,NHN,인터넷/SW,12.0,S,6.0,0.097,297.0
49,005430,한국공항,운송/물류/여행,12.0,S,,0.459,8.0
50,000080,하이트진로,유통/소비/식품,12.0,S,6.0,-0.406,62.0
51,161890,한국콜마,화학/에너지,12.0,S,9.0,-0.106,118.0
52,085310,엔케이,철강/소재,12.0,S,,-0.035,12.0
53,025560,미래산업,반도체/전자,12.0,S,,4.1,44.0
54,007460,에이프로젠,바이오/제약,12.0,S,,2.685,9.0
55,017940,E1,유통/소비/식품,11.67,A,8.0,-0.096,20.0
56,298040,효성중공업,전력/전기장비,11.67,A,8.0,2.756,2150.0
57,042660,한화오션,조선,11.67,A,8.0,0.161,2253.0
58,086280,현대글로비스,운송/물류/여행,11.33,A,7.0,0.256,824.0
59,377740,바이오노트,바이오/제약,11.33,A,7.0,-0.199,4.0
60,018670,SK가스,유통/소비/식품,11.33,A,7.0,-0.293,19.0
61,032640,LG유플러스,통신,11.33,A,7.0,-0.124,539.0
62,112610,씨에스윈드,철강/소재,11.33,A,7.0,-0.195,125.0
63,093050,LF,유통/소비/식품,11.33,A,7.0,0.122,13.0
64,281820,케이씨텍,반도체,11.33,A,7.0,3.249,70.0
65,111770,영원무역,유통/소비/식품,11.33,A,7.0,0.046,49.0
66,005930,삼성전자,반도체,11.33,A,7.0,4.483,159453.0
67,077970,STX엔진,기계/장비,11.33,A,7.0,0.26,167.0
68,002350,넥센타이어,화학/에너지,11.33,A,7.0,0.01,15.0
69,000150,두산,반도체/전자,11.0,A,6.0,1.164,3580.0
70,007310,오뚜기,유통/소비/식품,11.0,A,6.0,-0.334,71.0
71,034310,NICE,서비스/기타사업,11.0,A,6.0,-0.218,10.0
72,030000,제일기획,엔터/미디어,11.0,A,6.0,-0.195,82.0
73,030190,NICE평가정보,인터넷/SW,11.0,A,6.0,-0.262,23.0
74,234080,JW생명과학,바이오/제약,11.0,A,,-0.145,6.0
75,011210,현대위아,자동차,11.0,A,6.0,0.292,264.0
76,015760,한국전력,유틸리티,11.0,A,9.0,-0.161,689.0
77,004690,삼천리,유틸리티,11.0,A,9.0,-0.231,13.0
78,022100,포스코DX,건설/엔지니어링,11.0,A,6.0,-0.179,770.0
79,415640,KB발해인프라,금융,11.0,A,,0.154,10.0
80,000815,삼성화재우,미분류,11.0,A,,0.153,85.0
81,000660,SK하이닉스,반도체,10.67,A,8.0,7.973,135873.0
82,004000,롯데정밀화학,화학/에너지,10.67,A,8.0,0.014,58.0
83,139480,이마트,유통/소비/식품,10.67,A,8.0,-0.138,144.0
84,330590,롯데리츠,건설/엔지니어링,10.67,A,8.0,-0.183,17.0
85,004370,농심,유통/소비/식품,10.33,A,7.0,-0.249,82.0
86,008060,대덕,금융,10.33,A,7.0,1.026,38.0
87,381970,케이카,자동차,10.33,A,7.0,-0.555,17.0
88,443060,HD현대마린솔루션,건설/엔지니어링,10.33,A,7.0,-0.01,592.0
89,001060,JW중외제약,바이오/제약,10.33,A,7.0,0.045,17.0
90,326030,SK바이오팜,바이오/제약,10.33,A,7.0,-0.161,251.0
91,010120,LS ELECTRIC,전력/전기장비,10.33,A,7.0,2.877,2564.0
92,034730,SK,금융,10.33,A,7.0,2.976,1427.0
93,267270,HD건설기계,기계/장비,10.33,A,7.0,0.539,607.0
94,037710,광주신세계,유통/소비/식품,10.0,A,,0.391,4.0
95,004090,한국석유,화학/에너지,10.0,A,,-0.31,36.0
96,003780,진양산업,화학/에너지,10.0,A,,-0.285,12.0
97,002990,금호건설,건설/엔지니어링,10.0,A,,2.218,5.0
98,028100,동아지질,기타,10.0,A,,-0.061,4.0
99,002450,삼익악기,기타,10.0,A,,-0.213,5.0
100,003280,흥아해운,운송/물류/여행,10.0,A,6.0,-0.172,188.0
101,02826K,삼성물산우B,미분류,10.0,A,,1.258,40.0
102,002420,세기상사,유통/소비/식품,10.0,A,,-0.144,15.0
103,092200,디아이씨,자동차,10.0,A,,-0.048,249.0
104,088980,맥쿼리인프라,금융,10.0,A,,-0.216,348.0
105,357120,코람코라이프인프라리츠,건설/엔지니어링,10.0,A,,-0.16,12.0
106,003650,미창석유,화학/에너지,10.0,A,,0.092,4.0
107,033270,유나이티드제약,바이오/제약,10.0,A,,-0.247,5.0
108,134380,미원화학,화학/에너지,10.0,A,,0.159,7.0
109,072130,유엔젤,인터넷/SW,10.0,A,,-0.068,4.0
110,000270,기아,자동차,10.0,A,6.0,0.321,2411.0
111,010580,에스엠벡셀,자동차,10.0,A,,-0.103,20.0
112,010100,한국무브넥스,자동차,10.0,A,,-0.24,10.0
113,214390,경보제약,바이오/제약,10.0,A,,-0.049,5.0
114,015590,DKME,기계/장비,10.0,A,,-0.231,14.0
115,014530,극동유화,화학/에너지,10.0,A,,-0.227,4.0
116,078520,에이블씨엔씨,화학/에너지,10.0,A,,0.165,17.0
117,097230,HJ중공업,건설/엔지니어링,10.0,A,6.0,1.432,231.0
118,018880,한온시스템,기계/장비,10.0,A,6.0,0.228,1004.0
119,017960,한국카본,철강/소재,10.0,A,9.0,-0.076,110.0
120,053690,한미글로벌,건설/엔지니어링,10.0,A,,-0.197,30.0
121,117580,대성에너지,유틸리티,10.0,A,,-0.312,12.0
122,095570,AJ네트웍스,기계/장비,10.0,A,,-0.111,5.0
123,005850,에스엘,자동차,10.0,A,6.0,0.712,186.0
124,005500,삼진제약,바이오/제약,10.0,A,,-0.102,44.0
125,005680,삼영전자,반도체/전자,10.0,A,,0.234,17.0
126,006280,녹십자,바이오/제약,10.0,A,6.0,-0.151,96.0
127,012630,HDC,금융,9.67,A,8.0,-0.218,25.0
128,071320,지역난방공사,유틸리티,9.67,A,8.0,-0.332,28.0
129,353200,대덕전자,반도체,9.67,A,8.0,7.766,2666.0
130,271560,오리온,유통/소비/식품,9.33,A,7.0,0.11,140.0
131,075580,세진중공업,조선,9.33,A,7.0,0.052,38.0
132,009970,영원무역홀딩스,금융,9.33,A,7.0,0.07,30.0
133,350520,이지스레지던스리츠,건설/엔지니어링,9.0,A,,-0.291,5.0
134,033530,SJG세종,자동차,9.0,A,,0.217,11.0
135,088260,이리츠코크렙,건설/엔지니어링,9.0,A,,-0.336,13.0
136,105840,우진,반도체/전자,9.0,A,,0.353,76.0
137,338100,NH프라임리츠,건설/엔지니어링,9.0,A,,-0.273,5.0
138,003610,방림,기타,9.0,A,,0.07,7.0
139,03473K,SK우,미분류,9.0,A,,1.673,17.0
140,170900,동아에스티,바이오/제약,9.0,A,,-0.348,7.0
141,105630,한세실업,유통/소비/식품,9.0,A,,-0.326,8.0
142,033920,무학,유통/소비/식품,9.0,A,,-0.143,9.0
143,005387,현대차2우B,미분류,9.0,A,,0.253,1067.0
144,003080,SB성보,기타,9.0,A,,-0.337,5.0
145,005389,현대차3우B,미분류,9.0,A,,0.233,92.0
146,003720,삼영,화학/에너지,9.0,A,,0.704,135.0
147,002720,국제약품,바이오/제약,9.0,A,,-0.41,4.0
148,002810,삼영무역,유통/소비/식품,9.0,A,,0.087,4.0
149,058730,다스코,철강/소재,9.0,A,,0.294,18.0
150,060980,HL홀딩스,금융,9.0,A,,-0.152,19.0
151,005950,이수화학,화학/에너지,9.0,A,,1.049,81.0
152,006360,GS건설,건설/엔지니어링,9.0,A,6.0,0.107,259.0
153,078935,GS우,미분류,9.0,A,,0.115,4.0
154,010955,S-Oil우,미분류,9.0,A,,0.286,9.0
155,012450,한화에어로스페이스,우주항공/방산,9.0,A,6.0,0.071,3881.0
156,084670,동양고속,운송/물류/여행,9.0,A,,2.338,745.0
157,008490,서흥,화학/에너지,9.0,A,,-0.245,7.0
158,000500,가온전선,전력/전기장비,9.0,A,6.0,5.245,693.0
159,000430,대원강업,자동차,9.0,A,,-0.012,29.0
160,000155,두산우,미분류,9.0,A,,0.231,248.0
161,005385,현대차우,미분류,9.0,A,,0.302,828.0
162,005935,삼성전자우,미분류,9.0,A,,3.18,21515.0
163,35320K,대덕전자1우,미분류,9.0,A,,2.702,12.0
164,005880,대한해운,운송/물류/여행,9.0,A,6.0,0.035,110.0
165,122900,아이마켓코리아,유통/소비/식품,9.0,A,,-0.222,12.0
166,00680K,미래에셋증권2우B,미분류,9.0,A,,0.684,76.0
167,006805,미래에셋증권우,미분류,9.0,A,,0.849,21.0
168,071055,한국금융지주우,미분류,9.0,A,,0.568,25.0
169,404990,신한서부티엔디리츠,건설/엔지니어링,9.0,A,,-0.016,5.0
170,00104K,CJ4우(전환),미분류,9.0,A,,0.057,15.0
171,400760,NH올원리츠,건설/엔지니어링,9.0,A,,-0.261,5.0
172,002030,아세아,서비스/기타사업,9.0,A,,-0.548,7.0
173,009155,삼성전기우,미분류,9.0,A,,12.06,846.0
174,006405,삼성SDI우,미분류,9.0,A,,1.068,54.0
175,066575,LG전자우,미분류,9.0,A,,0.9,2698.0
176,123890,한국자산신탁,금융,9.0,A,,-0.254,9.0
177,128940,한미약품,바이오/제약,9.0,A,6.0,0.287,2253.0
178,272550,삼양패키징,화학/에너지,9.0,A,,-0.484,9.0
179,244920,에이플러스에셋,금융,9.0,A,,0.688,6.0
180,334890,이지스밸류플러스리츠,건설/엔지니어링,9.0,A,,-0.362,13.0
181,002220,한일철강,철강/소재,9.0,A,,0.546,27.0
182,002700,신일전자,기계/장비,9.0,A,,-0.341,10.0
183,33626K,두산퓨얼셀1우,미분류,9.0,A,,0.108,7.0
184,377190,디앤디플랫폼리츠,건설/엔지니어링,9.0,A,,-0.454,8.0
185,001790,대한제당,기타,9.0,A,,-0.286,12.0
186,001820,삼화콘덴서,반도체/전자,9.0,A,6.0,4.716,1779.0
187,192650,드림텍,반도체/전자,9.0,A,,-0.265,16.0
188,014580,태경비케이,철강/소재,9.0,A,,-0.268,8.0
189,499790,GS피앤엘,금융,8.67,B,8.0,-0.087,30.0
190,058650,세아홀딩스,철강/소재,8.67,B,8.0,-0.203,25.0
191,020000,한섬,유통/소비/식품,8.67,B,8.0,0.141,40.0
192,014680,한솔케미칼,화학/에너지,8.67,B,8.0,0.592,329.0
193,012330,현대모비스,자동차,8.67,B,8.0,0.639,8867.0
194,004020,현대제철,철강/소재,8.33,B,7.0,-0.147,370.0
195,001800,오리온홀딩스,금융,8.33,B,7.0,-0.01,45.0
196,057050,현대홈쇼핑,유통/소비/식품,8.33,B,7.0,0.442,13.0
197,064350,현대로템,우주항공/방산,8.33,B,7.0,-0.222,1424.0
198,018260,삼성에스디에스,반도체/전자,8.33,B,7.0,0.022,6083.0
199,071970,HD현대마린엔진,기계/장비,8.33,B,7.0,0.062,183.0
200,009240,한샘,유통/소비/식품,8.33,B,7.0,-0.391,15.0
201,034230,파라다이스,엔터/미디어,8.33,B,7.0,-0.199,89.0
202,213500,한솔제지,철강/소재,8.0,B,,-0.383,5.0
203,092230,KPX홀딩스,화학/에너지,8.0,B,,0.082,5.0
204,014910,성문전자,반도체/전자,8.0,B,,1.052,59.0
205,000520,삼일제약,바이오/제약,8.0,B,,-0.456,12.0
206,000220,유유제약,바이오/제약,8.0,B,,-0.257,12.0
207,000157,두산2우B,미분류,8.0,B,,-0.11,19.0
208,035150,백산,화학/에너지,8.0,B,,-0.454,5.0
209,015860,일진홀딩스,금융,8.0,B,,0.003,28.0
210,012200,계양전기,기계/장비,8.0,B,,2.506,74.0
211,002900,TYM,기계/장비,8.0,B,,0.027,25.0
212,000020,동화약품,바이오/제약,8.0,B,,-0.359,7.0
213,003925,남양유업우,미분류,8.0,B,,-0.277,4.0
214,002840,미원상사,화학/에너지,8.0,B,6.0,-0.39,8.0
215,005945,NH투자증권우,미분류,8.0,B,,0.244,17.0
216,003555,LG우,미분류,8.0,B,,-0.061,85.0
217,102460,이연제약,바이오/제약,8.0,B,,-0.24,9.0
218,034830,한국토지신탁,금융,8.0,B,,-0.194,12.0
219,004710,한솔테크닉스,반도체/전자,8.0,B,,0.747,144.0
220,004990,롯데지주,금융,8.0,B,6.0,-0.277,71.0
221,047050,포스코인터내셔널,유통/소비/식품,8.0,B,6.0,-0.114,369.0
222,051900,LG생활건강,화학/에너지,8.0,B,6.0,-0.384,142.0
223,003220,대원제약,바이오/제약,8.0,B,,-0.51,4.0
224,006345,대원전선우,미분류,8.0,B,,1.874,43.0
225,004770,써니전자,반도체/전자,8.0,B,,-0.176,7.0
226,058850,KTcs,인터넷/SW,8.0,B,,-0.306,8.0
227,000850,화천기공,기계/장비,8.0,B,,-0.001,4.0
228,452260,한화갤러리아,유통/소비/식품,8.0,B,6.0,0.584,91.0
229,004310,현대약품,바이오/제약,8.0,B,,0.568,29.0
230,003920,남양유업,화학/에너지,8.0,B,,-0.418,6.0
231,034020,두산에너빌리티,원자력/원전,8.0,B,6.0,0.166,5025.0
232,396690,미래에셋글로벌리츠,건설/엔지니어링,8.0,B,,-0.553,4.0
233,009190,대양금속,철강/소재,8.0,B,,-0.013,24.0
234,001270,부국증권,금융,8.0,B,6.0,0.271,7.0
235,001340,PKC,화학/에너지,8.0,B,,-0.049,50.0
236,009180,한솔로지스틱스,운송/물류/여행,8.0,B,,-0.029,4.0
237,008700,아남전자,기타,8.0,B,,-0.266,188.0
238,097955,CJ제일제당 우,미분류,8.0,B,,-0.288,13.0
239,096760,JW홀딩스,금융,8.0,B,,-0.063,4.0
240,051915,LG화학우,미분류,8.0,B,,0.181,66.0
241,007610,선도전기,전력/전기장비,8.0,B,,0.209,51.0
242,010820,퍼스텍,우주항공/방산,8.0,B,,0.5,139.0
243,014280,금강공업,철강/소재,8.0,B,,-0.214,9.0
244,003545,대신증권우,미분류,8.0,B,,-0.106,31.0
245,101530,해태제과식품,유통/소비/식품,8.0,B,,-0.298,4.0
246,003547,대신증권2우B,미분류,8.0,B,,-0.06,8.0
247,090430,아모레퍼시픽,화학/에너지,7.67,B,8.0,-0.329,273.0
248,003620,KG모빌리티,자동차,7.67,B,8.0,-0.311,38.0
249,000880,한화,화학/에너지,7.67,B,8.0,-0.045,351.0
250,017900,광전자,반도체/전자,7.33,B,7.0,2.201,247.0
251,007660,이수페타시스,반도체,7.33,B,7.0,1.104,1950.0
252,016380,KG스틸,철강/소재,7.33,B,7.0,-0.245,37.0
253,001430,세아베스틸지주,철강/소재,7.33,B,7.0,-0.045,115.0
254,475560,더본코리아,유통/소비/식품,7.0,B,,-0.566,4.0
255,005960,동부건설,건설/엔지니어링,7.0,B,,0.135,6.0
256,000910,유니온,철강/소재,7.0,B,,-0.493,7.0
257,120115,코오롱인더우,미분류,7.0,B,,-0.101,5.0
258,005870,휴니드,반도체/전자,7.0,B,,-0.605,6.0
259,030210,다올투자증권,금융,7.0,B,,-0.167,5.0
260,030720,동원수산,기타,7.0,B,,-0.151,4.0
261,000050,경방,유통/소비/식품,7.0,B,,-0.058,7.0
262,090350,노루페인트,화학/에너지,7.0,B,,-0.294,8.0
263,001045,CJ우,미분류,7.0,B,,-0.317,4.0
264,001750,한양증권,금융,7.0,B,,0.01,5.0
265,010690,화신,자동차,7.0,B,,0.169,38.0
266,012030,DB,반도체/전자,7.0,B,,0.113,27.0
267,011690,와이투솔루션,반도체/전자,7.0,B,,-0.029,21.0
268,012205,계양전기우,미분류,7.0,B,,1.334,9.0
269,012170,아센디오,엔터/미디어,7.0,B,,-0.894,9.0
270,014160,대영포장,철강/소재,7.0,B,,-0.525,12.0
271,011230,삼화전자,기타,7.0,B,,-0.566,22.0
272,183190,아세아시멘트,철강/소재,7.0,B,,-0.37,5.0
273,194370,제이에스코퍼레이션,철강/소재,7.0,B,,-0.124,13.0
274,014820,동원시스템즈,화학/에너지,7.0,B,6.0,-0.512,19.0
275,375500,DL이앤씨,건설/엔지니어링,7.0,B,6.0,0.135,377.0
276,383220,F&F,유통/소비/식품,7.0,B,6.0,-0.125,55.0
277,001390,KG케미칼,화학/에너지,7.0,B,,-0.203,19.0
