code,entry_date,horizon_days
247540,2021-06-09,60
247540,2021-07-01,60
247540,2021-08-02,60
247540,2021-09-01,60
247540,2021-10-01,60
247540,2021-11-01,60
247540,2021-12-01,60
247540,2022-01-03,60
247540,2022-02-03,60
247540,2022-03-02,60
247540,2022-04-01,60
247540,2022-05-02,60
247540,2022-06-02,60
247540,2022-07-01,60
247540,2022-08-01,60
247540,2022-09-01,60
247540,2022-10-04,60
247540,2022-11-01,60
247540,2022-12-01,60
247540,2023-01-02,60
247540,2023-02-01,60
247540,2023-03-02,60
247540,2023-04-03,60
247540,2023-05-02,60
247540,2023-06-01,60
247540,2023-07-03,60
247540,2023-08-01,60
247540,2023-09-01,60
247540,2023-10-04,60
247540,2023-11-01,60
247540,2023-12-01,60
247540,2024-01-02,60
247540,2024-02-01,60
247540,2024-03-04,60
247540,2024-04-01,60
247540,2024-05-02,60
247540,2024-06-03,60
247540,2024-07-01,60
247540,2024-08-01,60
247540,2024-09-02,60
247540,2024-10-02,60
247540,2024-11-01,60
247540,2024-12-02,60
247540,2025-01-02,60
247540,2025-02-03,60
247540,2025-03-04,60
247540,2025-04-01,60
247540,2025-05-02,60
247540,2025-06-02,60
247540,2025-07-01,60
247540,2025-08-01,60
247540,2025-09-01,60
247540,2025-10-01,60
247540,2025-11-03,60
247540,2025-12-01,60
247540,2026-01-02,60
247540,2026-02-02,60
247540,2026-03-03,60
247540,2026-04-01,60
247540,2026-05-04,60
247540,2026-06-01,60
086520,2021-06-09,60
086520,2021-07-01,60
086520,2021-08-02,60
086520,2021-09-01,60
086520,2021-10-01,60
086520,2021-11-01,60
086520,2021-12-01,60
086520,2022-01-03,60
086520,2022-02-03,60
086520,2022-03-02,60
086520,2022-04-01,60
086520,2022-05-02,60
086520,2022-06-02,60
086520,2022-07-01,60
086520,2022-08-01,60
086520,2022-09-01,60
086520,2022-10-04,60
086520,2022-11-01,60
086520,2022-12-01,60
086520,2023-01-02,60
086520,2023-02-01,60
086520,2023-03-02,60
086520,2023-04-03,60
086520,2023-05-02,60
086520,2023-06-01,60
086520,2023-07-03,60
086520,2023-08-01,60
086520,2023-09-01,60
086520,2023-10-04,60
086520,2023-11-01,60
086520,2023-12-01,60
086520,2024-01-02,60
086520,2024-02-01,60
086520,2024-03-04,60
086520,2024-04-01,60
086520,2024-05-02,60
086520,2024-06-03,60
086520,2024-07-01,60
086520,2024-08-01,60
086520,2024-09-02,60
086520,2024-10-02,60
086520,2024-11-01,60
086520,2024-12-02,60
086520,2025-01-02,60
086520,2025-02-03,60
086520,2025-03-04,60
086520,2025-04-01,60
086520,2025-05-02,60
086520,2025-06-02,60
086520,2025-07-01,60
086520,2025-08-01,60
086520,2025-09-01,60
086520,2025-10-01,60
086520,2025-11-03,60
086520,2025-12-01,60
086520,2026-01-02,60
086520,2026-02-02,60
086520,2026-03-03,60
086520,2026-04-01,60
086520,2026-05-04,60
086520,2026-06-01,60
277810,2021-06-09,60
277810,2021-07-01,60
277810,2021-08-02,60
277810,2021-09-01,60
277810,2021-10-01,60
277810,2021-11-01,60
277810,2021-12-01,60
277810,2022-01-03,60
277810,2022-02-03,60
277810,2022-03-02,60
277810,2022-04-01,60
277810,2022-05-02,60
277810,2022-06-02,60
277810,2022-07-01,60
277810,2022-08-01,60
277810,2022-09-01,60
277810,2022-10-04,60
277810,2022-11-01,60
277810,2022-12-01,60
277810,2023-01-02,60
277810,2023-02-01,60
277810,2023-03-02,60
277810,2023-04-03,60
277810,2023-05-02,60
277810,2023-06-01,60
277810,2023-07-03,60
277810,2023-08-01,60
277810,2023-09-01,60
277810,2023-10-04,60
277810,2023-11-01,60
277810,2023-12-01,60
277810,2024-01-02,60
277810,2024-02-01,60
277810,2024-03-04,60
277810,2024-04-01,60
277810,2024-05-02,60
277810,2024-06-03,60
277810,2024-07-01,60
277810,2024-08-01,60
277810,2024-09-02,60
277810,2024-10-02,60
277810,2024-11-01,60
277810,2024-12-02,60
277810,2025-01-02,60
277810,2025-02-03,60
277810,2025-03-04,60
277810,2025-04-01,60
277810,2025-05-02,60
277810,2025-06-02,60
277810,2025-07-01,60
277810,2025-08-01,60
277810,2025-09-01,60
277810,2025-10-01,60
277810,2025-11-03,60
277810,2025-12-01,60
277810,2026-01-02,60
277810,2026-02-02,60
277810,2026-03-03,60
277810,2026-04-01,60
277810,2026-05-04,60
277810,2026-06-01,60
108490,2021-06-09,60
108490,2021-07-01,60
108490,2021-08-02,60
108490,2021-09-01,60
108490,2021-10-01,60
108490,2021-11-01,60
108490,2021-12-01,60
108490,2022-01-03,60
108490,2022-02-03,60
108490,2022-03-02,60
108490,2022-04-01,60
108490,2022-05-02,60
108490,2022-06-02,60
108490,2022-07-01,60
108490,2022-08-01,60
108490,2022-09-01,60
108490,2022-10-04,60
108490,2022-11-01,60
108490,2022-12-01,60
108490,2023-01-02,60
108490,2023-02-01,60
108490,2023-03-02,60
108490,2023-04-03,60
108490,2023-05-02,60
108490,2023-06-01,60
108490,2023-07-03,60
108490,2023-08-01,60
108490,2023-09-01,60
108490,2023-10-04,60
108490,2023-11-01,60
108490,2023-12-01,60
108490,2024-01-02,60
108490,2024-02-01,60
108490,2024-03-04,60
108490,2024-04-01,60
108490,2024-05-02,60
108490,2024-06-03,60
108490,2024-07-01,60
108490,2024-08-01,60
108490,2024-09-02,60
108490,2024-10-02,60
108490,2024-11-01,60
108490,2024-12-02,60
108490,2025-01-02,60
108490,2025-02-03,60
108490,2025-03-04,60
108490,2025-04-01,60
108490,2025-05-02,60
108490,2025-06-02,60
108490,2025-07-01,60
108490,2025-08-01,60
108490,2025-09-01,60
108490,2025-10-01,60
108490,2025-11-03,60
108490,2025-12-01,60
108490,2026-01-02,60
108490,2026-02-02,60
108490,2026-03-03,60
108490,2026-04-01,60
108490,2026-05-04,60
108490,2026-06-01,60
087010,2021-06-09,60
087010,2021-07-01,60
087010,2021-08-02,60
087010,2021-09-01,60
087010,2021-10-01,60
087010,2021-11-01,60
087010,2021-12-01,60
087010,2022-01-03,60
087010,2022-02-03,60
087010,2022-03-02,60
087010,2022-04-01,60
087010,2022-05-02,60
087010,2022-06-02,60
087010,2022-07-01,60
087010,2022-08-01,60
087010,2022-09-01,60
087010,2022-10-04,60
087010,2022-11-01,60
087010,2022-12-01,60
087010,2023-01-02,60
087010,2023-02-01,60
087010,2023-03-02,60
087010,2023-04-03,60
087010,2023-05-02,60
087010,2023-06-01,60
087010,2023-07-03,60
087010,2023-08-01,60
087010,2023-09-01,60
087010,2023-10-04,60
087010,2023-11-01,60
087010,2023-12-01,60
087010,2024-01-02,60
087010,2024-02-01,60
087010,2024-03-04,60
087010,2024-04-01,60
087010,2024-05-02,60
087010,2024-06-03,60
087010,2024-07-01,60
087010,2024-08-01,60
087010,2024-09-02,60
087010,2024-10-02,60
087010,2024-11-01,60
087010,2024-12-02,60
087010,2025-01-02,60
087010,2025-02-03,60
087010,2025-03-04,60
087010,2025-04-01,60
087010,2025-05-02,60
087010,2025-06-02,60
087010,2025-07-01,60
087010,2025-08-01,60
087010,2025-09-01,60
087010,2025-10-01,60
087010,2025-11-03,60
087010,2025-12-01,60
087010,2026-01-02,60
087010,2026-02-02,60
087010,2026-03-03,60
087010,2026-04-01,60
087010,2026-05-04,60
087010,2026-06-01,60
028300,2021-06-09,60
028300,2021-07-01,60
028300,2021-08-02,60
028300,2021-09-01,60
028300,2021-10-01,60
028300,2021-11-01,60
028300,2021-12-01,60
028300,2022-01-03,60
028300,2022-02-03,60
028300,2022-03-02,60
028300,2022-04-01,60
028300,2022-05-02,60
028300,2022-06-02,60
028300,2022-07-01,60
028300,2022-08-01,60
028300,2022-09-01,60
028300,2022-10-04,60
028300,2022-11-01,60
028300,2022-12-01,60
028300,2023-01-02,60
028300,2023-02-01,60
028300,2023-03-02,60
028300,2023-04-03,60
028300,2023-05-02,60
028300,2023-06-01,60
028300,2023-07-03,60
028300,2023-08-01,60
028300,2023-09-01,60
028300,2023-10-04,60
028300,2023-11-01,60
028300,2023-12-01,60
028300,2024-01-02,60
028300,2024-02-01,60
028300,2024-03-04,60
028300,2024-04-01,60
028300,2024-05-02,60
028300,2024-06-03,60
028300,2024-07-01,60
028300,2024-08-01,60
028300,2024-09-02,60
028300,2024-10-02,60
028300,2024-11-01,60
028300,2024-12-02,60
028300,2025-01-02,60
028300,2025-02-03,60
028300,2025-03-04,60
028300,2025-04-01,60
028300,2025-05-02,60
028300,2025-06-02,60
028300,2025-07-01,60
028300,2025-08-01,60
028300,2025-09-01,60
028300,2025-10-01,60
028300,2025-11-03,60
028300,2025-12-01,60
028300,2026-01-02,60
028300,2026-02-02,60
028300,2026-03-03,60
028300,2026-04-01,60
028300,2026-05-04,60
028300,2026-06-01,60
196170,2021-06-09,60
196170,2021-07-01,60
196170,2021-08-02,60
196170,2021-09-01,60
196170,2021-10-01,60
196170,2021-11-01,60
196170,2021-12-01,60
196170,2022-01-03,60
196170,2022-02-03,60
196170,2022-03-02,60
196170,2022-04-01,60
196170,2022-05-02,60
196170,2022-06-02,60
196170,2022-07-01,60
196170,2022-08-01,60
196170,2022-09-01,60
196170,2022-10-04,60
196170,2022-11-01,60
196170,2022-12-01,60
196170,2023-01-02,60
196170,2023-02-01,60
196170,2023-03-02,60
196170,2023-04-03,60
196170,2023-05-02,60
196170,2023-06-01,60
196170,2023-07-03,60
196170,2023-08-01,60
196170,2023-09-01,60
196170,2023-10-04,60
196170,2023-11-01,60
196170,2023-12-01,60
196170,2024-01-02,60
196170,2024-02-01,60
196170,2024-03-04,60
196170,2024-04-01,60
196170,2024-05-02,60
196170,2024-06-03,60
196170,2024-07-01,60
196170,2024-08-01,60
196170,2024-09-02,60
196170,2024-10-02,60
196170,2024-11-01,60
196170,2024-12-02,60
196170,2025-01-02,60
196170,2025-02-03,60
196170,2025-03-04,60
196170,2025-04-01,60
196170,2025-05-02,60
196170,2025-06-02,60
196170,2025-07-01,60
196170,2025-08-01,60
196170,2025-09-01,60
196170,2025-10-01,60
196170,2025-11-03,60
196170,2025-12-01,60
196170,2026-01-02,60
196170,2026-02-02,60
196170,2026-03-03,60
196170,2026-04-01,60
196170,2026-05-04,60
196170,2026-06-01,60
036930,2021-06-09,60
036930,2021-07-01,60
036930,2021-08-02,60
036930,2021-09-01,60
036930,2021-10-01,60
036930,2021-11-01,60
