rank,theme,n,ret_1m,ret_3m,ret_6m,exc_1m,exc_3m,exc_6m,exc_12m,breadth_12m,breadth_3m,supercycle,accel,heat_score
1,전력/전기장비,61,-0.18881488249840417,-0.012195713009557685,0.16321044391524042,-0.08429404325170808,0.07504561964388501,0.16248036466902804,0.1970687192532108,0.39344262295081966,0.4098360655737705,False,False,86.66666666666666
2,금융,228,-0.0845031127353928,-0.062189708414338796,0.04358115099645321,0.02001772651130329,0.025051624239103898,0.04285107175024083,0.033908951278966315,0.30701754385964913,0.5614035087719298,False,True,84.76190476190476
3,반도체/전자,375,-0.19192231840105933,-0.05632040069995192,0.13350452122732337,-0.08740147915436325,0.03092093195349077,0.132774441981111,0.21962601435846074,0.4,0.38133333333333336,False,False,78.80952380952381
4,건설/엔지니어링,83,-0.052561765315150555,-0.10763122538217873,-0.03627108713228744,0.05195907393154553,-0.020389892728736037,-0.03700116637849982,-0.07053582547454784,0.2891566265060241,0.39759036144578314,False,True,78.80952380952381
5,유통/소비/식품,217,-0.10354925180684604,-0.058124971935192504,-0.039056023671540485,0.0009715874398500413,0.02911636071825019,-0.039786102917752864,-0.1581528500375018,0.16129032258064516,0.33640552995391704,False,False,78.33333333333333
6,기계/장비,224,-0.13492377137043943,-0.05888485309344471,0.034974097775550606,-0.030402932123743343,0.028356479559997982,0.03424401852933823,0.1376919549778004,0.36607142857142855,0.3705357142857143,False,False,75.71428571428571
7,통신,14,-0.11085869236910573,-0.11648295939878317,-0.0948051891439895,-0.006337853122409642,-0.029241626745340477,-0.09553526839020188,-0.18288731245607304,0.14285714285714285,0.42857142857142855,False,True,69.76190476190476
8,2차전지,19,-0.26939455493610154,-0.14687551093171192,0.1463589781720278,-0.16487371568940545,-0.05963417827826922,0.14562889892581543,0.3932097451315635,0.6842105263157895,0.3684210526315789,True,False,58.333333333333336
9,서비스/기타사업,43,-0.12406536008779945,-0.14473902486707224,-0.1226855712594892,-0.019544520841103363,-0.05749769221362955,-0.12341565050570158,-0.17099423080237386,0.16279069767441862,0.37209302325581395,False,False,54.76190476190476
10,조선,14,-0.16444766915243814,-0.13285931055027966,-0.1403912694920313,-0.05992682990574205,-0.04561797789683697,-0.14112134873824367,0.09151438731626516,0.42857142857142855,0.35714285714285715,False,False,52.142857142857146
11,자동차,115,-0.13996778300944746,-0.1432782972812351,-0.11593309976858912,-0.03544694376275137,-0.056036964627792396,-0.1166631790148015,-0.060600672423675284,0.23478260869565218,0.3130434782608696,False,False,51.66666666666666
12,철강/소재,208,-0.11085162280035676,-0.15030927128657778,-0.08647701617116088,-0.006330783553660679,-0.06306793863313509,-0.08720709541737326,-0.11166639788920318,0.1971153846153846,0.2692307692307692,False,True,51.42857142857142
13,화학/에너지,230,-0.12108191972704685,-0.14904787075326897,-0.09952940884182093,-0.016561080480350765,-0.06180653809982628,-0.10025948808803331,-0.11090697998636201,0.2608695652173913,0.33043478260869563,False,True,49.99999999999999
14,운송/물류/여행,37,-0.12008541564150255,-0.17575286308622895,-0.16343148558622822,-0.015564576394806462,-0.08851153043278626,-0.1641615648324406,-0.010180274013908974,0.2702702702702703,0.2702702702702703,False,True,36.9047619047619
15,로봇/자동화,27,-0.271267363282063,-0.16031451283930265,-0.09442869621238603,-0.16674652403536694,-0.07307318018585995,-0.09515877545859841,0.4032428733113742,0.5555555555555556,0.25925925925925924,False,False,36.66666666666667
16,우주항공/방산,19,-0.2779207736769602,-0.23813201281516827,0.13414503184551418,-0.17339993443026414,-0.15089068016172558,0.1334149525993018,0.2064887193288545,0.42105263157894735,0.21052631578947367,False,False,31.428571428571427
17,원자력/원전,7,-0.20498498030521883,-0.2746800500369546,0.3397682556828141,-0.10046414105852275,-0.18743871738351192,0.3390381764366017,0.26166625346723316,0.5714285714285714,0.14285714285714285,False,False,31.428571428571427
18,유틸리티,14,-0.10941016287092131,-0.21790662720167198,-0.15321224507303233,-0.004889323624225228,-0.13066529454822928,-0.1539423243192447,-0.20290946798360887,0.07142857142857142,0.21428571428571427,False,True,30.95238095238095
19,바이오/제약,309,-0.1506174625821367,-0.186883688304599,-0.16504870777898595,-0.04609662333544062,-0.09964235565115631,-0.16577878702519833,-0.06078185023592264,0.20711974110032363,0.1941747572815534,False,False,24.999999999999996
20,인터넷/SW,208,-0.18763578307872297,-0.21298668097966134,-0.24041625552572887,-0.08311494383202689,-0.12574534832621864,-0.24114633477194125,-0.3847167460022419,0.08173076923076923,0.22115384615384615,False,False,22.380952380952376
21,엔터/미디어,78,-0.13662978270312842,-0.24613697488902386,-0.33037940149377465,-0.03210894345643234,-0.15889564223558117,-0.331109480739987,-0.48899752468239077,0.038461538461538464,0.14102564102564102,False,True,14.047619047619047
