code,name,theme,category,krx_sector
000660,SK하이닉스,반도체,칩,반도체 제조업
000990,DB하이텍,반도체,칩,반도체 제조업
440110,파두,반도체,칩,반도체 제조업
080220,제주반도체,반도체,칩,반도체 제조업
067310,하나마이크론,반도체,칩,반도체 제조업
036540,SFA반도체,반도체,칩,반도체 제조업
166090,하나머티리얼즈,반도체,칩,반도체 제조업
108320,LX세미콘,반도체,칩,반도체 제조업
033640,네패스,반도체,칩,반도체 제조업
094170,동운아나텍,반도체,칩,반도체 제조업
059090,미코,반도체,칩,반도체 제조업
399720,가온칩스,반도체,칩,반도체 제조업
077360,덕산하이메탈,반도체,칩,반도체 제조업
200710,에이디테크놀로지,반도체,칩,반도체 제조업
078350,한양디지텍,반도체,칩,반도체 제조업
042700,한미반도체,반도체,장비,특수 목적용 기계 제조업
240810,원익IPS,반도체,장비,특수 목적용 기계 제조업
039030,이오테크닉스,반도체,장비,특수 목적용 기계 제조업
036930,주성엔지니어링,반도체,장비,특수 목적용 기계 제조업
095610,테스,반도체,장비,특수 목적용 기계 제조업
183300,코미코,반도체,장비,특수 목적용 기계 제조업
319660,피에스케이,반도체,장비,특수 목적용 기계 제조업
031980,피에스케이홀딩스,반도체,장비,특수 목적용 기계 제조업
403870,HPSP,반도체,장비,특수 목적용 기계 제조업
084370,유진테크,반도체,장비,특수 목적용 기계 제조업
064290,인텍플러스,반도체,장비,특수 목적용 기계 제조업
330860,네패스아크,반도체,장비,"그외 기타 전문, 과학 및 기술 서비스업"
131970,두산테스나,반도체,장비,"그외 기타 전문, 과학 및 기술 서비스업"
005290,동진쎄미켐,반도체,소재,기초 화학물질 제조업
357780,솔브레인,반도체,소재,기타 화학제품 제조업
104830,원익머트리얼즈,반도체,소재,기초 화학물질 제조업
074600,원익QnC,반도체,소재,유리 및 유리제품 제조업
064760,티씨케이,반도체,소재,기타 비금속 광물제품 제조업
093370,후성,반도체,소재,기초 화학물질 제조업
101490,에스앤에스텍,반도체,소재,전자부품 제조업
058470,리노공업,반도체,소재,전자부품 제조업
102710,이엔에프테크놀로지,반도체,소재,기타 화학제품 제조업
005930,삼성전자,반도체,IDM,통신 및 방송 장비 제조업
098460,고영,반도체,장비,특수 목적용 기계 제조업
348210,넥스틴,반도체,장비,특수 목적용 기계 제조업
003160,디아이,반도체,장비,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
232140,와이씨,반도체,장비,특수 목적용 기계 제조업
281820,케이씨텍,반도체,장비,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
089030,테크윙,반도체,장비,특수 목적용 기계 제조업
131290,티에스이,반도체,장비,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
039440,에스티아이,반도체,장비,특수 목적용 기계 제조업
053610,프로텍,반도체,장비,특수 목적용 기계 제조업
036810,에프에스티,반도체,장비,전자부품 제조업
281740,레이크머티리얼즈,반도체,소재,기타 화학제품 제조업
425040,티이엠씨,반도체,소재,기초 화학물질 제조업
327260,RF머트리얼즈,반도체,소재,전자부품 제조업
222800,심텍,반도체,기판,전자부품 제조업
195870,해성디에스,반도체,기판,전자부품 제조업
356860,티엘비,반도체,기판,전자부품 제조업
353200,대덕전자,반도체,기판,전자부품 제조업
083450,GST,반도체,장비,특수 목적용 기계 제조업
420770,기가비스,반도체,장비,특수 목적용 기계 제조업
253590,네오셈,반도체,장비,특수 목적용 기계 제조업
122640,예스티,반도체,장비,특수 목적용 기계 제조업
089890,코세스,반도체,장비,특수 목적용 기계 제조업
140860,파크시스템스,반도체,장비,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
007660,이수페타시스,반도체,기판,전자부품 제조업
007810,코리아써키트,반도체,기판,전자부품 제조업
252990,샘씨엔에스,반도체,기판,전자부품 제조업
033160,엠케이전자,반도체,소재,전자부품 제조업
