month,regime,관망,셋업,임박,돌파,buyable,n
2025-01,RISK_OFF,16,0,2,0,2,18
2025-02,RISK_OFF,17,0,1,0,1,18
2025-03,RISK_OFF,18,0,0,0,0,18
2025-04,RISK_OFF,17,1,0,0,1,18
2025-05,RISK_OFF,18,0,0,0,0,18
2025-06,RISK_ON,18,0,0,0,0,18
2025-07,RISK_ON,17,1,0,0,1,18
2025-08,RISK_ON,14,3,0,1,4,18
2025-09,RISK_ON,12,3,1,2,6,18
2025-10,RISK_ON,11,6,0,1,7,18
2025-11,RISK_ON,11,5,1,1,7,18
2025-12,NEUTRAL,13,4,0,1,5,18
2026-01,RISK_ON,14,0,1,3,4,18
2026-02,NEUTRAL,17,1,0,0,1,18
2026-03,NEUTRAL,18,0,0,0,0,18
2026-04,NEUTRAL,16,1,1,0,2,18
2026-05,RISK_ON,16,1,1,0,2,18
2026-06,NEUTRAL,18,0,0,0,0,18
