month,top1_theme,top1_heat,supercycle_on,exc3_반도체/전자,exc3_2차전지,exc3_바이오/제약,exc3_우주항공/방산,exc3_원자력/원전,exc3_로봇/자동화
2025-01,조선,97.0,0,0.2,-22.9,-6.4,8.8,16.7,27.5
2025-02,로봇/자동화,96.0,1,6.5,-0.0,-2.8,16.7,-3.1,25.9
2025-03,우주항공/방산,94.0,2,-2.8,-6.2,-4.9,21.8,8.4,23.5
2025-04,엔터/미디어,95.0,2,-4.6,-9.8,-2.6,14.6,0.4,4.6
2025-05,우주항공/방산,87.0,2,-5.0,-24.1,2.7,11.6,15.8,-0.2
2025-06,원자력/원전,100.0,0,0.1,-15.3,0.6,26.1,99.4,6.7
2025-07,우주항공/방산,96.0,0,0.5,-1.0,0.8,27.1,42.9,-4.3
2025-08,원자력/원전,99.0,1,0.3,9.2,-4.2,10.7,46.3,-1.0
2025-09,조선,97.0,1,4.1,8.9,4.5,5.8,-9.7,10.9
2025-10,로봇/자동화,98.0,2,7.0,18.8,2.0,-3.6,22.3,52.6
2025-11,로봇/자동화,92.0,2,4.6,14.1,11.4,-7.0,0.2,47.0
2025-12,로봇/자동화,99.0,3,2.8,10.8,8.3,-0.0,3.3,39.3
2026-01,로봇/자동화,99.0,2,9.6,7.6,8.8,50.1,25.4,55.2
2026-02,원자력/원전,99.0,3,10.2,5.9,-4.8,78.6,80.9,43.5
2026-03,원자력/원전,91.0,3,10.5,24.7,-7.0,39.2,75.1,-1.8
2026-04,2차전지,95.0,3,16.2,32.5,-13.0,4.3,31.7,-21.9
2026-05,반도체/전자,92.0,3,17.6,24.5,-7.3,-2.6,-12.6,-9.3
2026-06,전력/전기장비,87.0,1,3.1,-6.0,-10.0,-15.1,-18.7,-7.3
