Date,VKOSPI
2020-06-01,24.94
2020-06-02,25.0
2020-06-03,25.74
2020-06-04,25.69
2020-06-05,25.45
2020-06-08,27.4
2020-06-09,26.53
2020-06-10,26.06
2020-06-11,26.79
2020-06-12,32.88
2020-06-15,39.69
2020-06-16,35.9
2020-06-17,37.05
2020-06-18,37.3
2020-06-19,34.04
2020-06-22,34.03
2020-06-23,31.73
2020-06-24,30.2
2020-06-25,33.12
2020-06-26,30.56
2020-06-29,33.58
2020-06-30,31.07
2020-07-01,29.9
2020-07-02,27.45
2020-07-03,24.78
2020-07-06,24.02
2020-07-07,24.85
2020-07-08,25.04
2020-07-09,23.38
2020-07-10,24.83
2020-07-13,23.63
2020-07-14,24.45
2020-07-15,23.63
2020-07-16,23.48
2020-07-17,22.34
2020-07-20,22.37
2020-07-21,21.09
2020-07-22,20.82
2020-07-23,21.0
2020-07-24,22.5
2020-07-27,22.96
2020-07-28,22.92
2020-07-29,23.33
2020-07-30,22.91
2020-07-31,23.57
2020-08-03,23.52
2020-08-04,22.42
2020-08-05,21.58
2020-08-06,22.06
2020-08-07,22.07
2020-08-10,22.94
2020-08-11,22.98
2020-08-12,22.86
2020-08-13,22.12
2020-08-14,22.58
2020-08-18,25.21
2020-08-19,24.38
2020-08-20,28.18
2020-08-21,26.89
2020-08-24,26.44
2020-08-25,24.63
2020-08-26,25.44
2020-08-27,27.22
2020-08-28,26.4
2020-08-31,27.77
2020-09-01,27.59
2020-09-02,26.26
2020-09-03,25.3
2020-09-04,27.83
2020-09-07,25.85
2020-09-08,23.87
2020-09-09,24.73
2020-09-10,22.14
2020-09-11,21.68
2020-09-14,21.28
2020-09-15,20.97
2020-09-16,21.05
2020-09-17,22.31
2020-09-18,21.59
2020-09-21,23.31
2020-09-22,25.2
2020-09-23,24.64
2020-09-24,27.21
2020-09-25,26.13
2020-09-28,25.01
2020-09-29,24.15
2020-10-05,23.87
2020-10-06,22.29
2020-10-07,21.55
2020-10-08,21.0
2020-10-12,20.36
2020-10-13,20.34
2020-10-14,20.97
2020-10-15,21.47
2020-10-16,22.03
2020-10-19,22.51
2020-10-20,22.18
2020-10-21,21.88
2020-10-22,22.54
2020-10-23,21.9
2020-10-26,22.94
2020-10-27,23.58
2020-10-28,23.29
2020-10-29,25.9
2020-10-30,31.97
2020-11-02,28.65
2020-11-03,26.54
2020-11-04,24.75
2020-11-05,22.16
2020-11-06,21.74
2020-11-09,21.58
2020-11-10,21.02
2020-11-11,20.68
2020-11-12,19.85
2020-11-13,19.77
2020-11-16,20.5
2020-11-17,19.72
2020-11-18,19.63
2020-11-19,19.41
2020-11-20,19.21
2020-11-23,19.79
2020-11-24,19.81
2020-11-25,20.82
2020-11-26,20.0
2020-11-27,19.66
2020-11-30,20.77
2020-12-01,20.21
2020-12-02,20.18
2020-12-03,20.02
2020-12-04,21.01
2020-12-07,21.3
2020-12-08,20.7
2020-12-09,20.15
2020-12-10,20.03
2020-12-11,19.85
2020-12-14,21.25
2020-12-15,21.27
2020-12-16,20.4
2020-12-17,19.85
2020-12-18,19.57
2020-12-21,20.54
2020-12-22,22.85
2020-12-23,21.52
2020-12-24,21.53
2020-12-28,23.14
2020-12-29,21.63
2020-12-30,22.09
2021-01-04,24.81
2021-01-05,26.22
2021-01-06,27.6
2021-01-07,26.75
2021-01-08,29.18
2021-01-11,35.65
2021-01-12,34.95
2021-01-13,32.0
2021-01-14,29.68
2021-01-15,31.56
2021-01-18,33.18
2021-01-19,34.08
2021-01-20,33.32
2021-01-21,30.63
2021-01-22,29.36
2021-01-25,28.97
2021-01-26,29.99
2021-01-27,29.41
2021-01-28,33.09
2021-01-29,35.73
2021-02-01,34.16
2021-02-02,33.4
2021-02-03,31.29
2021-02-04,32.06
2021-02-05,28.65
2021-02-08,27.33
2021-02-09,25.21
2021-02-10,26.43
2021-02-15,26.22
2021-02-16,25.08
2021-02-17,25.58
2021-02-18,26.1
2021-02-19,26.86
2021-02-22,27.64
2021-02-23,27.16
2021-02-24,28.93
2021-02-25,27.92
2021-02-26,31.34
