rank,code,name,mcap_rank,mom_12_1,ym,defense,scalar_s,ew_weight_pct
1,402340,SK스퀘어,4,827.3,2026-08,50현금,1.0,3.33
2,000660,SK하이닉스,2,807.5,2026-08,50현금,1.0,3.33
3,005930,삼성전자,1,458.5,2026-08,50현금,1.0,3.33
4,005935,삼성전자우,3,328.3,2026-08,50현금,1.0,3.33
5,034730,SK,21,307.8,2026-08,50현금,1.0,3.33
6,298040,효성중공업,29,285.9,2026-08,50현금,1.0,3.33
7,032830,삼성생명,11,214.8,2026-08,50현금,1.0,3.33
8,036930,주성엔지니어링,94,211.9,2026-08,50현금,1.0,3.33
9,028260,삼성물산,12,190.3,2026-08,50현금,1.0,3.33
10,006400,삼성SDI,19,181.8,2026-08,50현금,1.0,3.33
11,011070,LG이노텍,59,161.6,2026-08,50현금,1.0,3.33
12,042700,한미반도체,43,151.5,2026-08,50현금,1.0,3.33
13,278470,에이피알,55,150.0,2026-08,50현금,1.0,3.33
14,005380,현대차,7,143.2,2026-08,50현금,1.0,3.33
15,086520,에코프로,61,136.1,2026-08,50현금,1.0,3.33
16,000150,두산,40,126.7,2026-08,50현금,1.0,3.33
17,007660,이수페타시스,93,120.7,2026-08,50현금,1.0,3.33
18,028050,삼성E&A,74,115.4,2026-08,50현금,1.0,3.33
19,006800,미래에셋증권,41,99.3,2026-08,50현금,1.0,3.33
20,267260,HD현대일렉트릭,27,91.7,2026-08,50현금,1.0,3.33
21,006260,LS,72,85.5,2026-08,50현금,1.0,3.33
22,277810,레인보우로보틱스,76,85.0,2026-08,50현금,1.0,3.33
23,010950,S-Oil,53,77.6,2026-08,50현금,1.0,3.33
24,012330,현대모비스,18,74.2,2026-08,50현금,1.0,3.33
25,267270,,89,64.2,2026-08,50현금,1.0,3.33
26,047810,한국항공우주,54,63.0,2026-08,50현금,1.0,3.33
27,071050,,66,58.3,2026-08,50현금,1.0,3.33
28,055550,신한지주,15,56.0,2026-08,50현금,1.0,3.33
29,017670,SK텔레콤,42,55.9,2026-08,50현금,1.0,3.33
30,161390,,78,55.7,2026-08,50현금,1.0,3.33
