code,fiscal_year,op_income,depr,amort,cfo,capex,st_debt,lt_debt,bond,cash,EBITDA,net_debt,FCF
005930,2020,35993876000000.0,,,65287009000000.0,37592034000000.0,16553429000000.0,1999716000000.0,948137000000.0,29382578000000.0,35993876000000.0,-9881296000000.0,27694975000000.0
005930,2021,51633856000000.0,,,65105448000000.0,47122106000000.0,13687793000000.0,2866156000000.0,894749000000.0,39031415000000.0,51633856000000.0,-21582717000000.0,17983342000000.0
005930,2022,55654077000000.0,,,62181346000000.0,49430428000000.0,-8339149000000.0,3560672000000.0,1508465000000.0,49680710000000.0,55654077000000.0,-52950722000000.0,12750918000000.0
005930,2023,15487100000000.0,,,44137427000000.0,57611292000000.0,7114601000000.0,3724850000000.0,1219579000000.0,69080893000000.0,15487100000000.0,-57021863000000.0,-13473865000000.0
005930,2024,32725961000000.0,,,72982621000000.0,51406355000000.0,13172504000000.0,3935860000000.0,1364508000000.0,69080893000000.0,32725961000000.0,-50608021000000.0,21576266000000.0
005930,2025,43601051000000.0,,,85315148000000.0,47522179000000.0,17574980000000.0,6479517000000.0,2852971000000.0,57856378000000.0,43601051000000.0,-30948910000000.0,37792969000000.0
000660,2020,5012624000000.0,,,12314571000000.0,10068662000000.0,,,,2975989000000.0,5012624000000.0,,2245909000000.0
000660,2021,12410340000000.0,,,19797648000000.0,12486635000000.0,,,,5057982000000.0,12410340000000.0,,7311013000000.0
000660,2022,6809417000000.0,,,14780517000000.0,19010261000000.0,,,,5057982000000.0,6809417000000.0,,-4229744000000.0
000660,2023,-7730313000000.0,,,4278191000000.0,8325138000000.0,,,,7587329000000.0,-7730313000000.0,,-4046947000000.0
000660,2024,23467319000000.0,,,29795885000000.0,15945534000000.0,,,,11205117000000.0,23467319000000.0,,13850351000000.0
000660,2025,47206319000000.0,,,53373126000000.0,27518924000000.0,,,,14923766000000.0,47206319000000.0,,25854202000000.0
402340,2023,-2339698000000.0,88428000000.0,,265749000000.0,237254000000.0,46894000000.0,659000000.0,30701000000.0,1270893000000.0,-2251270000000.0,-1192639000000.0,28495000000.0
402340,2024,3912583000000.0,95033000000.0,,189954000000.0,39003000000.0,31247000000.0,296000000.0,0.0,1368298000000.0,4007616000000.0,-1336755000000.0,150951000000.0
402340,2025,8833276000000.0,74572000000.0,,387202000000.0,23145000000.0,15493000000.0,571000000.0,0.0,1368298000000.0,8907848000000.0,-1352234000000.0,364057000000.0
009150,2020,829130678277.0,,,,756667711711.0,1001788923295.0,1233208708882.0,,1485454092038.0,829130678277.0,749543540139.0,
009150,2021,1486872833804.0,,,,844237017708.0,553411118644.0,700629520893.0,,1485454092038.0,1486872833804.0,-231413452501.0,
009150,2022,1182835924271.0,,,,1296527887059.0,873717315493.0,472331712889.0,,1677067099648.0,1182835924271.0,-331018071266.0,
009150,2023,639423737120.0,,,,1209777658919.0,1961689648394.0,282200897428.0,,1677067099648.0,639423737120.0,566823446174.0,
009150,2024,735005856995.0,,,,775986403809.0,3228530987463.0,257056813032.0,,2013326031516.0,735005856995.0,1472261768979.0,
