last,to50,to20,dd20,ddhi,near_low,bw_rank,volr,a200,up200,cat,sub,prep,near_high,breakout,vsurge,vstrong,flags,code,name
15240,0.10378213633557287,-0.9456956225017077,-4.571070757670636,-22.482197355035606,10.195227765726678,27,0.5598594009838862,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,000080,하이트진로
82300,10.889541620631116,5.6414864257749775,-3.855140186915884,-34.160000000000004,26.61538461538462,68,0.8970419061470895,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,000100,유한양행
73400,-3.184108476007075,-2.4584717607973428,-7.088607594936713,-49.62251201098147,5.7636887608069065,31,0.5247809533941775,False,False,⚪ 기타,신호 없음,,False,False,False,False,,000120,CJ대한통운
1078000,-19.219471254720943,-8.47342502971642,-15.517241379310342,-51.06672719019518,20.3125,56,1.3086669355541194,False,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,000150,두산
395000,-14.121100119578212,-6.894519740718918,-15.778251599147119,-46.33152173913043,13.180515759312318,50,0.9279151422036465,False,True,⚪ 기타,신호 없음,,False,False,False,False,,000155,두산우
23250,-7.237472071496964,-7.3058905611482094,-11.931818181818176,-32.9004329004329,4.729729729729737,35,0.9894482996049843,False,True,⚪ 기타,신호 없음,,False,False,False,False,,000240,한국앤컴퍼니
168700,-14.601304013283112,1.400492877321624,-11.997913406364113,-85.75168918918918,40.58333333333333,19,0.609367949299901,False,False,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,000250,삼천당제약
130900,-8.012536717684926,-0.54325114918512,-7.621736062103035,-36.45631067961165,14.123801220575416,52,0.726096392636269,False,True,⚪ 기타,신호 없음,,False,False,False,False,,000270,기아
158200,-29.40084433377067,2.587380844303233,-16.251985177342508,-71.95035460992908,48.684210526315795,46,0.45205555790618646,False,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,000500,가온전선
1730000,-13.90636197149454,9.945980298697176,-4.735682819383258,-40.7331277834875,38.84430176565008,42,0.7548084160823881,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,000660,SK하이닉스
105600,-4.996671284884036,0.24681982153027526,-9.356223175965662,-44.03815580286169,35.907335907335906,72,1.1279266895963342,False,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,000720,현대건설
661000,3.0590289687860484,5.4226475279106845,0.0,-9.452054794520548,24.01500938086305,8,1.0408517127044297,True,True,🟢 추세위,MA50 신규회복,압축,False,False,False,False,,000810,삼성화재
417000,3.33804178128021,5.011332158146553,0.0,-7.743362831858402,15.352697095435675,28,1.2964951417589592,True,True,🟢 추세위,MA50 신규회복,압축,False,False,False,False,,000815,삼성화재우
83800,-12.797352702449583,-1.4813073124853027,-12.708333333333332,-44.46653412856196,inf,90,0.0,False,False,⚪ 기타,신호 없음,,False,False,False,False,,000880,한화
89700,-22.992393674559164,-0.421847246891649,-12.743190661478598,-59.31972789115647,30.188679245283012,40,1.3821462216146017,False,True,⚪ 기타,신호 없음,,False,False,False,False,,000990,DB하이텍
24500,1.5594558071282405,2.848267321537268,-10.746812386156645,-66.20689655172414,40.80459770114941,52,0.6831662701871617,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,0009K0,에임드바이오
121300,-16.843764996229517,-8.435553878090207,-16.86086360520904,-47.71551724137931,3.763900769888795,45,1.6503655858396173,False,False,⚪ 기타,신호 없음,,False,False,True,False,⚡,001040,CJ
37900,1.4019691780821963,1.560929858645399,-3.562340966921118,-33.15696649029982,14.674735249621795,14,0.7483443104023663,False,True,🟢 추세위,MA50 신규회복,,False,False,False,False,,001120,LX인터내셔널
39350,6.013255024516417,1.2674515859229185,-12.555555555555554,-56.42303433001108,36.63194444444444,67,0.6429157160292454,False,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,001430,세아베스틸지주
26650,-12.834434486818868,-1.0489185927782474,-11.461794019933558,-63.139695712309816,29.68369829683699,35,0.5015385170221268,False,True,⚪ 기타,신호 없음,,False,False,False,False,,001440,대한전선
49750,27.325774831725226,19.247363374880155,-0.5000000000000004,-0.5000000000000004,49.39939939939939,85,0.7125951516470916,True,True,🟢 추세위,MA50 위 추세유지,,True,False,False,False,🆕신고가,001450,현대해상
158800,0.617135326245366,6.387967708438014,-4.394942805538838,-37.725490196078425,33.10980720871753,57,0.5599476705500231,False,True,🟢 추세위,MA50 신규회복,,False,False,False,False,,001720,신영증권
6810,-22.07168032224104,-8.516926383664691,-16.029593094944516,-52.344296710986704,8.439490445859876,40,0.9734955395248501,True,True,🟣 상승준비,바닥,바닥,False,False,False,False,,001740,SK네트웍스
25500,-0.9862545623980701,-2.457683848140002,-8.765652951699465,-9.893992932862194,14.864864864864868,33,0.6490172212394264,True,True,⚪ 기타,신호 없음,,False,False,False,False,,001800,오리온홀딩스
484000,6.128713956802989,13.842173350582154,0.0,-28.823529411764703,44.047619047619044,66,1.7805405586667113,True,True,🟢 추세위,MA50 신규회복,,False,False,True,False,⚡,002380,KCC
26000,6.614179685898214,1.0591779224565112,-4.587155963302747,-25.820256776034235,30.325814536340843,27,0.6432538466023324,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,002790,아모레G
