code,name,last,ma20,ma50,ma200,gap20,dd60,atr,cls,zone,stop,above200,above50,hh60
034730,SK,655000,668600.0,641840.0,389592.0,-2.0,-24.0,60499.0,🟢 매수가능(눌림목),"641,840~668,600 (MA50~MA20)","706,752 (고점-2.5ATR) 또는 MA50 하향",True,True,858000
950160,코오롱티슈진,21050,77435.0,94434.0,84425.0,-73.0,-85.0,11335.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,138800
004170,신세계,544000,647200.0,621510.0,366968.0,-16.0,-30.0,56635.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,776000
402340,SK스퀘어,1221000,1425500.0,1369920.0,685544.0,-14.0,-38.0,165976.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,1970000
240810,원익IPS,113300,131860.0,131646.0,99866.0,-14.0,-38.0,18202.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,183300
000660,SK하이닉스,1919000,2202850.0,2199900.0,1137855.0,-13.0,-34.0,217710.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,2919000
011070,LG이노텍,679000,778150.0,939340.0,453960.0,-13.0,-56.0,82794.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,1530000
036930,주성엔지니어링,163900,184765.0,193606.0,85686.0,-11.0,-35.0,25439.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,250500
028260,삼성물산,360000,403450.0,427050.0,307273.0,-11.0,-33.0,37951.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,535000
032830,삼성생명,329500,359450.0,374860.0,236224.0,-8.0,-34.0,29421.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,497000
007660,이수페타시스,93400,101880.0,115246.0,115976.0,-8.0,-40.0,10235.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,155500
005930,삼성전자,270000,290250.0,305200.0,188694.0,-7.0,-26.0,23491.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,362500
307950,현대오토에버,430000,459925.0,602150.0,402968.0,-7.0,-54.0,49540.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,938000
042700,한미반도체,216000,230960.0,279724.0,220376.0,-6.0,-47.0,26347.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,409500
034020,두산에너빌리티,73200,77880.0,92670.0,91308.0,-6.0,-46.0,5972.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,136400
005380,현대차,432000,457975.0,571210.0,441342.0,-6.0,-42.0,33211.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,750000
000150,두산,1276000,1332350.0,1542480.0,1126075.0,-4.0,-42.0,151104.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,2203000
006800,미래에셋증권,39200,40925.0,51352.0,44700.0,-4.0,-53.0,3355.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,83800
298040,효성중공업,2866000,2981600.0,3405180.0,2617135.0,-4.0,-38.0,270960.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,4601000
086520,에코프로,84300,87075.0,109622.0,116590.0,-3.0,-48.0,8335.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,162800
353200,대덕전자,123200,127140.0,143330.0,80602.0,-3.0,-35.0,16451.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,190900
278470,에이피알,370000,380825.0,390160.0,313360.0,-3.0,-19.0,26569.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,459000
005935,삼성전자우,191100,195365.0,199692.0,131132.0,-2.0,-19.0,15703.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,235000
006260,LS,321500,327600.0,400640.0,282464.0,-2.0,-42.0,32794.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,553000
267260,HD현대일렉트릭,869000,868750.0,997580.0,921290.0,0.0,-39.0,73994.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,1420000
006400,삼성SDI,467000,448375.0,527010.0,408042.0,4.0,-34.0,38855.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,712000
028050,삼성E&A,46650,44365.0,47762.0,36399.0,5.0,-28.0,3865.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,64400
012330,현대모비스,524000,492350.0,574700.0,430105.0,6.0,-32.0,40106.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,True,False,768000
277810,레인보우로보틱스,508000,459775.0,594470.0,551370.0,10.0,-42.0,51636.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,878000
267250,HD현대,231500,202800.0,238310.0,231571.0,14.0,-25.0,16425.0,🔴 회피(추세이탈),반등·MA50 회복 확인 후 재검토,-,False,False,310500
