순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,035290,골드앤에스,KOSDAQ,30.00,2470,527901962,224605,11776090560,Y,저유동주의
2,019175,신풍제약우,KOSPI,29.98,15870,502190280,31644,31600820100,Y,저유동주의
3,299660,셀리드,KOSDAQ,29.98,2285,10299928439,4601038,67414302445,Y,실체급등
4,128940,한미약품,KOSPI,29.96,540000,259994058750,514563,6917935140000,Y,실체급등
5,289080,SV인베스트먼트,KOSDAQ,29.95,2625,2790750375,1063143,157862861625,Y,저유동주의
6,351320,넥사다이내믹스,KOSDAQ,29.95,1575,3918254105,2598944,46775361150,Y,저유동주의
7,019170,신풍제약,KOSPI,29.93,10550,20794403150,2074253,553015407100,Y,실체급등
8,008290,원풍물산,KOSDAQ,29.91,695,1217165827,1813155,14141053105,Y,동전주
9,020120,키다리스튜디오,KOSPI,26.87,5100,24486721968,4974603,189025206600,,실체급등
10,008930,한미사이언스,KOSPI,25.70,56500,216663064850,4107170,3864122575000,,실체급등
11,445680,큐리옥스바이오시스템즈,KOSDAQ,24.16,53700,11885107100,228930,923814793500,,실체급등
12,253840,수젠텍,KOSDAQ,23.06,4830,23736277531,4871653,80869656000,,실체급등
13,006110,삼아알미늄,KOSPI,21.91,58700,26425805250,468115,887746808500,,실체급등
14,142280,녹십자엠에스,KOSDAQ,21.07,3160,28135517560,9053565,75723177960,,실체급등
15,402030,코난테크놀로지,KOSDAQ,18.43,15870,5509877370,360707,198652534560,,실체급등
16,134580,탑코미디어,KOSDAQ,18.26,2785,10198199310,3488413,137284204965,,실체급등
17,036830,솔브레인홀딩스,KOSDAQ,17.52,44600,5864367150,136450,914477552600,,실체급등
18,475830,오름테라퓨틱,KOSDAQ,16.94,72500,20764147500,290962,1574670275000,,실체급등
19,124500,아이티센글로벌,KOSDAQ,16.44,37900,115576482575,3004858,879451573300,,실체급등
20,900290,GRT,KOSDAQ,16.42,4005,2690864913,710258,334459728720,,저유동주의
21,066970,엘앤에프,KOSPI,16.36,121600,128841547900,1067482,4947254899200,,실체급등
