code,종목명,시장,구분,등락률_20260731,종가_20260731,거래량_20260731,거래대금_20260731,PER_20260731,PBR_20260731,EPS_20260731,BPS_20260731,배당%_20260731,시총_20260731,종가_20260730,거래량_20260730,거래대금_20260730,PER_20260730,PBR_20260730,EPS_20260730,BPS_20260730,배당%_20260730,시총_20260730,고점52주比,고점5년比,MA60比,거래대금배수,신규상장
009155,삼성전기우,KOSPI,상한가,30.0,416000,79816,32260747250,0.0,0.0,0.0,0.0,0.58,1209305344000,320000,82736,28028159000,0.0,0.0,0.0,0.0,0.75,930234880000,-0.5381944444444444,-0.5381944444444444,-0.15903890160183076,0.757131880996514,
000150,두산,KOSPI,상한가,30.0,1170000,134767,152972994000,276.6,13.39,4230.0,87399.0,0.34,18946786950000,900000,107720,101967854500,212.77,10.3,4230.0,87399.0,0.44,14574451500000,-0.521494576134994,-0.521494576134994,-0.23502649467430292,1.394092302409048,
011090,에넥스,KOSPI,상한가,30.0,1937,248012,480399244,0.0,0.56,0.0,3455.0,0.0,22967113598,1490,374204,561166286,0.0,0.43,0.0,3455.0,0.0,17667010460,-0.6942446043165468,-0.9323607427055702,-0.18687953062222318,0.2625868452827222,
226340,본느,KOSDAQ,상한가,30.0,1677,89855,150686835,0.0,0.41,0.0,4135.0,0.0,14070841668,1290,34683,43667214,0.0,0.31,0.0,4135.0,0.0,10823724360,-0.7005035246727089,-0.9277804759592035,-0.3855710429177456,2.863882849956302,
095610,테스,KOSDAQ,상한가,30.0,130000,393775,50457808150,40.07,5.89,3244.0,22090.0,0.65,2516800000000,100000,612109,64539424150,30.83,4.53,3244.0,22090.0,0.85,1936000000000,-0.4245243128964059,-0.4245243128964059,-0.06134694299803445,0.423602272293316,
482630,삼양엔씨켐,KOSDAQ,상한가,29.99,12180,388691,4409835645,17.63,2.24,691.0,5448.0,0.0,266599250400,9370,181967,1750205260,13.56,1.72,691.0,5448.0,0.0,205093183600,-0.5096,-0.5096,-0.27686681609059804,1.485036529451467,
033160,엠케이전자,KOSDAQ,상한가,29.96,14490,1215051,16911554925,230.0,0.82,63.0,17572.0,0.83,350577812340,11150,573317,6670842385,176.98,0.63,63.0,17572.0,1.08,269768295900,-0.6024324324324324,-0.6024324324324324,-0.3861540387531124,1.192775179782443,
071950,코아스,KOSPI,상한가,29.96,1848,321972,555147887,0.0,0.63,0.0,2919.0,0.0,23024592360,1422,66735,93117649,0.0,0.49,0.0,2919.0,0.0,17716975290,-0.8936518771331058,-0.913760655374737,-0.1753123015032818,0.96995300570371,
000660,SK하이닉스,KOSPI,상한가,29.95,1718000,10499619,17548832116000,27.69,10.0,62044.0,171751.0,0.17,1254985883070000,1322000,9543189,12945505619452,21.31,7.7,62044.0,171751.0,0.23,965710906530000,-0.41111483093404755,-0.41111483093404755,-0.15698162037813612,1.355492857159946,
131290,티에스이,KOSDAQ,상한가,29.94,186600,85905,15832707150,52.92,5.27,3526.0,35375.0,0.24,2064062651400,143600,141411,21310673200,40.73,4.06,3526.0,35375.0,0.31,1588421204400,-0.3112244897959183,-0.3112244897959183,-0.09280290303071026,0.44263758615427223,
222800,심텍,KOSDAQ,상한가,29.94,82900,858373,69591598600,0.0,5.38,0.0,15419.0,0.12,3105759879900,63800,693200,45267387300,0.0,4.14,0.0,15419.0,0.16,2390198797800,-0.46102314250913523,-0.46102314250913523,-0.22058478158759987,0.7298120171197998,
080220,제주반도체,KOSDAQ,상한가,29.94,65100,3489614,216197379450,55.5,9.66,1173.0,6742.0,0.0,2242228428300,50100,2185974,114594685575,42.71,7.43,1173.0,6742.0,0.0,1725585933300,-0.4905797101449275,-0.4905797101449275,-0.20877884074282493,1.2566330091459694,
323280,태성,KOSDAQ,상한가,29.94,31250,527893,15342518325,0.0,7.44,0.0,4199.0,0.0,954311875000,24050,342451,8530192575,0.0,5.73,0.0,4199.0,0.0,734438419000,-0.6622340425531915,-0.6622340425531915,-0.4008209225156085,1.7245437663093783,
089030,테크윙,KOSDAQ,상한가,29.94,41450,1272940,50230077425,157.6,6.89,263.0,6018.0,0.31,1535873585250,31900,931410,30974240425,121.29,5.3,263.0,6018.0,0.41,1182011275500,-0.39121621621621616,-0.39121621621621616,-0.1540435653480221,0.6374525321233281,
353200,대덕전자,KOSPI,상한가,29.93,96800,1443581,136224820950,104.76,5.56,924.0,17419.0,0.52,4783558340000,74500,1329255,100945278500,80.63,4.28,924.0,17419.0,0.67,3681560912500,-0.446969696969697,-0.446969696969697,-0.21145490770301745,0.9035742893904569,
009150,삼성전기,KOSPI,상한가,29.92,1142000,613210,696251094000,122.2,9.04,9345.0,126302.0,0.21,85300200832000,879000,1400040,1332741555000,94.06,6.96,9345.0,126302.0,0.27,65655758784000,-0.45138601572196935,-0.45138601572196935,-0.13486005089058528,0.43581506416618904,
309930,조이웍스앤코,KOSDAQ,상한가,29.92,1103,1313314,1393931285,0.0,1.07,0.0,1029.0,0.0,21239245567,849,99254,83282254,0.0,0.83,0.0,1029.0,0.0,16348249761,-0.8185951352580132,-0.9276911924610366,-0.5294672602376249,6.02383803193664,
440110,파두,KOSDAQ,상한가,29.92,63400,886678,53822974700,0.0,162.15,0.0,391.0,0.0,3177039111800,48800,622833,31001156400,0.0,124.81,0.0,391.0,0.0,2444949637600,-0.5061823802163833,-0.5061823802163833,-0.3041994845922108,1.1205510636506872,
402340,SK스퀘어,KOSPI,상한가,29.91,1038000,1039044,1064048457000,15.56,4.95,66713.0,209564.0,0.0,136972804668000,799000,1364135,1099450260960,11.98,3.81,66713.0,209564.0,0.0,105434750414000,-0.4933759707629054,-0.4933759707629054,-0.1506254786826654,0.6938266126518404,
170920,엘티씨,KOSDAQ,상한가,29.89,34550,307322,10332985175,68.96,2.76,501.0,12514.0,0.29,364990553300,26600,430576,11893391275,53.09,2.13,501.0,12514.0,0.38,281005751600,-0.34349258649093906,-0.34349258649093906,-0.15664350463828436,0.5822521070029713,
336260,두산퓨얼셀,KOSPI,상한가,29.89,24550,1755895,41370522875,0.0,5.47,0.0,4491.0,0.0,1607870973300,18900,1248576,23933230255,0.0,4.21,0.0,4491.0,0.0,1237831421400,-0.6069788797061524,-0.6069788797061524,-0.3654166924074874,1.7960015869581154,
45226K,한화갤러리아우,KOSPI,상한가,29.87,4435,54468,223657955,0.0,0.0,0.0,0.0,0.0,12881324450,3415,54670,187102230,0.0,0.0,0.0,0.0,0.0,9918765050,-0.7542372881355932,-0.817906976744186,-0.28930170640203323,12.66045462265142,
093370,후성,KOSPI,상한가,29.87,9000,6497902,54763173770,180.0,2.89,50.0,3118.0,0.0,965297970000,6930,3264421,23015376075,138.6,2.22,50.0,3118.0,0.0,743279436900,-0.5656050955414013,-0.6183832581042266,-0.2652093758230182,0.8576538535340404,
002070,비비안,KOSPI,상한가,29.83,5070,307722,1479723122,0.0,0.18,0.0,27410.0,0.0,12190024080,7800,89426,718604000,0.0,0.14,0.0,54750.0,0.0,18753883200,-0.45448275862068965,-0.45448275862068965,0.04435080152713744,1.0087539440575553,
327260,RF머트리얼즈,KOSDAQ,상한가,29.79,22350,403115,8677696625,52.71,7.24,424.0,3087.0,0.0,201041267250,17220,152963,2704952895,40.61,5.58,424.0,3087.0,0.0,154896224700,-0.6460107221696625,-0.6460107221696625,-0.3754271623805916,1.0600386474140913,
044490,태웅,KOSDAQ,상한가,29.79,27450,254518,6693164825,101.29,0.9,271.0,30459.0,0.0,549202608450,21150,170437,3794063350,78.04,0.69,271.0,30459.0,0.0,423156108150,-0.5562805872756933,-0.5562805872756933,-0.24865337691634815,1.891933976361113,
194480,데브시스터즈,KOSDAQ,상한가,29.54,18460,433051,7723930565,19.37,1.22,953.0,15161.0,0.0,223904109000,14250,368250,5417414390,14.95,0.94,953.0,15161.0,0.0,172840387500,-0.7054982817869415,-0.9140852130325815,0.001041534852481707,6.3768979365111065,
089970,브이엠,KOSDAQ,상한가,29.45,65500,1151210,74430065300,57.71,9.6,1135.0,6824.0,0.0,1724403107500,50600,813009,42730117900,44.58,7.42,1135.0,6824.0,0.0,1332134309000,-0.39967239967239965,-0.39967239967239965,-0.06873332486342265,0.8901362132250731,
160980,싸이맥스,KOSDAQ,상한가,29.27,30250,240991,6888219150,21.23,1.7,1425.0,17779.0,1.32,330458350750,23400,164594,3849013425,16.42,1.32,1425.0,17779.0,1.71,255627286200,-0.31974921630094044,-0.31974921630094044,-0.09677419354838712,0.9676306277197462,
490470,세미파이브,KOSDAQ,+20%↑,28.73,16490,539521,8548283335,0.0,2.53,0.0,6513.0,0.0,561079505600,12810,252585,3309288085,0.0,1.97,0.0,6513.0,0.0,435865886400,-0.6649122807017545,-0.6649122807017545,-0.40709485677495005,1.2769824151019993,
356860,티엘비,KOSDAQ,+20%↑,28.47,26400,433929,11183564800,28.27,4.27,934.0,6185.0,1.7,314308632000,20550,205506,4290589300,22.0,3.32,934.0,6185.0,2.19,244660696500,-0.572535794580523,-0.572535794580523,-0.34491630115716343,0.7639929064163367,
144960,뉴파워프라즈마,KOSDAQ,+20%↑,28.33,10010,1906665,18395889315,47.44,1.42,211.0,7057.0,0.5,437363166240,7800,998234,7735256850,36.97,1.11,211.0,7057.0,0.64,340802467200,-0.207395498392283,-0.207395498392283,0.13086363115036126,1.5586962615974147,
126340,비나텍,KOSDAQ,+20%↑,28.12,56500,164572,8910859500,0.0,4.77,0.0,11841.0,0.0,405693391000,44100,77045,3543396250,0.0,3.72,0.0,11841.0,0.0,316656257400,-0.6958435207823961,-0.6958435207823961,-0.4738771252149886,0.8225290039067199,
042700,한미반도체,KOSPI,+20%↑,27.98,214500,2222655,461764042800,95.08,29.47,2256.0,7278.0,0.37,20444466900000,167600,1398060,234204593250,74.29,23.03,2256.0,7278.0,0.48,15974324720000,-0.5305164319248826,-0.5305164319248826,-0.3184799831891729,1.9848303301402215,
240810,원익IPS,KOSDAQ,+20%↑,27.92,97600,2140366,201035560400,56.51,4.9,1727.0,19936.0,0.2,4790588737600,76300,1335078,105562090850,44.18,3.83,1727.0,19936.0,0.26,3745101646300,-0.46485623003194887,-0.46485623003194887,-0.2291171281736596,0.6510584397411122,
319660,피에스케이,KOSDAQ,+20%↑,27.81,129600,800235,101404083600,47.79,6.97,2712.0,18606.0,0.52,3754086134400,101400,682214,71102629800,37.39,5.45,2712.0,18606.0,0.67,2937224799600,-0.3444191343963553,-0.3444191343963553,0.010841314070292984,0.8586867384021036,
000157,두산2우B,KOSPI,+20%↑,27.65,325500,1727,539964250,0.0,0.0,0.0,0.0,1.23,290683869000,255000,695,188290750,0.0,0.0,0.0,0.0,1.57,227724690000,-0.4649390243902439,-0.4649390243902439,-0.24684845775592312,1.1727759397340045,
298040,효성중공업,KOSPI,+20%↑,27.61,2417000,103972,244490660000,43.29,9.57,55832.0,252555.0,0.31,22537432516000,1894000,116554,225525685500,33.92,7.5,55832.0,252555.0,0.4,17660693912000,-0.43462673977224797,-0.43462673977224797,-0.2372977791264438,1.561776840654015,
077360,덕산하이메탈,KOSDAQ,+20%↑,26.96,8760,1087357,9001134390,0.0,1.93,0.0,4544.0,0.0,398028137520,6900,1036547,7343273835,0.0,1.52,0.0,4544.0,0.0,313515313800,-0.5957345971563981,-0.5957345971563981,-0.3710289906723526,1.4609321018540085,
