code,시가,고가,저가,종가,거래량,거래대금,등락률,시가총액,BPS,PER,PBR,EPS,DIV,DPS,상장주식수,date,mkt,종목명
000150,1078000,1128000,910000,999000,89968,90418020000,-4.49,16177641165000,87399.0,236.17,11.43,4230.0,0.4,4000.0,16193835,20260729,KOSPI,두산
000155,399000,420000,349000,389000,43768,16688414250,5.14,1554623718000,0.0,0.0,0.0,0.0,1.04,4050.0,3996462,20260729,KOSPI,두산우
000157,302500,323000,252000,288500,1505,431266000,-3.67,257641463000,0.0,0.0,0.0,0.0,1.39,4000.0,893038,20260729,KOSPI,두산2우B
000500,151400,152800,112200,122400,419635,53888972550,-19.37,3644779096800,16250.0,70.87,7.53,1727.0,0.08,100.0,29777607,20260729,KOSPI,가온전선
000660,1567000,1619000,1246000,1401000,12428883,17560826499500,-9.61,1023419803365000,171751.0,22.58,8.16,62044.0,0.21,3000.0,730492365,20260729,KOSPI,SK하이닉스
001820,68800,72900,58000,62900,620277,40152247700,-7.64,653845500000,26701.0,51.52,2.36,1221.0,0.79,500.0,10395000,20260729,KOSPI,삼화콘덴서
002070,8150,8700,7620,8350,68734,566704570,3.21,20076272400,54750.0,0.0,0.15,0.0,0.0,0.0,2404344,20260729,KOSPI,비비안
003160,18290,18460,15570,16500,305093,5115363830,-8.84,466950000000,6287.0,84.18,2.62,196.0,1.52,250.0,28300000,20260729,KOSPI,디아이
004710,6360,6560,5300,5850,910104,5387552810,-7.87,238129029450,9050.0,0.0,0.65,0.0,1.71,100.0,40705817,20260729,KOSPI,한솔테크닉스
005930,226500,234000,189200,208500,65555523,13726154839133,-5.23,1218949089768000,63997.0,31.57,3.26,6605.0,0.8,1668.0,5846278608,20260729,KOSPI,삼성전자
005935,160100,171000,139600,153400,8254729,1267624359560,-3.03,123083742540200,0.0,0.0,0.0,0.0,1.09,1669.0,802371203,20260729,KOSPI,삼성전자우
006340,14040,14650,10110,11050,15957014,197518684505,-18.75,866479296800,1527.0,97.79,7.24,113.0,0.0,0.0,78414416,20260729,KOSPI,대원전선
007660,72600,74300,60000,64000,1100218,71562844750,-10.36,4698190016000,10292.0,28.09,6.22,2278.0,0.36,230.0,73409219,20260729,KOSPI,이수페타시스
007810,47500,48750,37600,42650,503545,21200121850,-9.83,1022858743000,16070.0,24.71,2.65,1726.0,0.23,100.0,23982620,20260729,KOSPI,코리아써키트
007815,12570,12570,10390,11390,895,10627460,-8.88,33767819100,0.0,0.0,0.0,0.0,0.92,105.0,2964690,20260729,KOSPI,코리아써우
008060,12950,13130,10910,11730,326290,3816343610,-8.36,366997659540,17702.0,113.88,0.66,103.0,9.85,1155.0,31287098,20260729,KOSPI,대덕
009150,1146000,1167000,926000,1029000,1436271,1483272774000,-7.63,76859813184000,126302.0,110.11,8.15,9345.0,0.23,2350.0,74693696,20260729,KOSPI,삼성전기
009155,388000,408000,333000,366000,81643,29838180250,-5.55,1063956144000,0.0,0.0,0.0,0.0,0.66,2400.0,2906984,20260729,KOSPI,삼성전기우
010120,180000,183300,150500,163800,1393272,229144264600,-6.67,24570000000000,13920.0,84.91,11.77,1929.0,0.37,600.0,150000000,20260729,KOSPI,LSELECTRIC
011070,518000,519000,422500,458000,398467,185546719750,-10.89,10839535006000,243532.0,31.76,1.88,14421.0,0.41,1880.0,23667107,20260729,KOSPI,LG이노텍
