index,expiry,quad,week_%,day_%,post_%
코스피,2016-07-14,False,1.76,0.16,0.4
코스피,2016-08-11,False,2.44,0.2,-0.25
코스피,2016-09-08,True,1.53,0.09,-3.12
코스피,2016-10-13,False,-2.41,-0.9,1.24
코스피,2016-11-10,False,0.95,2.26,-1.75
코스피,2016-12-08,True,2.39,1.97,0.24
코스피,2017-01-12,False,2.21,0.58,-0.73
코스피,2017-02-09,False,-0.25,0.04,0.42
코스피,2017-03-09,True,-0.55,-0.21,2.04
코스피,2017-04-13,False,-0.19,0.93,-0.01
코스피,2017-05-11,False,4.12,1.16,-0.05
코스피,2017-06-08,True,0.69,0.15,0.47
코스피,2017-07-13,False,0.91,0.74,0.69
코스피,2017-08-10,False,-1.15,-0.38,-0.48
코스피,2017-09-14,True,1.34,0.74,1.61
코스피,2017-10-12,False,4.31,0.68,0.39
코스피,2017-11-09,False,0.17,-0.07,-0.94
코스피,2017-12-14,True,0.3,-0.45,0.37
코스피,2018-01-11,False,0.87,-0.47,1.36
코스피,2018-02-08,False,-6.27,0.46,-0.52
코스피,2018-03-08,True,0.24,1.3,2.52
코스피,2018-04-12,False,0.21,-0.06,0.45
코스피,2018-05-10,False,-1.65,0.83,-0.23
코스피,2018-06-14,True,-1.23,-1.84,-3.44
코스피,2018-07-12,False,1.22,0.19,0.56
코스피,2018-08-09,False,1.48,0.1,-1.94
코스피,2018-09-13,True,-0.06,0.14,1.0
코스피,2018-10-11,False,-7.79,-4.44,0.73
코스피,2018-11-08,False,3.37,0.67,-1.02
코스피,2018-12-13,True,1.3,0.62,-1.6
코스피,2019-01-10,False,3.49,-0.07,1.64
코스피,2019-02-14,False,1.02,1.11,-0.91
코스피,2019-03-14,True,-0.47,0.34,1.02
코스피,2019-04-11,False,0.81,0.0,1.09
코스피,2019-05-09,False,-4.61,-3.04,-0.96
코스피,2019-06-13,True,1.65,-0.27,-0.21
코스피,2019-07-11,False,-1.33,1.06,0.54
코스피,2019-08-08,False,-4.79,0.57,0.27
코스피,2019-09-12,True,3.05,0.84,1.05
코스피,2019-10-10,False,-2.14,-0.88,1.97
코스피,2019-11-14,False,-0.24,0.79,0.65
코스피,2019-12-12,True,3.72,1.51,2.73
코스피,2020-01-09,False,0.52,1.63,2.4
코스피,2020-02-13,False,0.23,-0.24,-1.08
코스피,2020-03-12,True,-12.03,-3.87,-8.83
코스피,2020-04-09,False,6.46,1.61,1.14
코스피,2020-05-14,False,-0.19,-0.8,2.89
코스피,2020-06-11,True,1.19,-0.86,-1.78
코스피,2020-07-09,False,1.52,0.42,0.72
코스피,2020-08-13,False,4.05,0.21,-3.16
코스피,2020-09-10,True,0.02,0.87,1.97
코스피,2020-10-08,False,3.63,0.21,-0.48
코스피,2020-11-12,False,2.56,-0.41,2.57
코스피,2020-12-10,True,1.86,-0.33,0.38
코스피,2021-01-14,False,3.9,0.05,-1.82
코스피,2021-02-11,False,-0.93,0.52,1.07
코스피,2021-03-11,True,-0.98,1.88,1.77
코스피,2021-04-08,False,1.81,0.19,0.82
코스피,2021-05-13,False,-1.78,-1.25,1.63
코스피,2021-06-10,True,-0.7,0.26,1.05
코스피,2021-07-08,False,-0.9,-0.99,0.57
코스피,2021-08-12,False,-2.07,-0.38,-1.54
코스피,2021-09-09,True,-1.93,-1.53,1.1
코스피,2021-10-14,False,2.76,1.5,1.35
코스피,2021-11-11,False,-1.95,-0.18,2.47
코스피,2021-12-09,True,2.86,0.93,-1.37
코스피,2022-01-13,False,1.42,-0.35,-3.3
코스피,2022-02-10,False,2.37,0.11,-3.44
코스피,2022-03-10,True,-0.86,2.21,-2.19
코스피,2022-04-14,False,0.77,0.01,0.08
코스피,2022-05-12,False,-4.76,-1.63,2.76
코스피,2022-06-09,True,-2.25,-0.03,-5.05
코스피,2022-07-14,False,-0.51,-0.27,2.09
코스피,2022-08-11,False,2.05,1.73,-0.29
코스피,2022-09-08,True,-1.3,0.33,0.74
코스피,2022-10-13,False,-2.36,-1.8,4.03
코스피,2022-11-10,False,3.14,-0.91,3.25
코스피,2022-12-08,True,-4.39,-0.49,0.06
코스피,2023-01-12,False,4.44,0.24,0.6
코스피,2023-02-09,False,0.51,-0.09,-0.64
코스피,2023-03-09,True,-0.36,-0.53,-2.9
코스피,2023-04-13,False,4.17,0.43,0.37
코스피,2023-05-11,False,-0.42,-0.22,-0.43
코스피,2023-06-08,True,1.31,-0.18,1.04
코스피,2023-07-13,False,1.37,0.64,0.63
코스피,2023-08-10,False,-0.15,-0.14,-2.92
코스피,2023-09-14,True,0.97,1.51,-0.53
코스피,2023-10-12,False,3.08,1.21,-0.79
코스피,2023-11-09,False,3.58,0.23,0.25
코스피,2023-12-14,True,2.09,1.34,0.96
코스피,2024-01-11,False,-1.81,-0.07,-1.68
코스피,2024-02-08,False,3.06,0.41,-0.25
코스피,2024-03-14,True,2.69,0.94,-2.3
코스피,2024-04-11,False,-0.0,0.07,-3.6
코스피,2024-05-09,False,0.75,-1.2,0.67
코스피,2024-06-13,True,2.43,0.98,0.33
