date,open,high,low,close,adjclose,volume
2009-08-06,1.65,1.691,1.556,1.618,1.1355911,241978000
2009-08-07,1.615,1.676,1.603,1.643,1.1531377,24543000
2009-08-10,1.663,1.663,1.561,1.597,1.1208525,24210000
2009-08-11,1.598,1.6,1.55,1.567,1.099797,23054000
2009-08-12,1.615,1.62,1.566,1.6,1.1229582,14513000
2009-08-13,1.6,1.6720001,1.6,1.655,1.1615596,11506000
2009-08-14,1.65,1.7,1.625,1.66,1.1650687,6378000
2009-08-17,1.627,1.637,1.62,1.622,1.1383985,2544000
2009-08-18,1.648,1.72,1.635,1.707,1.1980561,14467000
2009-08-19,1.684,1.794,1.6799999,1.789,1.2556076,20708000
2009-08-20,1.795,1.795,1.729,1.776,1.2464836,18821000
2009-08-21,1.779,1.7970001,1.758,1.7819999,1.2506948,8636000
2009-08-24,1.752,1.785,1.73,1.75,1.228235,10216000
2009-08-25,1.765,1.79,1.755,1.785,1.2528003,5308000
2009-08-26,1.7690001,1.785,1.715,1.785,1.2528003,7086000
2009-08-27,1.785,1.821,1.755,1.816,1.2745574,11611000
2009-08-28,1.8099999,1.9,1.8,1.847,1.2963141,12950000
2009-08-31,1.835,1.84,1.781,1.8200001,1.277365,10048000
2009-09-01,1.825,1.844,1.694,1.785,1.2528003,13835000
2009-09-02,1.776,1.825,1.748,1.768,1.2408688,12934000
2009-09-03,1.7970001,1.7970001,1.7,1.745,1.224726,36577000
2009-09-04,1.775,1.8,1.749,1.776,1.2464836,11586000
2009-09-08,1.776,1.793,1.745,1.77,1.2422724,5749000
2009-09-09,1.785,1.785,1.722,1.726,1.2113911,5512000
2009-09-10,1.701,1.7460001,1.6950001,1.705,1.1966527,4152000
2009-09-11,1.7,1.733,1.654,1.688,1.1847204,6203000
2009-09-14,1.664,1.6900001,1.631,1.665,1.1685779,16145000
2009-09-15,1.725,1.735,1.663,1.7180001,1.2057761,19869000
2009-09-16,1.74,1.775,1.711,1.758,1.23385,20211000
2009-09-17,1.766,1.79,1.653,1.664,1.1678765,14464000
2009-09-18,1.6569999,1.702,1.618,1.62,1.1369952,8999000
2009-09-21,1.628,1.663,1.587,1.661,1.165771,5530000
2009-09-22,1.696,1.737,1.682,1.725,1.2106891,11141000
2009-09-23,1.762,1.779,1.73,1.74,1.221217,5303000
2009-09-24,1.733,1.785,1.675,1.749,1.2275336,7788000
2009-09-25,1.748,1.748,1.71,1.7130001,1.2022668,4685000
2009-09-28,1.732,1.785,1.7029999,1.765,1.238763,2336000
2009-09-29,1.755,1.784,1.6950001,1.7029999,1.1952485,3567000
2009-09-30,1.7,1.733,1.696,1.707,1.1980561,5126000
2009-10-01,1.7,1.709,1.6210001,1.631,1.1447153,6605000
2009-10-02,1.62,1.636,1.59,1.609,1.1292744,6296000
2009-10-05,1.61,1.653,1.6,1.649,1.1573484,1889000
2009-10-06,1.674,1.72,1.6440001,1.647,1.1559448,4694000
2009-10-07,1.6569999,1.661,1.592,1.613,1.1320823,2917000
2009-10-08,1.6109999,1.618,1.594,1.601,1.1236598,5573000
2009-10-09,1.598,1.645,1.594,1.625,1.1405041,8705000
2009-10-12,1.622,1.645,1.604,1.6339999,1.1468209,12888000
2009-10-13,1.619,1.6670001,1.615,1.653,1.1601559,5573000
2009-10-14,1.684,1.7,1.654,1.686,1.1833171,6955000
2009-10-15,1.74,1.795,1.71,1.716,1.2043724,20920000
2009-10-16,1.723,1.723,1.6210001,1.643,1.1531377,12638000
2009-10-19,1.646,1.664,1.6059999,1.624,1.1398023,21429000
2009-10-20,1.6339999,1.673,1.627,1.653,1.1601559,4890000
2009-10-21,1.637,1.691,1.6109999,1.649,1.1573484,2338000
2009-10-22,1.633,1.633,1.561,1.628,1.1426097,9834000
2009-10-23,1.613,1.641,1.592,1.605,1.126467,11341000
2009-10-26,1.591,1.612,1.581,1.584,1.1117284,1624000
2009-10-27,1.595,1.599,1.526,1.545,1.0843563,3288000
2009-10-28,1.55,1.55,1.489,1.493,1.0478605,6220000
2009-10-29,1.495,1.52,1.472,1.5039999,1.0555809,11833000
2009-10-30,1.51,1.5190001,1.487,1.5,1.0527735,2781000
2009-11-02,1.51,1.51,1.472,1.487,1.0436493,2766000
2009-11-03,1.4680001,1.482,1.444,1.449,1.0169789,3637000
2009-11-04,1.46,1.525,1.433,1.478,1.0373327,8053000
2009-11-05,1.502,1.574,1.485,1.5319999,1.0752327,2741000
2009-11-06,1.5319999,1.569,1.487,1.529,1.073127,2575000
2009-11-09,1.526,1.574,1.5089999,1.566,1.0990956,2529000
2009-11-10,1.569,1.569,1.518,1.545,1.0843563,1468000
2009-11-11,1.553,1.553,1.512,1.536,1.0780399,1535000
2009-11-12,1.54,1.595,1.54,1.5599999,1.0948844,1300000
2009-11-13,1.561,1.575,1.541,1.558,1.0934803,621000
2009-11-16,1.563,1.6210001,1.553,1.601,1.1236598,1556000
2009-11-17,1.5829999,1.619,1.558,1.607,1.127871,985000
2009-11-18,1.615,1.615,1.581,1.603,1.1250635,1155000
2009-11-19,1.584,1.589,1.525,1.557,1.0927784,1166000
2009-11-20,1.556,1.5650001,1.531,1.544,1.0836546,4237000
2009-11-23,1.554,1.561,1.515,1.5190001,1.0661083,4653000
2009-11-24,1.51,1.533,1.501,1.526,1.0710216,5228000
2009-11-25,1.538,1.598,1.536,1.55,1.0878656,1353000
2009-11-27,1.513,1.5880001,1.506,1.586,1.1131319,616000
2009-11-30,1.587,1.599,1.525,1.586,1.1131319,2765000
2009-12-01,1.59,1.6339999,1.59,1.596,1.1201509,4178000
2009-12-02,1.603,1.6109999,1.538,1.561,1.0955858,8465000
2009-12-03,1.558,1.594,1.558,1.5930001,1.1180453,5079000
2009-12-04,1.64,1.671,1.5599999,1.652,1.1594541,9468000
2009-12-07,1.65,1.693,1.65,1.687,1.1840189,3084000
2009-12-08,1.661,1.697,1.655,1.675,1.1755967,2495000
2009-12-09,1.661,1.681,1.6339999,1.681,1.1798078,967000
2009-12-10,1.6799999,1.699,1.675,1.677,1.1770005,2555000
2009-12-11,1.669,1.67,1.646,1.658,1.1636647,774000
2009-12-14,1.674,1.6900001,1.669,1.6849999,1.1826149,2248000
2009-12-15,1.6849999,1.6900001,1.671,1.674,1.1748946,1404000
2009-12-16,1.688,1.7130001,1.674,1.7,1.1931429,3157000
2009-12-17,1.691,1.698,1.614,1.631,1.1447153,1490000
2009-12-18,1.63,1.6799999,1.623,1.6390001,1.1503303,4178000
2009-12-21,1.679,1.6849999,1.636,1.649,1.1573484,1443000
2009-12-22,1.65,1.673,1.623,1.673,1.1741931,3127000
2009-12-23,1.675,1.684,1.665,1.678,1.1777021,2235000
2009-12-24,1.6720001,1.7,1.6720001,1.678,1.1777021,308000
2009-12-28,1.675,1.78,1.675,1.738,1.2198131,7954000
2009-12-29,1.752,1.768,1.74,1.753,1.230341,2276000
2009-12-30,1.7309999,1.778,1.7309999,1.7690001,1.2415705,3025000
2009-12-31,1.761,1.829,1.761,1.829,1.2836815,5558000
2010-01-04,1.83,1.89,1.801,1.886,1.3236866,5387000
2010-01-05,1.895,1.924,1.8099999,1.9,1.3335129,3011000
2010-01-06,1.895,1.9299999,1.859,1.915,1.3440399,5331000
2010-01-07,1.904,1.9170001,1.865,1.903,1.3356181,2718000
2010-01-08,1.89,1.9299999,1.885,1.9170001,1.3454437,2899000
2010-01-11,1.92,1.955,1.903,1.929,1.3538662,5127000
2010-01-12,1.914,1.914,1.874,1.9,1.3335129,9167000
2010-01-13,1.896,1.896,1.825,1.842,1.2928053,9439000
2010-01-14,1.848,1.887,1.8150001,1.8430001,1.2935073,10654000
2010-01-15,1.8559999,1.8559999,1.8150001,1.824,1.2801723,1587000
