date,open,high,low,close,adjclose,volume
1970-01-02,92.059998,93.540001,91.790001,93,93,8050000
1970-01-05,93,94.25,92.529999,93.459999,93.459999,11490000
1970-01-06,93.459999,93.809998,92.129997,92.82,92.82,11460000
1970-01-07,92.82,93.379997,91.93,92.629997,92.629997,10010000
1970-01-08,92.629997,93.470001,91.989998,92.68,92.68,10670000
1970-01-09,92.68,93.25,91.82,92.400002,92.400002,9380000
1970-01-12,92.400002,92.669998,91.199997,91.699997,91.699997,8900000
1970-01-13,91.699997,92.610001,90.989998,91.919998,91.919998,9870000
1970-01-14,91.919998,92.400002,90.879997,91.650002,91.650002,10380000
1970-01-15,91.650002,92.349998,90.730003,91.68,91.68,11120000
1970-01-16,91.68,92.489998,90.360001,90.919998,90.919998,11940000
1970-01-19,90.720001,90.720001,89.139999,89.650002,89.650002,9500000
1970-01-20,89.650002,90.449997,88.639999,89.830002,89.830002,11050000
1970-01-21,89.830002,90.610001,89.199997,89.949997,89.949997,9880000
1970-01-22,89.949997,90.800003,89.199997,90.040001,90.040001,11050000
1970-01-23,90.040001,90.449997,88.739998,89.370003,89.370003,11000000
1970-01-26,89.230003,89.230003,87.489998,88.169998,88.169998,10670000
1970-01-27,88.169998,88.540001,86.919998,87.620003,87.620003,9630000
1970-01-28,87.620003,88.239998,86.440002,86.790001,86.790001,10510000
1970-01-29,86.790001,87.089996,85.019997,85.690002,85.690002,12210000
1970-01-30,85.690002,86.330002,84.419998,85.019997,85.019997,12320000
1970-02-02,85.019997,86.760002,84.760002,85.75,85.75,13440000
1970-02-03,85.75,87.540001,84.639999,86.769997,86.769997,16050000
1970-02-04,86.769997,87.660004,85.589996,86.239998,86.239998,11040000
1970-02-05,86.239998,86.620003,84.949997,85.900002,85.900002,9430000
1970-02-06,85.900002,86.879997,85.230003,86.330002,86.330002,10150000
1970-02-09,86.330002,87.849998,86.160004,87.010002,87.010002,10830000
1970-02-10,87.010002,87.400002,85.580002,86.099998,86.099998,10110000
1970-02-11,86.099998,87.379997,85.300003,86.940002,86.940002,12260000
1970-02-12,86.940002,87.540001,85.93,86.730003,86.730003,10010000
1970-02-13,86.730003,87.300003,85.709999,86.540001,86.540001,11060000
1970-02-16,86.540001,87.300003,85.800003,86.470001,86.470001,19780000
1970-02-17,86.470001,87.080002,85.57,86.370003,86.370003,10140000
1970-02-18,86.370003,88.07,86.190002,87.440002,87.440002,11950000
1970-02-19,87.440002,88.699997,86.940002,87.760002,87.760002,12890000
1970-02-20,87.760002,88.739998,86.870003,88.029999,88.029999,10790000
1970-02-24,88.029999,88.910004,87.279999,87.989998,87.989998,10810000
1970-02-25,87.989998,89.800003,87.110001,89.349998,89.349998,13210000
1970-02-26,89.349998,89.629997,87.629997,88.900002,88.900002,11540000
1970-02-27,88.900002,90.330002,88.419998,89.5,89.5,12890000
1970-03-02,89.5,90.800003,88.919998,89.709999,89.709999,12270000
1970-03-03,89.709999,90.669998,88.959999,90.230003,90.230003,11700000
1970-03-04,90.230003,91.050003,89.32,90.040001,90.040001,11850000
1970-03-05,90.040001,90.989998,89.379997,90,90,11370000
1970-03-06,90,90.360001,88.839996,89.440002,89.440002,10980000
1970-03-09,89.43,89.43,87.940002,88.510002,88.510002,9760000
1970-03-10,88.510002,89.410004,87.889999,88.75,88.75,9450000
1970-03-11,88.75,89.580002,88.110001,88.690002,88.690002,9180000
1970-03-12,88.690002,89.089996,87.68,88.330002,88.330002,9140000
1970-03-13,88.330002,89.43,87.290001,87.860001,87.860001,9560000
1970-03-16,87.860001,87.970001,86.389999,86.910004,86.910004,8910000
1970-03-17,86.910004,87.860001,86.360001,87.290001,87.290001,9090000
1970-03-18,87.290001,88.279999,86.93,87.540001,87.540001,9790000
1970-03-19,87.540001,88.199997,86.879997,87.419998,87.419998,8930000
1970-03-20,87.419998,87.769997,86.43,87.059998,87.059998,7910000
1970-03-23,87.059998,87.639999,86.190002,86.989998,86.989998,7330000
1970-03-24,86.989998,88.43,86.900002,87.980003,87.980003,8840000
1970-03-25,88.110001,91.07,88.110001,89.769997,89.769997,17500000
1970-03-26,89.769997,90.650002,89.18,89.919998,89.919998,11350000
1970-03-30,89.919998,90.410004,88.910004,89.629997,89.629997,9600000
1970-03-31,89.629997,90.169998,88.849998,89.629997,89.629997,8370000
1970-04-01,89.629997,90.620003,89.300003,90.07,90.07,9810000
1970-04-02,90.07,90.699997,89.279999,89.790001,89.790001,10520000
1970-04-03,89.790001,90.160004,88.809998,89.389999,89.389999,9920000
1970-04-06,89.389999,89.610001,88.150002,88.760002,88.760002,8380000
1970-04-07,88.760002,89.309998,87.940002,88.519997,88.519997,8490000
1970-04-08,88.519997,89.089996,87.830002,88.489998,88.489998,9070000
1970-04-09,88.489998,89.32,87.959999,88.529999,88.529999,9060000
1970-04-10,88.529999,89.139999,87.82,88.239998,88.239998,10020000
1970-04-13,88.239998,88.669998,87.150002,87.639999,87.639999,8810000
1970-04-14,87.639999,87.730003,86.010002,86.889999,86.889999,10840000
1970-04-15,86.889999,87.709999,86.529999,86.730003,86.730003,9410000
1970-04-16,86.730003,87.129997,85.510002,85.879997,85.879997,10250000
1970-04-17,85.879997,86.360001,84.75,85.669998,85.669998,10990000
1970-04-20,85.669998,86.360001,84.989998,85.830002,85.830002,8280000
1970-04-21,85.830002,86.540001,84.989998,85.379997,85.379997,8490000
1970-04-22,85.379997,85.510002,83.839996,84.269997,84.269997,10780000
1970-04-23,84.269997,84.300003,82.610001,83.040001,83.040001,11050000
1970-04-24,83.040001,83.620003,81.959999,82.769997,82.769997,10410000
1970-04-27,82.769997,83.080002,81.080002,81.459999,81.459999,10240000
1970-04-28,81.459999,82.160004,79.860001,80.269997,80.269997,12620000
1970-04-29,80.269997,83.230003,79.309998,81.809998,81.809998,15800000
1970-04-30,81.809998,82.57,80.760002,81.519997,81.519997,9880000
1970-05-01,81.519997,82.32,80.269997,81.440002,81.440002,8290000
1970-05-04,81.279999,81.279999,78.849998,79.370003,79.370003,11450000
1970-05-05,79.370003,79.830002,78.019997,78.599998,78.599998,10580000
1970-05-06,78.599998,80.910004,78.230003,79.470001,79.470001,14380000
1970-05-07,79.470001,80.599998,78.889999,79.830002,79.830002,9530000
1970-05-08,79.830002,80.150002,78.709999,79.440002,79.440002,6930000
1970-05-11,79.440002,79.720001,78.290001,78.599998,78.599998,6650000
1970-05-12,78.599998,79.150002,77.059998,77.849998,77.849998,10850000
1970-05-13,77.75,77.75,75.919998,76.529999,76.529999,10720000
1970-05-14,76.529999,76.639999,74.029999,75.440002,75.440002,13920000
1970-05-15,75.440002,77.419998,74.589996,76.900002,76.900002,14570000
1970-05-18,76.900002,77.68,76.07,76.959999,76.959999,8280000
1970-05-19,76.959999,77.199997,75.209999,75.459999,75.459999,9480000
1970-05-20,75.349998,75.349998,73.25,73.519997,73.519997,13020000
