date,open,high,low,close,adjclose,volume
2012-05-18,42.049999,45,38,38.23,37.897205,573576400
2012-05-21,36.529999,36.66,33,34.029999,33.733761,168192700
2012-05-22,32.610001,33.59,30.940001,31,30.730143,101786600
2012-05-23,31.370001,32.5,31.360001,32,31.721439,73600000
2012-05-24,32.950001,33.209999,31.77,33.029999,32.74247,50237200
2012-05-25,32.900002,32.950001,31.110001,31.91,31.632221,37149800
2012-05-29,31.48,31.690001,28.65,28.84,28.588943,78063400
2012-05-30,28.700001,29.549999,27.860001,28.190001,27.944603,57267900
2012-05-31,28.549999,29.67,26.83,29.6,29.342331,111639200
2012-06-01,28.889999,29.15,27.389999,27.719999,27.478695,41855500
2012-06-04,27.200001,27.65,26.440001,26.9,26.665831,35230300
2012-06-05,26.700001,27.76,25.75,25.870001,25.644802,42473400
2012-06-06,26.07,27.17,25.52,26.809999,26.576614,61489200
2012-06-07,27,27.35,26.15,26.309999,26.080967,26159500
2012-06-08,26.549999,27.76,26.440001,27.1,26.864092,38034000
2012-06-11,27.18,28.07,26.84,27.01,26.774876,28219600
2012-06-12,27.48,27.77,26.959999,27.4,27.16148,15816800
2012-06-13,27.66,28.1,27.1,27.27,27.032612,17102800
2012-06-14,27.65,28.32,27.379999,28.290001,28.043734,16855000
2012-06-15,28.51,30.1,28.35,30.01,29.748758,43563800
2012-06-18,29.959999,32.080002,29.41,31.41,31.13657,42978900
2012-06-19,31.540001,32.18,30.700001,31.91,31.632221,30849000
2012-06-20,31.92,31.93,31.15,31.6,31.324917,15553600
2012-06-21,31.67,32.5,31.51,31.84,31.562828,21875300
2012-06-22,32.41,33.450001,32.060001,33.049999,32.762295,74834000
2012-06-25,32.860001,33.02,31.549999,32.060001,31.780916,24352900
2012-06-26,32.689999,33.439999,32.5,33.099998,32.811855,24858700
2012-06-27,32.459999,32.900002,31.9,32.23,31.94943,28568000
2012-06-28,31.959999,32.189999,30.9,31.360001,31.087009,17713300
2012-06-29,31.92,31.99,30.76,31.1,30.829273,19526900
2012-07-02,31.25,31.73,30.549999,30.77,30.50214,14122000
2012-07-03,30.91,31.440001,30.799999,31.200001,30.928398,8763600
2012-07-05,31.32,31.629999,31.02,31.469999,31.196051,10032100
2012-07-06,31.440001,31.9,31.26,31.73,31.453785,10945600
2012-07-09,32.099998,32.880001,31.99,32.169998,31.889956,17785200
2012-07-10,32.43,32.48,31.16,31.469999,31.196051,14269500
2012-07-11,31.48,31.559999,30.549999,30.969999,30.700403,13030300
2012-07-12,30.700001,31.4,30.6,30.809999,30.541796,11300700
2012-07-13,31.040001,31.07,30.559999,30.719999,30.452579,8108300
2012-07-16,30.5,30.5,28.209999,28.25,28.004082,24672100
2012-07-17,28.48,28.59,27.15,28.09,27.845472,30438600
2012-07-18,28.309999,29.290001,28.15,29.110001,28.856594,16841800
2012-07-19,29.41,29.5,28.629999,29,28.747553,13685100
2012-07-20,29,29.469999,28.719999,28.76,28.509638,11869100
2012-07-23,28.120001,29,28.01,28.75,28.499723,12390700
2012-07-24,28.82,29.450001,28.1,28.450001,28.202339,11539800
2012-07-25,28.389999,29.49,28.08,29.34,29.084593,17230200
2012-07-26,27.75,28.23,26.73,26.85,26.616268,64597400
2012-07-27,23.190001,24.540001,22.280001,23.709999,23.503599,123102300
2012-07-30,24,24.040001,23.030001,23.15,22.948477,29285900
2012-07-31,23.370001,23.370001,21.610001,21.709999,21.521011,56179400
2012-08-01,21.5,21.58,20.84,20.879999,20.698236,44604400
2012-08-02,20.77,20.84,19.82,20.040001,19.865553,56374500
2012-08-03,20.360001,22.16,19.9,21.09,20.906412,80647000
2012-08-06,21.389999,22.15,21.299999,21.92,21.729183,27778900
2012-08-07,22.200001,22.450001,20.5,20.719999,20.539631,36782900
2012-08-08,20.709999,21.15,20.219999,20.719999,20.539631,29537400
2012-08-09,20.75,21.17,20.610001,21.01,20.827105,15610700
2012-08-10,21.41,21.82,21.129999,21.809999,21.62014,25794700
2012-08-13,22.15,22.450001,21.4,21.6,21.411968,24973100
2012-08-14,21.41,21.6,20.25,20.379999,20.202587,39308800
2012-08-15,20.639999,21.41,20.4,21.200001,21.015451,47861100
2012-08-16,20.440001,20.48,19.690001,19.870001,19.697029,157565300
2012-08-17,20.01,20.08,19,19.049999,18.884167,129293400
2012-08-20,19.049999,20.129999,18.75,20.01,19.835814,101186600
2012-08-21,19.58,19.98,19.09,19.16,18.993208,70640600
2012-08-22,19.360001,19.530001,18.959999,19.440001,19.270771,49892200
2012-08-23,19.5,19.73,19.360001,19.440001,19.270771,32813700
2012-08-24,19.52,19.68,19.25,19.41,19.241034,29622200
2012-08-27,19.49,19.530001,19.1,19.15,18.983297,20704000
2012-08-28,19.1,19.379999,18.950001,19.34,19.171644,25417000
2012-08-29,19.32,19.379999,19.07,19.1,18.933733,16124700
2012-08-30,19.27,19.450001,19.059999,19.09,18.923819,30647500
2012-08-31,18.68,18.700001,18.030001,18.059999,17.902786,58764200
2012-09-04,18.08,18.27,17.549999,17.73,17.575659,46622400
2012-09-05,18.27,18.75,18.18,18.58,18.418257,60781800
2012-09-06,18.74,19.26,18.719999,18.959999,18.794947,46066500
2012-09-07,19.1,19.42,18.780001,18.98,18.814775,36371700
2012-09-10,19.059999,19.200001,18.549999,18.809999,18.646255,24797800
2012-09-11,18.92,19.58,18.85,19.43,19.26086,50508200
2012-09-12,20.76,21.16,20.280001,20.93,20.747801,121584000
2012-09-13,20.959999,21.48,20.610001,20.709999,20.529718,65041600
2012-09-14,21.129999,22.08,20.9,22,21.808485,72819800
2012-09-17,22.67,22.75,21.5,21.52,21.332666,50667600
2012-09-18,21.6,21.98,21.370001,21.870001,21.679621,36760500
2012-09-19,21.99,23.370001,21.77,23.290001,23.087259,78782800
2012-09-20,23.02,23.24,22.540001,22.59,22.393353,57248900
2012-09-21,22.969999,23.24,22.6,22.860001,22.661001,51218100
2012-09-24,21.780001,21.98,20.360001,20.790001,20.609018,79106500
2012-09-25,21.200001,21.209999,20.219999,20.280001,20.103458,46291700
2012-09-26,20.15,20.780001,19.799999,20.620001,20.440502,38271900
2012-09-27,20.99,21,20.16,20.32,20.143108,30215900
2012-09-28,20.57,21.950001,20.5,21.66,21.471445,65486000
2012-10-01,22.08,22.59,21.73,21.99,21.798573,51262700
2012-10-02,22.08,22.49,21.82,22.27,22.076138,29341400
2012-10-03,22.299999,22.49,21.799999,21.83,21.639965,32000100
2012-10-04,22.32,22.4,21.41,21.950001,21.758923,46892100
2012-10-05,21.49,21.629999,20.879999,20.91,20.727976,40529300
2012-10-08,20.4,20.75,20.16,20.4,20.222416,32236700
