date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AVGO,^GSPC,^IXIC,SPY,QQQ
1970-01-31,,,,,,,,,85.019997,,,
1970-02-28,,,,,,,,,89.5,,,
1970-03-31,,,,,,,,,89.629997,,,
1970-04-30,,,,,,,,,81.519997,,,
1970-05-31,,,,,,,,,76.550003,,,
1970-06-30,,,,,,,,,72.720001,,,
1970-07-31,,,,,,,,,78.050003,,,
1970-08-31,,,,,,,,,81.519997,,,
1970-09-30,,,,,,,,,84.300003,,,
1970-10-31,,,,,,,,,83.25,,,
1970-11-30,,,,,,,,,87.199997,,,
1970-12-31,,,,,,,,,92.150002,,,
1971-01-31,,,,,,,,,95.879997,,,
1971-02-28,,,,,,,,,96.75,101.34,,
1971-03-31,,,,,,,,,100.31,105.97,,
1971-04-30,,,,,,,,,103.95,112.3,,
1971-05-31,,,,,,,,,99.629997,108.25,,
1971-06-30,,,,,,,,,98.699997,107.8,,
1971-07-31,,,,,,,,,95.580002,105.27,,
1971-08-31,,,,,,,,,99.029999,108.42,,
1971-09-30,,,,,,,,,98.339996,109.03,,
1971-10-31,,,,,,,,,94.230003,105.1,,
1971-11-30,,,,,,,,,93.989998,103.97,,
1971-12-31,,,,,,,,,102.09,114.12,,
1972-01-31,,,,,,,,,103.94,118.87,,
1972-02-29,,,,,,,,,106.57,125.38,,
1972-03-31,,,,,,,,,107.2,128.14,,
1972-04-30,,,,,,,,,107.67,131.33,,
1972-05-31,,,,,,,,,109.53,132.53,,
1972-06-30,,,,,,,,,107.14,130.08,,
1972-07-31,,,,,,,,,107.39,127.75,,
1972-08-31,,,,,,,,,111.09,129.95,,
1972-09-30,,,,,,,,,110.55,129.61,,
1972-10-31,,,,,,,,,111.58,130.24001,,
1972-11-30,,,,,,,,,116.67,132.96001,,
1972-12-31,,,,,,,,,118.05,133.73,,
1973-01-31,,,,,,,,,116.03,128.39999,,
1973-02-28,,,,,,,,,111.68,120.41,,
1973-03-31,,,,,,,,,111.52,117.46,,
1973-04-30,,,,,,,,,106.97,107.85,,
1973-05-31,,,,,,,,,104.95,102.64,,
1973-06-30,,,,,,,,,104.26,100.98,,
1973-07-31,,,,,,,,,108.22,108.64,,
1973-08-31,,,,,,,,,104.25,104.87,,
1973-09-30,,,,,,,,,108.43,111.2,,
1973-10-31,,,,,,,,,108.29,110.17,,
1973-11-30,,,,,,,,,95.959999,93.510002,,
1973-12-31,,,,,,,,,97.550003,92.190002,,
1974-01-31,,,,,,,,,96.57,94.93,,
1974-02-28,,,,,,,,,96.220001,94.349998,,
1974-03-31,,,,,,,,,93.980003,92.269997,,
1974-04-30,,,,,,,,,90.309998,86.860001,,
1974-05-31,,,,,,,,,87.279999,80.199997,,
1974-06-30,,,,,,,,,86.0,75.959999,,
1974-07-31,,,,,,,,,79.309998,69.989998,,
1974-08-31,,,,,,,,,72.150002,62.369999,,
1974-09-30,,,,,,,,,63.540001,55.669998,,
1974-10-31,,,,,,,,,73.900002,65.230003,,
1974-11-30,,,,,,,,,69.970001,62.950001,,
1974-12-31,,,,,,,,,68.559998,59.82,,
1975-01-31,,,,,,,,,76.980003,69.779999,,
1975-02-28,,,,,,,,,81.589996,73.0,,
1975-03-31,,,,,,,,,83.360001,75.660004,,
1975-04-30,,,,,,,,,87.300003,78.540001,,
1975-05-31,,,,,,,,,91.150002,83.099998,,
1975-06-30,,,,,,,,,95.190002,87.019997,,
1975-07-31,,,,,,,,,88.75,83.190002,,
1975-08-31,,,,,,,,,86.879997,79.010002,,
1975-09-30,,,,,,,,,83.870003,74.330002,,
1975-10-31,,,,,,,,,89.040001,76.989998,,
1975-11-30,,,,,,,,,91.239998,78.800003,,
1975-12-31,,,,,,,,,90.190002,77.620003,,
1976-01-31,,,,,,,,,100.86,87.050003,,
1976-02-29,,,,,,,,,99.709999,90.260002,,
1976-03-31,,,,,,,,,102.77,90.620003,,
1976-04-30,,,,,,,,,101.64,90.080002,,
1976-05-31,,,,,,,,,100.18,88.040001,,
1976-06-30,,,,,,,,,104.28,90.32,,
1976-07-31,,,,,,,,,103.44,91.290001,,
1976-08-31,,,,,,,,,102.91,89.699997,,
