code,name,score,div,PBR,PER,roe,mcap_rank
017800,현대엘리베이터,2.395948163209966,19.7,1.9,9.8,0.19380507343124165,160
002380,KCC,2.1290668691466554,3.08,0.46,2.33,0.19662635156473224,133
015760,한국전력,1.9110676272565286,4.17,0.49,2.78,0.17739721463317118,32
023590,다우기술,1.876092085004417,5.06,0.45,3.04,0.14657752069013008,234
006040,동원산업,1.4803873598090944,3.58,0.4,3.66,0.11001288675916775,243
001450,현대해상,1.47192486625277,0.0,0.53,2.68,0.19774372073222649,136
012630,HDC,1.466773289296992,2.16,0.35,3.43,0.10265057790733145,273
005830,DB손해보험,1.3335091171790883,5.68,0.75,4.52,0.16495655517965924,67
003380,하림지주,1.2382075557202221,1.23,0.3,4.12,0.07236378131419986,291
041510,에스엠,1.1689111333723554,2.29,1.62,4.67,0.34631105427808095,228
139480,이마트,1.1243703977777906,3.03,0.2,16.21,0.012382151581500812,193
024110,기업은행,1.0877446028530673,5.27,0.44,6.25,0.06962551404322338,44
009970,영원무역홀딩스,0.9993388809998965,4.03,0.63,5.15,0.12194549324342528,165
278470,에이피알,0.9692914016833856,1.32,32.37,49.65,0.6519731318219983,57
294870,IPARK현대산업개발,0.9635056159271628,3.9,0.35,7.25,0.048887397081762,260
000240,한국앤컴퍼니,0.9579255602378742,4.64,0.47,6.46,0.07262713711195198,186
139130,iM금융지주,0.9198832292528312,4.16,0.43,6.69,0.06484183344092963,157
030610,교보증권,0.9072194858154659,5.63,0.52,7.72,0.06743727694028658,287
029780,삼성카드,0.8748238981753549,5.84,0.58,7.92,0.07287590748744868,96
088350,한화생명,0.8666093021294304,0.0,0.25,6.55,0.03752843062926459,121
138930,BNK금융지주,0.8636949981900165,4.31,0.49,6.79,0.07222541690626796,98
078930,GS,0.8525829887860006,4.52,0.43,7.86,0.05431318132940124,80
031210,서울보증보험,0.8389544276085976,6.9,0.56,10.8,0.05171462781342912,147
300720,한일시멘트,0.8318449007250328,7.35,0.54,12.83,0.04176178855388491,297
030000,제일기획,0.8294443573634281,6.76,1.17,8.88,0.1319806763285024,200
035250,강원랜드,0.8257354840465803,6.64,0.72,9.1,0.07922987752633436,142
001120,LX인터내셔널,0.8057507247806368,5.43,0.48,9.33,0.05116194578883857,253
073240,금호타이어,0.8056528709695674,0.0,0.69,4.04,0.1711252653927813,223
316140,우리금융지주,0.8044020304564026,4.69,0.59,7.16,0.08257927773701802,31
036460,한국가스공사,0.786876204915758,3.61,0.26,21.84,0.011819929872186405,140
