순위,종목코드,종목명,시장,업종,등락률(%),종가(원),거래대금(원),거래량,시가총액(원),상한가,구분
1,044380,주연테크,KOSPI,"전기,전자",30.00,1040,445423061,437389,13412168640,Y,저유동주의
2,072770,멤레이비티,KOSDAQ,IT S/W & SVC,30.00,1053,2605741261,2535064,43712239194,Y,저유동주의
3,008290,원풍물산,KOSDAQ,섬유·의류,30.00,338,589936039,1850959,6877231582,Y,동전주
4,069920,엑시온그룹,KOSDAQ,유통,30.00,949,1345461349,1432212,8822398429,Y,동전주
5,066910,손오공,KOSDAQ,유통,29.98,2285,1557561543,728495,30588454120,Y,저유동주의
6,023790,동일스틸럭스,KOSDAQ,금속,29.97,1583,8075379865,5358928,20689506064,Y,실체급등
7,285800,진영,KOSDAQ,제조,29.96,1093,3369551222,3269128,19102656110,Y,저유동주의
8,011090,에넥스,KOSPI,제조업,29.95,2755,7032113412,2601855,32666183770,Y,실체급등
9,002070,비비안,KOSPI,"섬유,의복",29.94,13800,974307600,70602,33179947200,Y,저유동주의
10,012690,모나리자,KOSPI,제조업,29.94,2170,26373629499,12782592,79359623350,Y,실체급등
11,011080,형지I&C,KOSDAQ,섬유·의류,29.93,2865,712379385,248649,12308790630,Y,저유동주의
12,033340,좋은사람들,KOSDAQ,섬유·의류,29.90,530,4316816058,8529641,51383795740,Y,동전주
13,308100,형지글로벌,KOSDAQ,유통,29.90,656,1333049072,2032087,15759093248,Y,동전주
14,093240,형지엘리트,KOSPI,"섬유,의복",29.86,735,2247627795,3057997,45121840365,Y,동전주
15,015260,에이엔피,KOSPI,"전기,전자",29.85,435,2417248275,5675153,20495848890,Y,동전주
16,014950,삼익제약,KOSDAQ,제약,29.84,5570,15779125755,3091973,55742265160,Y,실체급등
17,024940,PN풍년,KOSDAQ,유통,29.81,2700,3681232397,1421598,27000000000,Y,저유동주의
18,071950,코아스,KOSPI,제조업,29.27,2760,5048358193,2007817,34387378200,,실체급등
19,004540,깨끗한나라,KOSPI,제조업,26.54,1907,16828479044,8986079,71018001551,,실체급등
20,060230,제이케이시냅스,KOSDAQ,제조,24.60,1165,840083562,771741,13118014170,,저유동주의
21,014990,인디에프,KOSPI,"섬유,의복",20.99,2300,1926612244,831073,34551977700,,저유동주의
22,196700,웹스,KOSDAQ,제조,20.56,1290,814793910,685459,18529745760,,저유동주의
23,476060,온코닉테라퓨틱스,KOSDAQ,기타서비스,20.33,14500,54149802350,3868374,658413680000,,실체급등
24,487580,폴레드,KOSDAQ,일반전기전자,19.94,3970,10931643283,2770135,99975958170,,실체급등
25,070300,엑스큐어,KOSDAQ,IT S/W & SVC,18.74,1793,1220648873,721458,63695839097,,저유동주의
26,006660,삼성공조,KOSPI,운수장비,17.07,13580,106701969250,7891720,110355344120,,실체급등
27,291810,핀텔,KOSDAQ,IT S/W & SVC,16.36,1501,5644280738,3579197,17064436712,,실체급등
28,035620,바른손이앤에이,KOSDAQ,오락·문화,16.20,796,1095599933,1396304,14813494728,,동전주
29,009620,삼보산업,KOSDAQ,금속,15.88,788,445846916,601689,13768761824,,동전주
30,219550,디와이디,KOSDAQ,유통,15.01,1180,344389622,285687,45634442080,,저유동주의
