순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,044380,주연테크,KOSPI,30.00,1352,241415824,178562,17435819232,Y,저유동주의
2,002140,고려산업,KOSPI,29.99,2375,16353327889,7441860,59231134375,Y,실체급등
3,208640,썸에이지,KOSDAQ,29.99,945,494975874,541813,13158203625,Y,동전주
4,465770,STX그린로지스,KOSPI,29.98,4140,5242908511,1359638,29688072480,Y,실체급등
5,066910,손오공,KOSDAQ,29.98,2970,10968286800,3810780,39758297040,Y,실체급등
6,079940,가비아,KOSDAQ,29.94,44050,450102900,10218,591181130200,Y,저유동주의
7,365660,레몬헬스케어,KOSDAQ,29.93,6990,59473302870,9166419,93327397410,Y,실체급등
8,069920,엑시온그룹,KOSDAQ,29.93,1233,1356032155,1139284,11462610393,Y,저유동주의
9,079950,인베니아,KOSDAQ,29.93,1055,546162517,555038,14558050500,Y,저유동주의
10,285800,진영,KOSDAQ,29.92,1420,2691471975,1961640,24817723400,Y,저유동주의
11,008290,원풍물산,KOSDAQ,29.88,439,213674283,494391,8932262321,Y,동전주
12,000250,삼천당제약,KOSDAQ,29.82,239000,15957355100,66772,5606335808000,Y,실체급등
13,218150,미래생명자원,KOSDAQ,29.80,2635,14198363477,5876913,53795638270,Y,실체급등
14,376900,로킷헬스케어,KOSDAQ,26.99,61400,54016913025,968349,974650644600,,실체급등
15,036420,콘텐트리중앙,KOSPI,25.12,1868,2594346602,1475882,35981991344,,저유동주의
16,320000,한울반도체,KOSDAQ,22.09,15970,67930607735,4196839,107556991800,,실체급등
17,060230,제이케이시냅스,KOSDAQ,16.74,1360,2837555327,2029268,15313733280,,저유동주의
18,457600,벡트,KOSDAQ,16.40,3230,6131761973,1877997,44275225000,,실체급등
19,049080,기가레인,KOSDAQ,15.06,12990,77039273835,5887382,110263458660,,실체급등
20,303030,지니틱스,KOSDAQ,15.03,1852,979680158,537295,16959645552,,저유동주의
