순위,종목코드,종목명,시장,업종,등락률(%),종가(원),거래대금(원),거래량,시가총액(원),상한가
1,044380,주연테크,KOSPI,"전기,전자",30.00,1040,445423061,437389,13412168640,Y
2,072770,멤레이비티,KOSDAQ,IT S/W & SVC,30.00,1053,2605741261,2535064,43712239194,Y
3,008290,원풍물산,KOSDAQ,섬유·의류,30.00,338,589936039,1850959,6877231582,Y
4,069920,엑시온그룹,KOSDAQ,유통,30.00,949,1345461349,1432212,8822398429,Y
5,066910,손오공,KOSDAQ,유통,29.98,2285,1557561543,728495,30588454120,Y
6,023790,동일스틸럭스,KOSDAQ,금속,29.97,1583,8075379865,5358928,20689506064,Y
7,285800,진영,KOSDAQ,제조,29.96,1093,3369551222,3269128,19102656110,Y
8,011090,에넥스,KOSPI,제조업,29.95,2755,7032113412,2601855,32666183770,Y
9,002070,비비안,KOSPI,"섬유,의복",29.94,13800,974307600,70602,33179947200,Y
10,012690,모나리자,KOSPI,제조업,29.94,2170,26373629499,12782592,79359623350,Y
11,011080,형지I&C,KOSDAQ,섬유·의류,29.93,2865,712379385,248649,12308790630,Y
12,033340,좋은사람들,KOSDAQ,섬유·의류,29.90,530,4316816058,8529641,51383795740,Y
13,308100,형지글로벌,KOSDAQ,유통,29.90,656,1333049072,2032087,15759093248,Y
14,093240,형지엘리트,KOSPI,"섬유,의복",29.86,735,2247627795,3057997,45121840365,Y
15,015260,에이엔피,KOSPI,"전기,전자",29.85,435,2417248275,5675153,20495848890,Y
16,014950,삼익제약,KOSDAQ,제약,29.84,5570,15779125755,3091973,55742265160,Y
17,024940,PN풍년,KOSDAQ,유통,29.81,2700,3681232397,1421598,27000000000,Y
18,071950,코아스,KOSPI,제조업,29.27,2760,5048358193,2007817,34387378200,
19,004540,깨끗한나라,KOSPI,제조업,26.54,1907,16828479044,8986079,71018001551,
20,060230,제이케이시냅스,KOSDAQ,제조,24.60,1165,840083562,771741,13118014170,
21,014990,인디에프,KOSPI,"섬유,의복",20.99,2300,1926612244,831073,34551977700,
22,196700,웹스,KOSDAQ,제조,20.56,1290,814793910,685459,18529745760,
23,476060,온코닉테라퓨틱스,KOSDAQ,기타서비스,20.33,14500,54149802350,3868374,658413680000,
24,487580,폴레드,KOSDAQ,일반전기전자,19.94,3970,10931643283,2770135,99975958170,
25,070300,엑스큐어,KOSDAQ,IT S/W & SVC,18.74,1793,1220648873,721458,63695839097,
26,006660,삼성공조,KOSPI,운수장비,17.07,13580,106701969250,7891720,110355344120,
27,291810,핀텔,KOSDAQ,IT S/W & SVC,16.36,1501,5644280738,3579197,17064436712,
28,035620,바른손이앤에이,KOSDAQ,오락·문화,16.20,796,1095599933,1396304,14813494728,
29,009620,삼보산업,KOSDAQ,금속,15.88,788,445846916,601689,13768761824,
30,219550,디와이디,KOSDAQ,유통,15.01,1180,344389622,285687,45634442080,
31,002680,한탑,KOSDAQ,음식료·담배,14.62,2430,7081797905,2810075,15705962370,
32,001000,신라섬유,KOSDAQ,기타서비스,14.42,960,4417001363,4410562,23306438400,
33,406820,뷰티스킨,KOSDAQ,제조,13.97,2015,8897322243,4212444,28484356355,
34,004310,현대약품,KOSPI,의약품,13.26,7600,185302706575,23478161,243200000000,
35,413630,씨피시스템,KOSDAQ,금융,12.37,3360,76163718211,21876977,122426992800,
36,026910,광진실업,KOSDAQ,금속,12.07,6500,3362225155,523749,51534119000,
37,322780,코퍼스코리아,KOSDAQ,오락·문화,11.92,2235,528123229,253231,20058745050,
38,084180,수성웹툰,KOSDAQ,기계·장비,11.36,539,225098219,433053,9742038537,
39,279570,케이뱅크,KOSPI,금융업,11.13,6390,88590359855,13831453,2592392014890,
40,277410,인산가,KOSDAQ,음식료·담배,10.92,6300,2277248240,353854,24199245000,
41,225430,케이엠제약,KOSDAQ,제조,10.89,1538,264823389,175637,8578056580,
42,320000,한울반도체,KOSDAQ,기계·장비,10.75,13080,8652457945,686368,88093015200,
43,365590,하이딥,KOSDAQ,IT H/W,10.56,1068,122329169,124044,39317939400,
44,192410,오늘이엔엠,KOSDAQ,IT H/W,10.39,3665,1782165069,498101,92306356485,
45,012160,영흥,KOSPI,제조업,10.37,2395,774322765,322658,37411583685,
46,014130,한익스프레스,KOSPI,운수창고,10.14,2445,413753435,170077,29340000000,
47,348370,엔켐,KOSDAQ,제조,9.58,23450,16113257650,657153,513812785850,
48,035290,골드앤에스,KOSDAQ,오락·문화,9.40,1641,102379272,61272,7823710368,
49,034940,조아제약,KOSDAQ,제약,9.27,625,6721942356,10030565,19362391875,
50,047920,HLB제약,KOSDAQ,기타서비스,9.21,9370,20806403420,2120772,307329965720,
51,006050,국영지앤엠,KOSDAQ,비금속,9.09,540,268817195,513734,18843431220,
52,078860,아이오케이이엔엠,KOSDAQ,오락·문화,8.93,2745,19281340,7175,16956381060,
53,101680,한국정밀기계,KOSDAQ,기계·장비,8.90,2385,319502365,135645,20043540000,
54,460930,현대힘스,KOSDAQ,운송장비·부품,8.49,12140,7673634080,640826,431099545940,
55,114450,그린생명과학,KOSDAQ,제약,8.48,2035,350414062,177476,40700000000,
56,084440,유비온,KOSDAQ,IT S/W & SVC,8.32,963,215008361,226548,18424521423,
57,005360,모나미,KOSPI,유통업,8.27,3730,103620536584,24248746,70486955110,
58,089860,롯데렌탈,KOSPI,서비스업,8.09,36750,8030519225,220463,1334370009000,
59,121890,에스디시스템,KOSDAQ,IT H/W,7.89,2050,208947253,102334,27247464300,
60,473980,노머스,KOSDAQ,오락·문화,7.76,11530,1422609860,122518,127513982660,
61,376980,원티드랩,KOSDAQ,IT S/W & SVC,7.72,2580,182062085,71882,25197296520,
62,303030,지니틱스,KOSDAQ,IT H/W,7.69,1610,530954866,314384,14743536360,
63,039310,세중,KOSDAQ,IT S/W & SVC,7.55,1140,173311832,155953,20658700380,
64,241590,화승엔터프라이즈,KOSPI,"섬유,의복",7.24,3260,874590950,265627,197521039760,
65,179290,엠아이텍,KOSDAQ,의료·정밀기기,7.11,4820,2286844801,456701,156002567960,
66,127980,화인써키트,KOSDAQ,IT H/W,7.11,3240,93365195,30296,38363816160,
67,126640,화신정공,KOSDAQ,운송장비·부품,7.10,4300,3894988607,987850,150740413000,
68,002810,삼영무역,KOSPI,유통업,7.02,21050,721406320,35136,388729255400,
69,206400,베노티앤알,KOSDAQ,건설,6.94,863,155406301,173549,32371266354,
70,002620,제일파마홀딩스,KOSPI,서비스업,6.74,6810,61220550,9226,108778547550,
71,101400,엔시트론,KOSDAQ,IT H/W,6.73,1728,264296898,157402,20289809664,
72,304840,피플바이오,KOSDAQ,제약,6.69,750,225115518,313839,18240495000,
73,191410,육일씨엔에쓰,KOSDAQ,IT H/W,6.61,1677,742926613,471671,18789535635,
74,065950,웰크론,KOSDAQ,섬유·의류,6.55,1318,12080846364,8452539,37208856036,
75,009320,아진전자부품,KOSPI,운수장비,6.50,1000,450295266,444087,49299770000,
76,008870,금비,KOSPI,비금속광물,6.47,40300,19350350,499,40300000000,
77,078130,국일제지,KOSDAQ,제조,6.41,4235,1474214174,363963,477456385945,
78,075580,세진중공업,KOSPI,운수장비,6.20,12170,4624727965,387868,691857879520,
79,047770,코데즈컴바인,KOSDAQ,섬유·의류,6.18,2835,23276875836,7744613,107283776670,
80,208640,썸에이지,KOSDAQ,제조,6.13,727,133386837,180717,10122766175,
81,035610,솔본,KOSDAQ,기타서비스,6.08,4795,1749672347,367597,131124055615,
82,000810,삼성화재,KOSPI,금융업,6.05,701000,99400898500,144962,31297878573000,
83,095720,웅진씽크빅,KOSPI,서비스업,6.03,1301,160421623,124958,73932037585,
84,004270,남성,KOSPI,유통업,6.02,7750,67153320,8972,28064424000,
85,042110,에스씨디,KOSDAQ,일반전기전자,6.01,1306,34047757759,24522799,63118410584,
86,006370,대구백화점,KOSPI,유통업,5.96,5870,3677519490,596526,63522856570,
87,084870,TBH글로벌,KOSPI,"섬유,의복",5.85,2080,237170396,116243,42553172480,
88,317240,TS트릴리온,KOSDAQ,제조,5.85,778,681412869,871669,22699481158,
89,090150,아이윈,KOSDAQ,운송장비·부품,5.80,529,85145374,164642,22152029997,
90,053280,예스24,KOSDAQ,IT S/W & SVC,5.79,3380,762317505,232218,84500000000,
91,017180,명문제약,KOSPI,의약품,5.78,1372,8638299366,6075197,46584138888,
92,006840,AK홀딩스,KOSPI,금융업,5.78,6040,219552095,36594,80015268440,
93,405000,플라즈맵,KOSDAQ,의료·정밀기기,5.77,3485,43658640,12765,13376977340,
94,256940,킵스파마,KOSDAQ,IT H/W,5.76,6060,230929590,38895,121673570820,
95,318410,비비씨,KOSDAQ,기타 제조,5.75,6070,71432700,11980,33720325010,
96,042660,한화오션,KOSPI,운수장비,5.73,86700,234302975250,2768727,26566041259800,
97,382900,범한퓨얼셀,KOSDAQ,일반전기전자,5.70,16120,2650193060,160129,141227320000,
98,009540,HD한국조선해양,KOSPI,금융업,5.67,354000,86975966750,250103,25053683064000,
99,030960,양지사,KOSDAQ,제조,5.66,5040,8962379747,1695825,80539200000,
100,073190,듀오백,KOSDAQ,기타 제조,5.63,732,33314181,44111,8760605280,
101,001770,SHD,KOSPI,제조업,5.61,6970,109278260,15019,8467699660,
