순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,044380,주연테크,KOSPI,30.00,1352,241415824,178562,17435819232,Y
2,002140,고려산업,KOSPI,29.99,2375,16353327889,7441860,59231134375,Y
3,208640,썸에이지,KOSDAQ,29.99,945,494975874,541813,13158203625,Y
4,465770,STX그린로지스,KOSPI,29.98,4140,5242908511,1359638,29688072480,Y
5,066910,손오공,KOSDAQ,29.98,2970,10968286800,3810780,39758297040,Y
6,079940,가비아,KOSDAQ,29.94,44050,450102900,10218,591181130200,Y
7,365660,레몬헬스케어,KOSDAQ,29.93,6990,59473302870,9166419,93327397410,Y
8,069920,엑시온그룹,KOSDAQ,29.93,1233,1356032155,1139284,11462610393,Y
9,079950,인베니아,KOSDAQ,29.93,1055,546162517,555038,14558050500,Y
10,285800,진영,KOSDAQ,29.92,1420,2691471975,1961640,24817723400,Y
11,008290,원풍물산,KOSDAQ,29.88,439,213674283,494391,8932262321,Y
12,000250,삼천당제약,KOSDAQ,29.82,239000,15957355100,66772,5606335808000,Y
13,218150,미래생명자원,KOSDAQ,29.80,2635,14198363477,5876913,53795638270,Y
14,376900,로킷헬스케어,KOSDAQ,26.99,61400,54016913025,968349,974650644600,
15,036420,콘텐트리중앙,KOSPI,25.12,1868,2594346602,1475882,35981991344,
16,320000,한울반도체,KOSDAQ,22.09,15970,67930607735,4196839,107556991800,
17,060230,제이케이시냅스,KOSDAQ,16.74,1360,2837555327,2029268,15313733280,
18,457600,벡트,KOSDAQ,16.40,3230,6131761973,1877997,44275225000,
19,049080,기가레인,KOSDAQ,15.06,12990,77039273835,5887382,110263458660,
20,303030,지니틱스,KOSDAQ,15.03,1852,979680158,537295,16959645552,
21,005860,한일사료,KOSDAQ,14.94,2770,70400269839,25438477,109148207450,
22,084180,수성웹툰,KOSDAQ,13.91,614,1297566167,2021358,11097609762,
23,002680,한탑,KOSDAQ,13.79,2765,10007813595,3649662,17871187635,
24,460930,현대힘스,KOSDAQ,13.34,13760,37781505355,2773317,488626832960,
25,014950,삼익제약,KOSDAQ,12.39,6260,72080022325,11188713,62647500880,
26,085910,네오티스,KOSDAQ,12.03,18070,15219265345,851424,249272361260,
27,024060,흥구석유,KOSDAQ,11.91,13440,125405130435,9436186,201600000000,
28,002995,금호건설우,KOSPI,11.79,25600,800612600,33763,7482009600,
29,078860,아이오케이이엔엠,KOSDAQ,10.93,3045,19893855,6848,18809537460,
30,405000,플라즈맵,KOSDAQ,10.76,3860,1808216580,420648,14816393840,
31,038880,아이에이,KOSDAQ,9.78,4265,797638333,184687,32049014095,
32,340440,세림BG,KOSDAQ,9.66,1056,6635136383,5939106,29967552384,
33,018700,졸스,KOSDAQ,9.45,1309,143218567,111308,15323921074,
34,131030,옵투스제약,KOSDAQ,9.32,6100,8682978095,1408041,107644199000,
35,192410,오늘이엔엠,KOSDAQ,9.28,4005,1268944220,334116,100869565545,
36,177350,베셀,KOSDAQ,9.10,743,783143345,1030508,14734954586,
37,095190,신화프리텍,KOSDAQ,9.04,2050,895657402,439286,133783947100,
38,084440,유비온,KOSDAQ,8.72,1047,306063216,314011,20031644787,
39,279600,미디어젠,KOSDAQ,8.42,3800,14393915,4183,17802167800,
40,065370,위세아이텍,KOSDAQ,8.20,3035,248243357,82665,22410300390,
41,263920,휴엠앤씨,KOSDAQ,8.19,3895,73016110,18984,38206156270,
42,032680,소프트센,KOSDAQ,8.09,935,62995579,70000,19500248735,
43,023790,동일스틸럭스,KOSDAQ,7.96,1709,18528203086,9937528,22336301872,
44,009730,이렘,KOSDAQ,7.88,1726,620325509,332724,13765718178,
45,123840,뉴온,KOSDAQ,7.75,2155,34024120,16164,13717501650,
46,032280,삼일,KOSDAQ,7.68,1290,83814289,67461,20915531100,
47,099440,스맥,KOSDAQ,7.68,2805,3944484711,1431209,191422720170,
48,475150,SK이터닉스,KOSPI,7.50,55900,414078613700,7371510,1904345523600,
49,294870,IPARK현대산업개발,KOSPI,7.43,19370,9422572810,493159,1276624982100,
50,043590,웰킵스하이텍,KOSDAQ,7.22,1247,379165458,294487,16919771107,
51,317400,자이에스앤디,KOSPI,7.21,5500,6190242930,1137162,213303860000,
52,298020,효성티앤씨,KOSPI,7.19,298000,14986246750,50548,1289649236000,
53,012340,뉴인텍,KOSDAQ,7.08,802,448327604,579404,14997650224,
54,0039P0,매드업,KOSDAQ,6.93,5400,43855207951,7719100,101559960000,
55,322000,HD현대에너지솔루션,KOSPI,6.90,117700,24836745700,211891,1318240000000,
56,013000,세우글로벌,KOSPI,6.79,1305,901920180,673562,37460065455,
57,032800,판타지오,KOSDAQ,6.62,1610,97407075,63910,20063050420,
58,033250,체시스,KOSPI,6.50,3930,900277928,236272,25152000000,
59,068790,DMS,KOSDAQ,6.40,7650,2792909255,376341,172662213600,
60,252990,샘씨엔에스,KOSDAQ,6.38,15500,36326769360,2402787,933377279500,
61,121890,에스디시스템,KOSDAQ,6.34,2180,435119966,195186,28975352280,
62,312610,에이에프더블류,KOSDAQ,6.12,416,98698874,237845,8426865408,
63,048830,엔피케이,KOSDAQ,5.52,1127,330209199,295243,21101861221,
64,149980,하이로닉,KOSDAQ,5.44,4265,206641900,50340,73353931190,
65,301300,바이브컴퍼니,KOSDAQ,5.28,1375,109168044,79451,18087729000,
66,033560,블루콤,KOSDAQ,5.27,4295,899406457,212028,73444500000,
67,318020,포인트모바일,KOSDAQ,5.15,2020,37418715,19176,24848569440,
68,007690,국도화학,KOSPI,5.12,40000,2764867625,69900,370433280000,
69,332290,누보,KOSDAQ,5.06,831,902889315,1077592,33160559724,
70,091440,한울소재과학,KOSDAQ,5.05,2915,1018050989,351809,97436498500,
71,003310,대주산업,KOSDAQ,5.00,1785,19537958981,10460845,63175344750,
72,123330,제닉,KOSDAQ,4.96,26450,8241381350,321033,210771586000,
73,004090,한국석유,KOSPI,4.90,11780,9041259020,765239,149536733600,
74,119850,지엔씨에너지,KOSDAQ,4.57,35500,20437715075,570359,583936269500,
75,372800,아이티아이즈,KOSDAQ,4.47,2920,74655010,26464,20548591880,
76,064820,케이프,KOSDAQ,4.32,8690,4001108210,455566,268175268350,
77,034310,NICE,KOSPI,4.27,12450,1928580390,156649,457626604650,
78,073240,금호타이어,KOSPI,4.27,6100,35667080825,5916335,1752287750700,
79,262840,아이퀘스트,KOSDAQ,4.27,3050,524185170,173515,32229203600,
80,045510,정원엔시스,KOSDAQ,4.20,793,31230002,40267,25541968556,
81,019550,SBI인베스트먼트,KOSDAQ,4.17,1000,1167797650,1161955,81033287000,
82,483650,달바글로벌,KOSPI,4.08,217000,26872751250,125644,2709172305000,
83,000950,전방,KOSPI,3.95,27650,29257600,1132,46452000000,
84,004270,남성,KOSPI,3.87,8050,453108640,57901,29150788800,
85,368600,아이씨에이치,KOSDAQ,3.73,612,103066416,174742,15786793980,
86,014970,삼륭물산,KOSDAQ,3.65,4400,3894064258,822741,65230000000,
87,335870,윙스풋,KOSDAQ,3.60,1008,23510296,23957,16884476784,
88,388210,씨엠티엑스,KOSDAQ,3.59,89400,7346450450,83450,863106757200,
89,196450,코아시아씨엠,KOSDAQ,3.58,867,133426084,148195,39292440000,
90,263800,데이타솔루션,KOSDAQ,3.51,5600,39605016955,6642782,90862128000,
91,303360,프로티아,KOSDAQ,3.31,4835,395490945,82238,62273422025,
92,050960,수산아이앤티,KOSDAQ,3.21,8040,139697330,17245,54278040000,
93,317240,TS트릴리온,KOSDAQ,3.08,802,394217649,484632,23399722222,
94,363250,진시스템,KOSDAQ,3.08,3510,133513630,38308,29864420820,
95,321370,센서뷰,KOSDAQ,3.06,1415,8810556150,5624848,73105841990,
