date,code,open,high,low,close,volume
1996-01-03,005930,138500,143500,138000,142000,221350
1996-01-04,005930,142000,142000,135000,135000,126860
1996-01-05,005930,135000,137000,132500,137000,98890
1996-01-08,005930,135000,139000,134500,137000,115140
1996-01-09,005930,140000,142000,139000,141000,151600
1996-01-10,005930,141000,141000,136500,141000,149830
1996-01-11,005930,141000,141000,138000,138000,120310
1996-01-12,005930,138000,139000,133000,134500,148290
1996-01-15,005930,134500,136000,133500,134000,98170
1996-01-16,005930,134000,135500,133500,134500,101730
1996-01-17,005930,135000,135000,131000,131000,105910
1996-01-18,005930,130500,130500,128000,129500,139120
1996-01-19,005930,129500,130500,128000,129000,111840
1996-01-22,005930,128000,129000,125500,127000,83690
1996-01-23,005930,127000,130000,127000,130000,66700
1996-01-24,005930,130500,137500,130500,137000,120160
1996-01-25,005930,139000,140000,135500,139000,194970
1996-01-26,005930,139000,140000,137500,138500,129150
1996-01-29,005930,138500,142000,138500,140000,140780
1996-01-30,005930,140500,141500,140000,140500,131130
1996-01-31,005930,140500,141000,139000,140500,153730
1996-02-01,005930,140500,144000,139000,140000,187640
1996-02-02,005930,140000,140500,138500,139500,489250
1996-02-05,005930,142000,143500,141500,142000,82620
1996-02-06,005930,142000,143000,135000,135000,159670
1996-02-07,005930,134500,139000,134000,139000,99150
1996-02-08,005930,139000,140000,136500,137000,89120
1996-02-09,005930,137000,138500,134000,134000,73310
1996-02-12,005930,131500,132500,130000,131500,65570
1996-02-13,005930,129500,130500,128000,130500,173490
1996-02-14,005930,130000,131500,128000,130000,160300
1996-02-15,005930,130000,131500,129500,131500,149510
1996-02-16,005930,131000,135000,131000,135000,147300
1996-02-21,005930,138500,140000,136000,138000,145810
1996-02-22,005930,141000,141000,136500,140000,232610
1996-02-23,005930,140000,140000,137500,138000,185180
1996-02-26,005930,135500,137000,128500,128500,126790
1996-02-27,005930,129000,130000,128000,129000,91310
1996-02-28,005930,129500,132500,129000,130000,72230
1996-02-29,005930,129500,130500,129000,129000,142430
1996-03-04,005930,128000,131500,128000,130000,83790
1996-03-05,005930,131000,137500,131000,135500,161470
1996-03-06,005930,136500,137000,133500,134000,107200
1996-03-07,005930,134000,134000,130000,130000,175870
1996-03-08,005930,130000,132000,129500,130000,160380
1996-03-11,005930,130000,130000,126500,126500,324560
1996-03-12,005930,97800,99000,92500,93000,292640
1996-03-13,005930,93000,93500,87500,87500,286640
1996-03-14,005930,87500,87500,82600,84000,328900
1996-03-15,005930,85000,88000,84300,86500,240240
1996-03-18,005930,86800,91600,86800,88800,206340
1996-03-19,005930,89000,91500,89000,91500,115990
1996-03-20,005930,93000,96900,92900,96900,224060
1996-03-21,005930,98000,98000,94100,96000,266770
1996-03-22,005930,96000,97000,95000,95000,197630
1996-03-25,005930,92500,94000,92300,92400,104950
1996-03-26,005930,92400,93000,91100,92000,118510
1996-03-27,005930,92000,92500,90500,90600,126330
1996-03-28,005930,90600,91500,89600,90500,229710
1996-03-29,005930,90500,93500,90500,92000,105970
1996-04-01,005930,90000,91300,89000,90000,224440
1996-04-02,005930,90000,90000,89000,90000,158270
1996-04-03,005930,90000,90500,89000,89500,162990
1996-04-04,005930,89500,89500,86400,86400,159900
1996-04-08,005930,84500,86500,84500,86100,114710
1996-04-09,005930,88100,89900,86600,87000,211400
1996-04-10,005930,87000,88100,87000,87000,257050
1996-04-12,005930,89000,90500,88000,89400,211690
1996-04-15,005930,90500,95100,90500,95100,148940
1996-04-16,005930,98100,99400,96000,97500,447070
1996-04-17,005930,97500,98500,97500,97700,258350
1996-04-18,005930,97700,103500,97700,103500,345400
1996-04-19,005930,103500,106000,102000,105000,349500
1996-04-22,005930,99700,101500,98500,100000,230980
1996-04-23,005930,100000,103500,100000,101500,224010
1996-04-24,005930,103000,107000,102500,107000,263840
1996-04-25,005930,109000,111000,108000,111000,527290
1996-04-26,005930,111000,111000,107500,109500,331560
1996-04-29,005930,106500,108000,106500,107500,239020
1996-04-30,005930,107500,108500,105500,106000,250860
1996-05-02,005930,105000,105000,100000,100000,341780
1996-05-03,005930,100000,101500,99000,100000,269150
1996-05-06,005930,98000,101500,98000,98600,189630
1996-05-07,005930,98600,101000,98600,100500,237630
1996-05-08,005930,100500,101500,98000,98500,230580
1996-05-09,005930,98000,98000,92600,92600,244590
1996-05-10,005930,89000,92000,88000,91600,344430
1996-05-13,005930,90000,91000,89500,90300,191400
1996-05-14,005930,90300,93500,90300,91900,173490
1996-05-15,005930,92500,92900,90000,90500,123960
1996-05-16,005930,90500,90500,87500,87700,186050
1996-05-17,005930,87500,88500,86700,87100,240790
1996-05-20,005930,84500,86200,83800,86000,249390
1996-05-21,005930,85500,85800,80900,80900,247350
1996-05-22,005930,80000,80900,76600,80000,309160
1996-05-23,005930,80000,80000,75200,75200,306060
1996-05-27,005930,71800,77000,71600,76000,190130
1996-05-28,005930,75400,75500,71500,71500,218010
1996-05-29,005930,69900,70000,67300,67300,387520
1996-05-30,005930,67500,70400,65100,65100,357450
1996-05-31,005930,68100,69000,68000,69000,140330
1996-06-03,005930,72000,73500,70700,72000,234490
1996-06-04,005930,72000,75000,72000,74500,145340
1996-06-05,005930,74500,74500,71000,71000,212290
1996-06-07,005930,70500,70500,68500,68700,193390
1996-06-10,005930,70500,70500,67300,69000,145250
1996-06-11,005930,69000,72000,69000,70600,126780
1996-06-12,005930,71000,71600,68100,69000,96240
1996-06-13,005930,69000,71500,69000,70600,134950
1996-06-14,005930,70600,72500,69500,72000,235370
1996-06-17,005930,70600,72000,70200,71900,137150
1996-06-18,005930,72000,72800,71000,72100,141580
1996-06-19,005930,72100,72900,72100,72900,130360
1996-06-20,005930,72500,72500,70600,71000,64930
1996-06-21,005930,71000,71400,70500,70700,153240
1996-06-24,005930,68000,68000,65100,66500,83740
1996-06-25,005930,66500,68300,65600,67500,112960
1996-06-26,005930,67600,67900,66000,67700,136630
1996-06-27,005930,67500,67700,66700,66900,155450
1996-06-28,005930,67300,68500,67200,68100,138430
1996-07-01,005930,69000,72300,68800,72000,147310
1996-07-02,005930,72000,74100,72000,72900,276270
1996-07-03,005930,72900,73200,71700,72500,100330
1996-07-04,005930,72800,73000,71500,71900,80830
1996-07-05,005930,72000,72300,71000,71300,77960
1996-07-08,005930,71600,71600,70800,70900,62100
1996-07-09,005930,70900,71700,70100,71700,64910
1996-07-10,005930,71700,72000,70500,70600,99200
1996-07-11,005930,70600,70800,68500,68800,109690
1996-07-12,005930,68800,70000,68300,68800,91420
1996-07-15,005930,69000,69500,68000,68000,66490
1996-07-16,005930,67000,69100,66500,68800,55880
1996-07-18,005930,69000,72000,68900,70000,222710
1996-07-19,005930,70000,74200,70000,74200,179810
1996-07-22,005930,76100,77400,75000,75000,178690
1996-07-23,005930,75000,75200,73600,74700,89150
1996-07-24,005930,74800,75500,72500,72500,91300
1996-07-25,005930,71500,71900,69500,70000,123880
1996-07-26,005930,70000,71000,69600,69800,102560
1996-07-29,005930,70300,71600,70300,70800,57710
1996-07-30,005930,70800,70800,69300,70200,68800
1996-07-31,005930,70200,70500,69700,70000,65220
1996-08-01,005930,71000,71000,70000,70200,101810
1996-08-02,005930,70200,70500,69800,70100,67490
1996-08-05,005930,69900,71000,69800,71000,48640
1996-08-06,005930,70000,72000,70000,71300,59640
1996-08-07,005930,71300,71800,71000,71300,61000
1996-08-08,005930,72000,75400,71600,73800,226600
1996-08-09,005930,72500,73000,71500,71800,160570
1996-08-12,005930,70000,71000,70000,70400,53930
1996-08-13,005930,70400,70500,69600,70400,137020
1996-08-14,005930,70000,70000,69600,69600,65690
1996-08-16,005930,70600,71900,70300,71900,163250
1996-08-19,005930,70900,71000,69600,69700,37710
1996-08-20,005930,69700,70600,69500,69900,80070
