순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,010060,OCI홀딩스,KOSPI,30.00,247000,108221530800,478314,4611547304000,Y
2,475150,SK이터닉스,KOSPI,30.00,80600,1359014874250,18261037,2745800522400,Y
3,039980,폴라리스AI,KOSDAQ,29.99,5180,4293408835,844546,74494688520,Y
4,084180,수성웹툰,KOSDAQ,29.98,633,737046524,1218491,11441021139,Y
5,076610,해성옵틱스,KOSDAQ,29.98,1279,10602014086,8435706,75763074220,Y
6,119850,지엔씨에너지,KOSDAQ,29.96,45550,124950811350,2885443,749247804950,Y
7,018700,졸스,KOSDAQ,29.93,1528,551455107,370086,17887663408,Y
8,078590,휴림에이텍,KOSDAQ,29.92,3365,244537915,72671,33622470935,Y
9,032685,소프트센우,KOSDAQ,29.91,6950,11384100,1638,495965900,Y
10,050090,비케이홀딩스,KOSDAQ,29.87,500,712375847,1453649,11767367500,Y
11,011155,CJ씨푸드1우,KOSPI,29.85,5220,53832470,10388,1044000000,Y
12,004415,서울식품우,KOSPI,29.85,5090,67521330,13989,1132270500,Y
13,322000,HD현대에너지솔루션,KOSPI,29.73,171500,162803283400,1021895,1920800000000,Y
14,065420,에스아이리소스,KOSDAQ,29.70,214,2744962645,12988461,15317541986,Y
15,005090,SGC에너지,KOSPI,29.16,54700,25765931550,511056,788190515100,
16,317400,자이에스앤디,KOSPI,27.51,8250,49948653505,6356498,319955790000,
17,053690,한미글로벌,KOSPI,25.91,19290,10359674615,562420,211371139500,
18,032790,엠젠솔루션,KOSDAQ,25.16,1005,835017112,853550,25808506530,
19,229640,LS에코에너지,KOSPI,21.85,52700,14009351750,281471,1613931123300,
20,100090,SK오션플랜트,KOSPI,19.61,17260,214515241040,12364508,1078372506540,
21,405000,플라즈맵,KOSDAQ,19.35,5520,1465430483,285458,21188210880,
22,060230,제이케이시냅스,KOSDAQ,19.30,1694,852697207,549338,19074606012,
23,108860,셀바스AI,KOSDAQ,18.92,7730,18882292740,2451763,208051326700,
24,000227,유유제약2우B,KOSPI,18.89,7490,196575450,25660,2418970400,
25,321820,아티스트컴퍼니,KOSDAQ,18.68,2510,1172976321,478960,39134353760,
26,095910,에스에너지,KOSDAQ,18.46,905,1125924784,1341212,33753702645,
27,006360,GS건설,KOSPI,18.21,34400,262202835875,7945282,2944003256000,
28,064260,다날,KOSDAQ,17.94,4635,82436495349,17289937,350616693195,
29,419080,엔젯,KOSDAQ,17.94,4635,589567573,132336,50390871795,
