sector,n,med7,win7,worst7,cagr_med
일차전지 및 이차전지 제조업,9,1.2513192223101397,0.778169014084507,-0.4304347826086991,0.1074581422208946
"골판지, 종이 상자 및 종이용기 제조업",9,0.916666666666672,0.802158273381295,-0.8464705882352941,0.0230305477428311
기타 사업지원 서비스업,6,0.8748130957761904,0.7443040830137604,-0.5134643391860625,0.03463656167269355
석유 정제품 제조업,5,0.812611255003535,0.75,-0.5772946859903377,0.0607226400142866
도로 화물 운송업,7,0.6493328568678209,0.6830985915492958,-0.7902892561983471,0.0148043632783614
기타 전기장비 제조업,6,0.6090887394824198,0.8155712717961224,-0.6257521311522296,0.0294725687965958
가정용 기기 제조업,7,0.5994058453105604,0.7016574585635359,-0.6381381381381381,0.0105435902288979
회사 본부 및 경영 컨설팅 서비스업,12,0.5914986901669321,0.695271898772313,-0.7381818408541811,0.01372240924597155
동물용 사료 및 조제식품 제조업,8,0.5734851924455078,0.7535971223021583,-0.7093272481406357,0.009617863655843651
의약품 제조업,85,0.5069863867862676,0.6619718309859155,-0.754599823269514,0.0209461137973092
특수 목적용 기계 제조업,103,0.4761580381471391,0.7164750957854407,-0.6394524553796511,0.0360604755763716
"건축기술, 엔지니어링 및 관련 기술 서비스업",13,0.4639344262295091,0.6288659793814433,-0.6293436293436296,0.0038233621004937
직물직조 및 직물제품 제조업,5,0.4202613798008432,0.6584507042253521,-0.81723567538403,0.0308173418196817
텔레비전 방송업,9,0.4061342364262075,0.6415094339622641,-0.6605603448275852,-0.0138528946814714
기초 화학물질 제조업,39,0.3876238614753189,0.6936619718309859,-0.6902184235517589,0.0406861135270424
기타 비금속 광물제품 제조업,9,0.3651804670912904,0.6161971830985915,-0.6288990825688097,0.0353853449319561
기타 금융업,80,0.3613781997811768,0.6292953243160713,-0.7320596027227974,0.04302646085805775
1차 철강 제조업,53,0.3335381897521152,0.6438848920863309,-0.6949860724233992,0.0177582915903078
"항공기,우주선 및 부품 제조업",5,0.3245364122557135,0.6654929577464789,-0.7475780409041975,0.1078059098703974
1차 비철금속 제조업,19,0.321481481481483,0.7077464788732394,-0.6786703601108042,0.0134411298726213
기타 화학제품 제조업,66,0.3046815359315367,0.6021668472372698,-0.749023748107228,-0.0029476992239569496
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",24,0.30335752046660824,0.6088288993218571,-0.6837761414068942,0.004414245294439949
자연과학 및 공학 연구개발업,20,0.3017053596082801,0.566869918699187,-0.8310167490762718,-0.0427736827981937
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",15,0.296989966555188,0.6263736263736264,-0.7330032839088467,-0.0126749344272218
반도체 제조업,46,0.28813165515908146,0.5641774891774891,-0.7890750599814368,0.0072258749283202
일반 목적용 기계 제조업,36,0.2809701385282919,0.5882311100272324,-0.7656814570819608,0.02030970034595985
"시멘트, 석회, 플라스터 및 그 제품 제조업",17,0.2457181976599411,0.6115107913669064,-0.8172794117647055,0.0142631115108948
기타 운송관련 서비스업,5,0.2394822006472445,0.5878787878787879,-0.6580027359781118,0.0573909428074901
선박 및 보트 건조업,10,0.23125207192922434,0.5888166203586764,-0.8006459530651341,0.03620404966113465
신탁업 및 집합투자업,13,0.2048969072164981,0.7272727272727273,-0.7172027972027992,0.0047890296611892
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",20,0.19652710982271737,0.6016347636176773,-0.7280244941427048,0.0089789916388716
"곡물가공품, 전분 및 전분제품 제조업",7,0.1957295128181173,0.6232394366197183,-0.7917073170731715,-0.0023660132032301
가구 제조업,8,0.1900001316991325,0.5929869209458154,-0.7497433253004615,-0.025826443037073047
여행사 및 기타 여행보조 서비스업,6,0.1725370204679511,0.5793130675088827,-0.7324650576368874,-0.0098545329345233
일반 교습 학원,5,0.1690647482014355,0.6506550218340611,-0.6134699853587116,-0.0259197936376585
절연선 및 케이블 제조업,5,0.1653521467331452,0.5863309352517986,-0.9176388888888884,0.0973840792904348
통신 및 방송 장비 제조업,53,0.1567080045095887,0.5935828877005348,-0.754891103728313,-0.0142184949997091
"구조용 금속제품, 탱크 및 증기발생기 제조업",18,0.1505039167862751,0.6350819672131147,-0.6362700897683322,0.0004918461092340981
전기 통신업,13,0.1465669493108469,0.55,-0.7214083219021472,0.0076670225451271
전자부품 제조업,94,0.13530164391403535,0.5958015267175573,-0.7071890761429047,0.00509345021569305
기타 금속 가공제품 제조업,17,0.1267202970296989,0.5774647887323944,-0.7239999999999996,0.0174181769191248
의료용품 및 기타 의약 관련제품 제조업,19,0.1240988531888157,0.5035971223021583,-0.6483443708609274,-0.0273215025839916
기계장비 및 관련 물품 도매업,24,0.1169325675774613,0.5540614375910636,-0.8065825303728531,-0.020252984648553553
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",30,0.11589730493181805,0.5707778028762894,-0.7555623636683423,-0.0316326074542265
"비료, 농약 및 살균, 살충제 제조업",6,0.11394645539431031,0.591549295774648,-0.760882565791177,0.013049077518504799
자동차 신품 부품 제조업,92,0.1124455547571015,0.5551643192488263,-0.7332903503116267,-0.00250395784867055
연료용 가스 제조 및 배관공급업,8,0.09932816308877651,0.5633877102276104,-0.6537354937234625,-0.00568496872424265
기타 정보 서비스업,12,0.09306532907681081,0.5899167516139994,-0.60849025974026,-0.0311652076466246
상품 중개업,7,0.0919540229885007,0.5949367088607594,-0.764081162405591,0.012473270164987
화학섬유 제조업,8,0.091518606617139,0.5507774368986195,-0.7386889821021985,0.0019429006611660499
영상 및 음향기기 제조업,13,0.0670341937851681,0.5213675213675214,-0.7185595567867038,-0.0102278681804187
수산물 가공 및 저장 처리업,5,0.0599612649592438,0.5316901408450704,-0.903673228883679,-0.0161353315557843
부동산 임대 및 공급업,10,0.03343274409483925,0.5170736650116526,-0.6226365168586856,0.0014379150123583998
전기 및 통신 공사업,6,0.031830332032113245,0.5567848699763593,-0.650316115702479,0.06588545659811924
기타 전문 도매업,33,0.0287954893713437,0.5254237288135594,-0.8227753044037989,-0.0239362459960609
의료용 기기 제조업,29,0.011461318051573,0.5094339622641509,-0.6684411337209288,-0.0683418190895237
합성고무 및 플라스틱 물질 제조업,6,-0.0035436495657546994,0.48630620896018617,-0.5975062619975449,-0.00529059417027075
금융 지원 서비스업,21,-0.0107063763451392,0.4823943661971831,-0.8100168584459337,0.0025422926416314
소프트웨어 개발 및 공급업,87,-0.0228691778399611,0.5,-0.7341067285382834,-0.0255199404078587
플라스틱제품 제조업,36,-0.034566694653829,0.4635766423357664,-0.7875225534839765,-0.03445756181824495
기초 의약물질 제조업,29,-0.0560893497183817,0.4647058823529412,-0.699642857142855,-0.0102701096967484
음·식료품 및 담배 도매업,9,-0.0581994000286906,0.4210526315789473,-0.6147388059701488,-0.0604127919533115
종합 소매업,13,-0.0594482509917126,0.4577464788732394,-0.6503105590062137,-0.0204169352643814
"서적, 잡지 및 기타 인쇄물 출판업",8,-0.06037946121700059,0.4834963836280781,-0.6920194402547348,0.00014185806375074982
생활용품 도매업,16,-0.06761323670729816,0.4830922471767542,-0.824936868686869,-0.01955760147440505
알코올음료 제조업,9,-0.0691721571043282,0.4330985915492957,-0.7605476645089182,0.0248132263427758
기타 식품 제조업,23,-0.0819514385545748,0.4507042253521127,-0.796706586826347,-0.0389549234931178
해상 운송업,5,-0.0851236324420042,0.4753521126760563,-0.9763304113603228,-0.0504327575761297
고무제품 제조업,8,-0.0918724451257458,0.3885542168674698,-0.7157969790787136,0.01723607575753925
토목 건설업,14,-0.15350322995716476,0.4049295774647887,-0.9323265622895214,-0.0842623118573569
"펄프, 종이 및 판지 제조업",11,-0.1599815251451923,0.3767605633802817,-0.8607470049330522,-0.0799292773876974
"섬유, 의복, 신발 및 가죽제품 소매업",7,-0.1807228915662666,0.4341463414634146,-0.819243986254296,-0.046056064247134
건물 건설업,22,-0.19208265471184338,0.4109995795669539,-0.8422154701723874,-0.0575647286474409
봉제의복 제조업,24,-0.21015916557122372,0.3824454359746263,-0.8212439594215263,-0.07103288911805994
"영화, 비디오물, 방송프로그램 제작 및 배급업",16,-0.23487581548170994,0.36324525005459707,-0.9360543059884908,-0.1830567678157607
컴퓨터 및 주변장치 제조업,7,-0.2426772012824073,0.3461538461538461,-0.7076363636363634,-0.0323843984115466
보험업,10,-0.2483596740012232,0.309419014084507,-0.7181529104468203,0.017888565503387098
상품 종합 도매업,19,-0.2695511950958579,0.3364485981308411,-0.9623263045869628,-0.1144812700251811
"도축, 육류 가공 및 저장 처리업",6,-0.30670630231334783,0.19509852216748766,-0.5649713035534601,-0.0634992299642419
광고업,12,-0.32509288478290616,0.23003812941572274,-0.6593776419742883,-0.02311033212197485
항공 여객 운송업,6,-0.35736916807248237,0.17391304347826084,-0.6693184242527576,-0.09733550401692036
사진장비 및 광학기기 제조업,9,-0.409523809523807,0.3391812865497076,-0.8460992907801415,-0.1176354648069485
