code,last_ym,mkt,cls,terminal_ret,last_close,ret6,ret12,peak12,flat_months,mcap_last,recent
005470,1996-10,KOSDAQ,동결소멸,-0.7,9400.0,,,0.0,4,5640000000,0
012605,1996-10,KOSPI,동결소멸,-0.7,62700.0,-0.06,,-0.06,6,7524000,0
011724,1996-11,KOSPI,동결소멸,-0.7,33100.0,0.0,,0.0,8,435960100,0
000726,1996-12,KOSPI,동결소멸,-0.7,18000.0,-0.027,,-0.027,6,62164224000,0
004520,1996-12,KOSDAQ,동결소멸,-0.7,5100.0,,,0.0,6,5610000000,0
005114,1996-12,KOSPI,동결소멸,-0.7,35600.0,0.0,,-0.0607,10,3494068800,0
005117,1996-12,KOSPI,동결소멸,-0.7,38500.0,0.0,,0.0,7,2619963500,0
005386,1996-12,KOSPI,동결소멸,-0.7,15500.0,0.0,,0.0,7,60546875000,0
005664,1996-12,KOSPI,동결소멸,-0.7,18500.0,0.0,,0.0,8,13116500,0
008430,1996-12,KOSDAQ,동결소멸,-0.7,8100.0,,,0.0,6,972000000,0
008680,1996-12,KOSDAQ,동결소멸,-0.7,4000.0,,,0.0,6,1200000000,0
008691,1996-12,KOSPI,동결소멸,-0.7,11900.0,0.0,,0.0,7,24040820300,0
009011,1996-12,KOSDAQ,동결소멸,-0.7,10900.0,,,0.0,4,1025995200,0
009731,1996-12,KOSDAQ,동결소멸,-0.7,10200.0,,,0.0,5,1122020400,0
009950,1996-12,KOSDAQ,동결소멸,-0.7,5900.0,,,0.0,6,708000000,0
011520,1996-12,KOSDAQ,동결소멸,-0.7,5600.0,,,0.0,6,4796680000,0
013210,1996-12,KOSDAQ,동결소멸,-0.7,5300.0,,,0.0,6,21200000000,0
015180,1996-12,KOSDAQ,동결소멸,-0.7,5000.0,,,0.0,6,650000000,0
015531,1996-12,KOSDAQ,동결소멸,-0.7,19100.0,,,0.0,5,87860000,0
016310,1996-12,KOSDAQ,동결소멸,-0.7,8000.0,,,0.0,6,3200000000,0
017091,1996-12,KOSDAQ,동결소멸,-0.7,15500.0,,,0.0,5,155000000,0
017092,1996-12,KOSDAQ,동결소멸,-0.7,15500.0,,,0.0,5,790500000,0
017093,1996-12,KOSDAQ,동결소멸,-0.7,15500.0,,,0.0,4,837000000,0
017094,1996-12,KOSDAQ,동결소멸,-0.7,15500.0,,,0.0,4,1255500000,0
017410,1996-12,KOSDAQ,동결소멸,-0.7,6300.0,,,0.0,6,9702000000,0
017674,1996-12,KOSPI,동결소멸,-0.7,642000.0,0.0,,0.0,11,5136000,0
018230,1996-12,KOSDAQ,동결소멸,-0.7,17000.0,,,0.0,6,5977625000,0
019460,1996-12,KOSDAQ,동결소멸,-0.7,17500.0,,,0.0,6,38500000000,0
020074,1996-12,KOSDAQ,동결소멸,-0.7,8500.0,,,0.0,4,510000000,0
020620,1996-12,KOSDAQ,동결소멸,-0.7,15000.0,,,0.0,6,1500000000,0
020625,1996-12,KOSDAQ,동결소멸,-0.7,13600.0,,,0.0,6,1224000000,0
021221,1996-12,KOSDAQ,동결소멸,-0.7,10100.0,,,0.0,6,5050000000,0
022130,1996-12,KOSDAQ,동결소멸,-0.7,17000.0,,,0.0,6,102000000000,0
023441,1996-12,KOSDAQ,동결소멸,-0.7,13000.0,,,0.0,6,1820000000,0
024871,1996-12,KOSDAQ,동결소멸,-0.7,9500.0,,,0.0,6,541500000,0
025951,1996-12,KOSDAQ,동결소멸,-0.7,22000.0,,,0.0,5,220000000,0
026962,1996-12,KOSDAQ,동결소멸,-0.7,19500.0,,,-0.1333,4,2730000000,0
027352,1996-12,KOSDAQ,동결소멸,-0.7,63900.0,,,0.0,5,6390000000,0
027353,1996-12,KOSDAQ,동결소멸,-0.7,61800.0,,,0.0,4,1236000000,0
027354,1996-12,KOSDAQ,동결소멸,-0.7,54300.0,,,0.0,5,2172000000,0
027711,1996-12,KOSDAQ,동결소멸,-0.7,21600.0,,,0.0,5,345600000,0
027712,1996-12,KOSDAQ,동결소멸,-0.7,21600.0,,,0.0,5,2160000000,0
027893,1996-12,KOSDAQ,동결소멸,-0.7,71100.0,,,0.0,6,4266000000,0
016391,1997-03,KOSPI,동결소멸,-0.7,16000.0,0.0811,,0.0,4,32000000000,0
009590,1997-07,KOSDAQ,동결소멸,-0.7,10100.0,0.0,-0.2681,-0.5,8,20200000000,0
014270,1997-07,KOSDAQ,동결소멸,-0.7,920.0,0.0,-0.8864,-0.8864,7,1564000000,0
019230,1997-07,KOSDAQ,동결소멸,-0.7,6200.0,0.0,-0.4918,-0.4918,8,4092000000,0
004791,1997-12,KOSDAQ,동결소멸,-0.7,13300.0,,,0.0,4,2660000000,0
005011,1997-12,KOSPI,동결소멸,-0.7,3600.0,0.1613,,0.0,6,674352000,0
008124,1997-12,KOSPI,동결소멸,-0.7,11600.0,0.0,0.352,0.0,9,15462800,0
008160,1997-12,KOSDAQ,동결소멸,-0.7,11900.0,0.0,-0.1119,-0.1119,7,22110200000,0
010671,1997-12,KOSDAQ,동결소멸,-0.7,8300.0,0.0375,,-0.0143,4,329427000,0
010672,1997-12,KOSDAQ,동결소멸,-0.7,7400.0,0.0709,,0.0,4,1332000000,0
012224,1997-12,KOSPI,동결소멸,-0.7,6680.0,0.0,,0.0,10,117708280,0
019931,1997-12,KOSDAQ,동결소멸,-0.7,62100.0,-0.2589,3.968,-0.2589,4,6767037000,0
026151,1997-12,KOSDAQ,동결소멸,-0.7,19600.0,,,0.0,5,2744000000,0
026921,1997-12,KOSDAQ,동결소멸,-0.7,16600.0,,,0.0,5,6640000000,0
028081,1997-12,KOSDAQ,동결소멸,-0.7,51500.0,-0.4432,,-0.5402,4,2370000000,0
030421,1997-12,KOSDAQ,동결소멸,-0.7,19600.0,,,-0.5196,4,1568000000,0
031314,1997-12,KOSDAQ,동결소멸,-0.7,36000.0,,,0.0,6,14400000000,0
032612,1997-12,KOSDAQ,동결소멸,-0.7,28400.0,0.0,,0.0,8,2610528000,0
008264,1998-03,KOSPI,동결소멸,-0.7,960.0,-0.9026,,-0.9026,4,124131840,0
011770,1998-04,KOSDAQ,동결소멸,-0.7,9800.0,0.0,0.0,0.0,13,1960000000,0
018840,1998-04,KOSDAQ,동결소멸,-0.7,12700.0,0.0,-0.0593,-0.0593,10,1524000000,0
021220,1998-04,KOSDAQ,동결소멸,-0.7,16500.0,0.0,0.0,0.0,13,31163797500,0
027450,1998-04,KOSDAQ,동결소멸,-0.7,4410.0,-0.1519,-0.1519,-0.1519,4,17640000000,0
005671,1998-06,KOSDAQ,동결소멸,-0.7,4200.0,-0.2364,,-0.7572,5,197484000,0
005672,1998-06,KOSDAQ,동결소멸,-0.7,7130.0,,,0.0,6,719987400,0
016925,1998-07,KOSDAQ,동결소멸,-0.7,23400.0,0.0,0.2381,0.0,7,1404000000,0
002190,1998-08,KOSDAQ,동결소멸,-0.7,2160.0,0.0,-0.5592,-0.5592,9,1728000000,0
006520,1998-08,KOSDAQ,동결소멸,-0.7,390.0,0.0,0.0541,0.0,9,990600000,0
006860,1998-08,KOSDAQ,동결소멸,-0.7,10800.0,-0.3647,-0.597,-0.597,5,648000000,0
007140,1998-08,KOSDAQ,동결소멸,-0.7,9500.0,-0.181,-0.2017,-0.2017,5,7343500000,0
008960,1998-08,KOSDAQ,동결소멸,-0.7,57400.0,0.0,-0.2148,-0.2148,11,5740000000,0
012360,1998-08,KOSDAQ,동결소멸,-0.7,5460.0,0.0,-0.2816,-0.2816,8,709800000,0
014665,1998-08,KOSDAQ,동결소멸,-0.7,7920.0,-0.0791,-0.0791,-0.0791,5,475200000,0
019530,1998-08,KOSDAQ,동결소멸,-0.7,2160.0,0.0,-0.477,-0.477,8,4320000000,0
019730,1998-08,KOSDAQ,동결소멸,-0.7,1100.0,-0.1667,-0.2308,-0.2308,4,1210000000,0
020100,1998-08,KOSDAQ,동결소멸,-0.7,7960.0,0.0,0.0,0.0,13,4776000000,0
023920,1998-08,KOSDAQ,동결소멸,-0.7,6300.0,0.0,0.1667,0.0,11,2550240000,0
024860,1998-08,KOSDAQ,동결소멸,-0.7,8700.0,0.0,0.0,0.0,13,23490000000,0
000330,1998-10,KOSPI,동결소멸,-0.7,5500.0,-0.2839,-0.2667,-0.3969,4,16500000000,0
015535,1998-10,KOSDAQ,동결소멸,-0.7,3720.0,0.0,-0.2034,-0.2034,10,314712000,0
025940,1998-11,KOSDAQ,동결소멸,-0.7,4120.0,0.2189,-0.5089,-0.5089,5,2892240000,0
007531,1998-12,KOSDAQ,동결소멸,-0.7,2700.0,,,0.0,6,1350000000,0
008860,1998-12,KOSDAQ,동결소멸,-0.7,43800.0,0.0,0.0788,0.0,10,2628000000,0
026900,1998-12,KOSDAQ,동결소멸,-0.7,14000.0,-0.4928,-0.125,-0.7125,4,2660000000,0
029471,1998-12,KOSDAQ,동결소멸,-0.7,30000.0,-0.4286,,-0.4828,5,6750000,0
000870,1999-01,KOSDAQ,동결소멸,-0.7,42150.0,1.0866,-0.6024,-0.6024,5,37597800000,0
002455,1999-01,KOSPI,동결소멸,-0.7,6000.0,0.0,0.0,0.0,13,6222000,0
008580,1999-02,KOSDAQ,동결소멸,-0.7,30000.0,-0.2308,-0.2063,-0.3182,4,49827840000,0
025220,1999-03,KOSDAQ,동결소멸,-0.7,9430.0,0.0,0.0,0.0,13,17841560000,0
026920,1999-03,KOSDAQ,동결소멸,-0.7,1010.0,0.0,0.0,0.0,13,606000000,0
007240,1999-05,KOSPI,동결소멸,-0.7,1240.0,-0.5373,0.8507,-0.5407,4,6200000000,0
007091,2000-05,KOSDAQ,동결소멸,-0.7,14700.0,1.6203,-0.5067,-0.5258,4,14994000000,0
007365,2000-07,KOSPI,동결소멸,-0.7,31900.0,0.519,,0.0,5,182850800000,0
034607,2000-11,KOSDAQ,동결소멸,-0.7,113500.0,0.0,,0.0,12,0,0
022875,2001-01,KOSDAQ,동결소멸,-0.7,1001000.0,0.0,2.8649,0.0,11,44044000000000,0
008990,2001-02,KOSPI,동결소멸,-0.7,170.0,-0.7344,-0.9351,-0.9351,5,1700000,0
011260,2001-02,KOSPI,동결소멸,-0.7,180.0,-0.7517,-0.9655,-0.9655,5,1800000,0
012710,2001-02,KOSPI,동결소멸,-0.7,145.0,-0.463,-0.9132,-0.9268,5,1450000,0
024960,2001-02,KOSPI,동결소멸,-0.7,420.0,0.0,-0.7308,-0.7308,7,14422800000,0
000147,2001-07,KOSPI,동결소멸,-0.7,54300.0,-0.4155,-0.4155,-0.4155,6,322466740200,0
022870,2001-07,KOSDAQ,동결소멸,-0.7,430.0,0.0,-0.5057,-0.5743,8,23478000000,0
004945,2001-08,KOSPI,동결소멸,-0.7,131500.0,0.0,1.2949,0.0,8,3419000000000,0
048660,2001-08,KOSDAQ,동결소멸,-0.7,122000.0,0.0,,0.0,7,488000000000,0
015585,2001-09,KOSPI,동결소멸,-0.7,44150.0,0.0,0.0,0.0,13,2582775000000,0
027465,2001-11,KOSPI,동결소멸,-0.7,53200.0,0.0,0.0,0.0,13,630952000000,0
004295,2002-01,KOSPI,동결소멸,-0.7,93200.0,0.0,0.0,0.0,13,87048800,0
006295,2002-04,KOSPI,동결소멸,-0.7,230500.0,0.0,0.0,0.0,13,11755500,0
052520,2002-04,KOSDAQ,동결소멸,-0.7,10500.0,0.0048,0.0892,0.0,4,52421250000,0
058910,2002-07,KOSDAQ,동결소멸,-0.7,5350.0,0.019,,0.0,4,35952000000,0
063680,2002-08,KOSDAQ,동결소멸,-0.7,14000.0,0.25,,0.0,6,57120000000,0
005770,2003-04,KOSPI,동결소멸,-0.7,500.0,0.0,0.0,0.0,13,17040258500,0
006610,2003-04,KOSPI,동결소멸,-0.7,525.0,0.0,0.0,0.0,13,27195022575,0
001980,2004-05,KOSPI,동결소멸,-0.7,130.0,-0.4902,-0.8547,-0.8774,6,17457237590,0
012760,2004-07,KOSPI,동결소멸,-0.7,235.0,0.0,-0.7418,-0.7418,7,16958497230,0
046000,2004-08,KOSDAQ,동결소멸,-0.7,1280.0,0.0,-0.4088,-0.4088,9,18904833280,0
037500,2005-02,KOSDAQ,동결소멸,-0.7,5420.0,0.1016,0.0423,0.0,4,10124560000,0
