ym,code,name,mcap,ep,bp,roe,div,src_rcept
2026-08,005930,삼성전자,1645727428152000,0.067202,0.343353,0.195723,0.006768,20260814003699
2026-08,000660,SK하이닉스,1263751791450000,0.102664,0.20762,0.494481,0.001675,20260814003509
2026-08,402340,SK스퀘어,148150649754000,0.175893,0.370101,0.475258,0.001379,20260814003471
2026-08,009150,삼성전기,98296903936000,0.009075,0.104078,0.087199,0.001826,20260814003805
2026-08,005380,현대차,84974472890000,0.105544,1.439585,0.073316,0.032816,20260814003521
2026-08,373220,LG에너지솔루션,80379000000000,-0.014342,0.27796,-0.051598,0.0,20260813000255
2026-08,207940,삼성바이오로직스,71797265001000,0.026333,0.116466,0.226099,0.0,20260814003375
2026-08,032830,삼성생명,65700000000000,0.034001,2.204549,0.015423,0.015513,20260814003263
2026-08,028260,삼성물산,64137278285500,0.041815,1.645738,0.025408,0.007145,20260814002969
2026-08,105560,KB금융,58275194696200,0.104451,1.044884,0.099965,0.028289,20260814004200
2026-08,012450,한화에어로스페이스,55946290085000,0.032924,0.214471,0.153514,0.00735,20260814003198
2026-08,000270,기아,51105061438200,0.1491,1.265776,0.117793,0.051707,20260814003932
2026-08,055550,신한지주,48869769879900,0.107278,1.229814,0.087231,0.031,20260814003306
2026-08,329180,HD현대중공업,47547434925000,0.042625,0.221734,0.192236,0.011925,20260814002879
2026-08,034020,두산에너빌리티,46953132001800,0.002374,0.173783,0.013659,0.001959,20260814003782
2026-08,012330,현대모비스,45003361168000,0.084036,1.14738,0.073242,0.012891,20260814004065
2026-08,068270,셀트리온,44732282944800,0.029926,0.40022,0.074773,0.003752,20260814003751
2026-08,034730,SK,42486583958000,0.165093,0.875451,0.18858,0.030369,20260814002185
2026-08,006400,삼성SDI,38519883340000,-0.004018,0.630813,-0.006369,7.7e-05,20260814003578
2026-08,086790,하나금융지주,35338565942400,0.113825,1.326498,0.085809,0.033174,20260814003800
2026-08,035420,NAVER,34849023870000,0.062069,0.847644,0.073226,0.011294,20260814002266
2026-08,066570,LG전자,31681062091000,0.032322,0.84557,0.038225,0.010358,20260814001997
2026-08,000810,삼성화재,29511979653000,0.071784,1.225774,0.058562,0.028111,20260814003992
2026-08,010120,LS ELECTRIC,28050000000000,0.012054,0.075941,0.158734,0.003298,20260814003088
2026-08,267260,HD현대일렉트릭,25881842930000,0.030786,0.087126,0.353345,0.011681,20260814003228
2026-08,010130,고려아연,25819862653000,0.030695,0.439315,0.069871,0.019817,20260814003958
2026-08,042660,한화오션,25800007774800,0.069379,0.291605,0.237921,0.0,20260812000829
2026-08,298040,효성중공업,25372095108000,0.023646,0.101975,0.231884,0.002784,20260813001554
2026-08,009540,HD한국조선해양,24664430926000,0.125665,0.601268,0.209001,0.043152,20260814002569
2026-08,005490,POSCO홀딩스,24564873370000,0.04814,2.339338,0.020578,0.034191,20260814000957
2026-08,316140,우리금융지주,23116847403500,0.13815,1.682092,0.08213,0.036413,20260814003410
2026-08,017670,SK텔레콤,21951543416600,0.035961,0.703214,0.051138,0.016107,20260813001728
2026-08,096770,SK이노베이션,21097787942400,-0.11189,1.241397,-0.090132,0.008054,20260814002500
2026-08,015760,한국전력,20382359444750,0.376576,2.486259,0.151463,0.051917,20260814002198
2026-08,011200,HMM,20373940152000,0.089248,1.410064,0.063294,0.032423,20260813001042
2026-08,042700,한미반도체,20349154700000,0.012666,0.036704,0.3451,0.003729,20260814003665
2026-08,138040,메리츠금융지주,19311875304200,0.121703,0.58531,0.207929,2.1e-05,20260814004036
2026-08,006800,미래에셋증권,19305057360000,0.15862,0.82934,0.191261,0.009023,20260814004118
2026-08,033780,KT&G,17886541568800,0.073296,0.540949,0.135496,0.035231,20260814004174
