entry,dur,exit,months,ret
1996-04-30,2,1996-05-31,1,-0.0823251095932307
1997-05-31,12,1997-08-31,3,-0.08413429443556164
1998-10-31,14,1999-10-31,12,1.0630073369026374
2001-05-31,15,2001-07-31,2,-0.11834566126502877
2001-11-30,4,2002-07-31,8,0.1120817686250758
2003-05-31,10,2004-05-31,12,0.26604739351457185
2004-09-30,4,2005-09-30,12,0.45912983031769017
2006-08-31,2,2007-01-31,5,0.0025369102710054462
2007-02-28,1,2008-01-31,11,0.14328811717724765
2008-05-31,4,2008-06-30,1,-0.09862531722119627
2009-04-30,10,2010-04-30,12,0.26880580709236435
2012-02-29,6,2012-05-31,3,-0.09499852234946438
2012-09-30,4,2012-10-31,1,-0.04515488350424057
2012-12-31,2,2013-06-30,6,-0.06996377156305555
2013-09-30,3,2014-01-31,4,-0.03094748016985815
2014-02-28,1,2014-04-30,2,-0.012191965615988006
2014-05-31,1,2014-10-31,5,-0.018303564983759065
2015-03-31,5,2015-08-31,5,-0.05176949383399554
2015-10-31,2,2015-11-30,1,-0.021477730639033795
2016-03-31,4,2016-06-30,3,-0.015776511260866318
2016-07-31,1,2016-11-30,4,-0.019223669396237427
2016-12-31,1,2017-12-31,12,0.21463567995420563
2018-04-30,2,2018-05-31,1,-0.03972208572859759
2019-04-30,11,2019-05-31,1,-0.07644832750194008
2019-12-31,7,2020-02-29,2,-0.0988560657423544
2020-05-31,3,2021-05-31,12,0.5755967678360269
2023-01-31,16,2023-09-30,8,0.01349017764362415
2023-11-30,2,2024-01-31,2,-0.01806730985409943
2024-02-29,1,2024-09-30,7,-0.021578089283822096
2025-04-30,7,2026-04-30,12,1.5781015368006852
