base_date,pred_ret,pred_dir,actual_ret,hit,scored_on
2026-06-26,-1.2210,하락,-0.1969,1,2026-07-10
2026-07-07,-1.1869,하락,-5.3488,1,2026-07-13
2026-07-09,0.7019,상승,2.5238,1,2026-07-13
2026-07-10,0.0415,중립,-8.9488,0,2026-07-17
2026-07-15,nan,중립,-6.3672,0,2026-07-22
2026-07-16,-0.9983,하락,-4.4619,1,2026-07-23
2026-07-20,0.0820,중립,3.5554,0,2026-07-24
2026-07-21,1.0066,상승,0.7373,1,2026-07-27
2026-07-23,-0.0843,중립,-5.7246,0,2026-07-29
2026-07-24,-1.0127,하락,0.9735,0,2026-07-30
2026-07-27,-0.6957,하락,-10.8365,1,2026-07-31
2026-07-28,-1.2995,하락,-5.9834,1,2026-08-03
2026-07-30,2.3566,상승,17.9115,1,2026-08-05
2026-07-31,0.8829,상승,-5.1247,0,2026-08-06
2026-08-03,-0.0317,중립,1.6221,0,2026-08-07
2026-08-04,1.5026,상승,3.7634,1,2026-08-10
2026-08-06,-0.3183,하락,-0.5973,1,2026-08-12
2026-08-07,0.6934,상승,0.6533,1,2026-08-13
2026-08-10,-0.8280,하락,0.7281,0,2026-08-14
2026-08-11,0.2182,상승,3.6799,1,2026-08-18
2026-08-13,0.3862,상승,2.4159,1,2026-08-20
2026-08-14,0.3776,상승,-1.5493,0,2026-08-24
2026-08-20,0.2346,상승,,,
