base_date,pred_ret,pred_dir,actual_ret,hit,scored_on
2026-06-26,nan,중립,8.1281,0,2026-07-02
2026-06-25,0.6570,상승,-4.1045,0,2026-07-01
2026-06-29,0.8235,상승,-0.4769,0,2026-07-06
2026-07-02,-0.7026,하락,0.1950,0,2026-07-08
2026-07-03,-0.6361,하락,-2.4574,1,2026-07-09
2026-07-06,0.3893,상승,-1.8700,0,2026-07-10
2026-07-07,-0.7806,하락,-5.5616,1,2026-07-13
2026-07-09,0.6317,상승,5.4698,1,2026-07-15
2026-07-10,-0.0486,중립,-4.5461,0,2026-07-16
2026-07-13,-1.1973,하락,-1.9240,1,2026-07-17
2026-07-14,0.5073,상승,5.7973,1,2026-07-20
2026-07-15,-0.1224,중립,-4.5320,0,2026-07-22
2026-07-16,-1.0432,하락,-5.3294,1,2026-07-23
2026-07-20,-0.0565,중립,0.4936,0,2026-07-24
2026-07-21,0.8139,상승,-0.2987,0,2026-07-27
2026-07-23,-0.2624,하락,-5.3222,1,2026-07-29
2026-07-24,-0.8130,하락,2.2239,0,2026-07-30
2026-07-27,-0.4881,하락,-7.7151,1,2026-07-31
2026-07-28,-0.7234,하락,-6.1160,1,2026-08-03
2026-07-30,2.1807,상승,11.6288,1,2026-08-05
2026-07-31,0.2204,상승,2.4439,1,2026-08-06
2026-08-03,0.1033,중립,5.8819,0,2026-08-07
2026-08-04,1.2810,상승,2.4170,1,2026-08-10
2026-08-06,-0.2012,하락,-0.3568,1,2026-08-12
2026-08-07,0.6152,상승,6.9679,1,2026-08-13
2026-08-10,-0.6528,하락,0.3944,0,2026-08-14
2026-08-11,0.0028,중립,0.1247,1,2026-08-18
2026-08-13,0.0890,중립,0.3808,0,2026-08-20
2026-08-14,0.0404,중립,-3.5217,0,2026-08-24
2026-08-20,-0.0455,중립,,,
