전략,유니버스,팩터,N,ROE게이트,방어,트레일,IN_CAGR,IN_Sharpe,IN_MDD,OOS_CAGR,OOS_Sharpe,OOS_MDD,IN_순위,OOS_순위,순위변동
전체|배당|N20|ROE>0,전체,배당,20,True,False,False,38.10983897316398,1.6189930679092752,-20.1023939289807,14.56610150228852,0.8157537419492685,-27.608056597650354,1.0,77.0,-76.0
전체|배당|N30|ROE>0|트레일,전체,배당,30,True,False,True,35.00790302396306,1.614248447599287,-20.52865646468296,16.41364265817962,0.9288919788509412,-26.89878484760949,2.0,29.0,-27.0
전체|배당|N30|ROE>0,전체,배당,30,True,False,False,35.34167423059211,1.6140153376135307,-18.77082289889974,15.899527840493842,0.9111709220453127,-27.079953916013576,3.0,34.0,-31.0
전체|배당|N20|ROE>0|트레일,전체,배당,20,True,False,True,36.59704214108841,1.5886298603772664,-19.922181536187445,14.405428175297729,0.8298565876035985,-26.815282231639014,4.0,72.0,-68.0
전체|배당|N20|ROE>0|방어,전체,배당,20,True,True,False,28.81181900111669,1.5325129087387164,-18.447426478295405,10.895470846315792,0.801872184689705,-23.472441139121425,5.0,87.0,-82.0
전체|배당|N30|ROE>0|방어|트레일,전체,배당,30,True,True,True,26.325803912953226,1.5167464739496885,-16.99900344717209,12.797813993784679,0.9467455308050751,-22.530020675590524,6.0,26.0,-20.0
전체|배당|N30|ROE>0|방어,전체,배당,30,True,True,False,26.3138242784825,1.4941654464923475,-20.170499198031788,12.15868183856903,0.916200596900956,-22.655123237566023,7.0,32.0,-25.0
전체|배당|N20|ROE>0|방어|트레일,전체,배당,20,True,True,True,27.578448248742827,1.4908122545882359,-19.410320887343747,10.900126048065584,0.8099510111076752,-24.32358674160877,8.0,86.0,-78.0
전체|배당|N10|ROE>0,전체,배당,10,True,False,False,36.80192525061739,1.4632588414347105,-27.678762057012452,13.723433625784743,0.7038643811596665,-31.578762426865314,9.0,119.0,-110.0
전체|배당|N10|ROE>0|트레일,전체,배당,10,True,False,True,36.3306594365054,1.4387235309543085,-26.45218567255626,13.62690303683365,0.7253784807646938,-30.086185628993345,10.0,114.0,-104.0
전체|배당|N20|방어|트레일,전체,배당,20,False,True,True,27.48899715441624,1.4134297003279361,-36.00960023414931,11.441302225676097,0.8428610484086659,-22.732847418689516,11.0,62.0,-51.0
전체|배당|N20|트레일,전체,배당,20,False,False,True,35.27120303046723,1.4133307136971358,-47.37474315834115,14.87309819749687,0.8393882405336726,-26.643067620318696,12.0,65.0,-53.0
