rank,code,name,theme,score,grade,F,ex12_pct,adtv_ek,ex12_%,진입
39,012330,현대모비스,자동차,13.67,S,8.0,0.876,8867.0,87.6,관망
41,003160,디아이,반도체,13.33,S,7.0,-0.153,80.0,-15.299999999999999,관망
43,267260,HD현대일렉트릭,전력/전기장비,13.33,S,7.0,0.194,2084.0,19.400000000000002,관망
45,082740,한화엔진,기계/장비,13.33,S,7.0,0.284,529.0,28.4,관망
46,240810,원익IPS,반도체,13.0,S,9.0,1.933,650.0,193.3,관망
49,124500,아이티센글로벌,반도체/전자,13.0,S,9.0,-0.044,77.0,-4.3999999999999995,관망
50,007340,DN오토모티브,2차전지,13.0,S,6.0,0.092,119.0,9.2,관망
56,015750,성우하이텍,자동차,12.67,S,8.0,-0.552,53.0,-55.2,관망
60,018260,삼성에스디에스,반도체/전자,12.33,S,7.0,0.003,6083.0,0.3,관망
69,005930,삼성전자,반도체,12.33,S,7.0,4.26,159453.0,426.0,관망
70,039030,이오테크닉스,반도체,12.33,S,7.0,0.8,726.0,80.0,관망
71,018880,한온시스템,기계/장비,12.0,S,6.0,-0.033,1004.0,-3.3000000000000003,관망
73,222080,씨아이에스,기계/장비,12.0,S,6.0,-0.177,181.0,-17.7,관망
76,000270,기아,자동차,12.0,S,6.0,-0.027,2411.0,-2.7,관망
1,034220,LG디스플레이,반도체/전자,18.67,S+,8.0,0.094,10380.0,9.4,관망
2,204320,HL만도,자동차,17.33,S+,7.0,0.058,406.0,5.800000000000001,관망
11,012510,더존비즈온,반도체/전자,15.67,S+,8.0,0.009,100.0,0.8999999999999999,관망
14,066570,LG전자,반도체/전자,15.33,S+,7.0,3.55,38835.0,355.0,관망
15,011070,LG이노텍,반도체/전자,15.0,S+,6.0,6.725,13655.0,672.5,관망
18,093370,후성,반도체,15.0,S+,9.0,0.468,129.0,46.800000000000004,관망
19,100840,SNT에너지,기계/장비,15.0,S+,9.0,-0.928,70.0,-92.80000000000001,관망
23,033640,네패스,반도체,14.67,S+,8.0,1.458,230.0,145.79999999999998,관망
27,064290,인텍플러스,반도체,14.33,S+,7.0,2.653,188.0,265.3,관망
28,078350,한양디지텍,반도체,14.33,S+,7.0,1.265,145.0,126.49999999999999,관망
34,330860,네패스아크,반도체,14.0,S+,9.0,0.922,118.0,92.2,관망
36,011210,현대위아,자동차,14.0,S+,6.0,0.076,264.0,7.6,관망
