code,name,시장,일자,종가,급락1,전일,2일누적,이격MA240,고점5년比,핵심선,선이격,시총,매도신호,스캐너,계열,내일필요낙폭,미달항목
004800,효성,KOSPI,2026-07-30,122800.0,0.0032679738562091387,-0.12132089016511127,-0.1184493898061737,-0.1351630519307122,-0.6138364779874214,주60주,-0.06587555149855473,2546215904700.0,0.0,S2,S2-β,,2일누적 -11.8%(<−12 미달)
005090,SGC에너지,KOSPI,2026-07-30,36100.0,-0.05124835742444156,-0.04516938519447933,-0.0941028858218319,0.00294609627773168,-0.4893917963224894,일240,0.00294609627773168,627526452150.0,0.0,S1,A계열,-0.07246537396121877,
267270,HD건설기계,KOSPI,2026-07-30,114500.0,-0.03212172442941674,-0.03664495114006516,-0.0675895765472313,-0.058430100084631675,-0.4735632183908046,주60주,-0.0057167667703885705,6450287336200.0,0.0,S1,A계열,-0.09079475982532748,
278470,에이피알,KOSPI,2026-07-30,313000.0,-0.03692307692307695,-0.025487256371814038,-0.06146926536731634,0.04298132713542513,-0.33826638477801263,월10,0.004331782448259158,13271825947500.0,0.0,S1,A계열,-0.08626198083067094,
011560,세보엠이씨,KOSDAQ,2026-07-30,17510.0,-0.03791208791208789,-0.09452736318407962,-0.1288557213930348,0.02848248417775734,-0.40238907849829353,월10,-0.026465028355387554,221867184000.0,0.0,S2,S2-α,,"시총 2,219억(≥3000 미달)"
058610,에스피지,KOSDAQ,2026-07-30,77700.0,-0.05012224938875309,0.20294117647058818,0.14264705882352935,-0.03709020308474009,-0.5310802655401328,일240,-0.03709020308474009,1663302000000.0,0.0,S1,A계열,-0.07356499356499357,
078020,LS증권,KOSDAQ,2026-07-30,5780.0,-0.03344481605351168,-0.014827018121911006,-0.047775947281713305,-0.047687697583178035,-0.3844515441959532,주60주,-0.03370066453976783,352860368400.0,0.0,S1,A계열,-0.0895501730103806,
101160,월덱스,KOSDAQ,2026-07-30,25400.0,-0.028680688336520044,-0.08726003490401402,-0.11343804537521818,-0.029955841985917164,-0.28248587570621464,주60주,-0.008335448103539145,503585286500.0,0.0,S2,S2-γ,,2일누적 -11.3%(<−12 미달) · 5년고점比 -28.2%(≤−30 미달)
319400,현대무벡스,KOSDAQ,2026-07-30,19850.0,-0.15351812366737738,0.12470023980815337,-0.04796163069544368,-0.06872183831650558,-0.6061507936507937,주60주,0.04922365378262317,2433566452150.0,0.0,S1,A계열,0.03959697732997469,
251970,펌텍코리아,KOSDAQ,2026-07-30,48000.0,-0.03903903903903905,0.050473186119873725,0.009463722397476282,-0.059054153393776065,-0.37662337662337664,월10,-0.03614457831325302,602640000000.0,0.0,S1,A계열,-0.08424999999999994,
327260,RF머트리얼즈,KOSDAQ,2026-07-30,17040.0,-0.06115702479338847,-0.13157894736842102,-0.184688995215311,-0.05966753594994967,-0.6852405028552128,일240,-0.05966753594994967,213184699500.0,0.0,S2,S2-α,,"시총 2,132억(≥3000 미달)"
092190,서울바이오시스,KOSDAQ,2026-07-30,4110.0,-0.020262216924910592,-0.11122881355932202,-0.1292372881355932,-0.10054164463005855,-0.7867151011935651,주60주,-0.06319448401618322,244019797560.0,0.0,S2,S2-α,,"시총 2,440억(≥3000 미달)"
417840,저스템,KOSDAQ,2026-07-30,7220.0,-0.0474934036939314,-0.10928319623971794,-0.1515863689776733,-0.06706701605346366,-0.6755056179775281,주60주,-0.0022019108859951952,235097236680.0,0.0,S2,S2-α,,"시총 2,351억(≥3000 미달)"
